taxonName	taxonPath	recordCount
Decapoda Latreille, 1802	Animalia|Arthropoda|Malacostraca|Decapoda||||Decapoda Latreille, 1802	431
Decapoda	Animalia|Arthropoda|Malacostraca|Decapoda||||Decapoda	431
Scleractinia	Animalia|Cnidaria|Anthozoa|Scleractinia||||Scleractinia	315
Scleractinia Bourne, 1900	Animalia|Cnidaria|Anthozoa|Scleractinia||||Scleractinia Bourne, 1900	315
Gastropoda Cuvier, 1797	Animalia|Mollusca|Gastropoda|||||Gastropoda Cuvier, 1797	274
Gastropoda	Animalia|Mollusca|Gastropoda|||||Gastropoda	267
Bivalvia	Animalia|Mollusca|Bivalvia|||||Bivalvia	154
Triphoridae Gray, 1847	Animalia|Mollusca|Gastropoda|Neotaenioglossa|Triphoridae|||Triphoridae Gray, 1847	152
Bivalvia Linnaeus, 1758	Animalia|Mollusca|Bivalvia|||||Bivalvia Linnaeus, 1758	152
Chama Linnaeus, 1758	Animalia|Mollusca|Bivalvia|Veneroida|Chamidae|Chama||Chama Linnaeus, 1758	100
Favia Oken, 1815	Animalia|Cnidaria|Anthozoa|Scleractinia|Faviidae|Favia||Favia Oken, 1815	91
Favia Milne Edwards, 1857	Animalia|Cnidaria|Anthozoa|Scleractinia|Faviidae|Favia||Favia Milne Edwards, 1857	91
Laticauda schistorhynchus (Günther, 1874)	Animalia|Chordata|Reptilia|Squamata|Hydrophiidae|Laticauda|schistorhynchus|Laticauda schistorhynchus (Günther, 1874)	90
Laticauda schistorhynchus Günther, 1874	Animalia|Chordata|Reptilia|Squamata|Elapidae|Laticauda|schistorhynchus|Laticauda schistorhynchus Günther, 1874	90
Barbatia Gray, 1847	Animalia|Mollusca|Bivalvia|Arcoida|Arcidae|Barbatia||Barbatia Gray, 1847	86
Triphoridae	Animalia|Mollusca|Gastropoda||Triphoridae|||Triphoridae	76
Turridae H. Adams & A. Adams, 1853	Animalia|Mollusca|Gastropoda|Neogastropoda|Turridae|||Turridae H. Adams & A. Adams, 1853	74
Porites Link, 1807	Animalia|Cnidaria|Anthozoa|Scleractinia|Poritidae|Porites||Porites Link, 1807	74
Cypraea Linnaeus, 1758	Animalia|Mollusca|Gastropoda|Neotaenioglossa|Cypraeidae|Cypraea||Cypraea Linnaeus, 1758	67
Cerithiidae Fleming, 1822	Animalia|Mollusca|Gastropoda|Neotaenioglossa|Cerithiidae|||Cerithiidae Fleming, 1822	62
Fungia Lamarck, 1801	Animalia|Cnidaria|Anthozoa|Scleractinia|Fungiidae|Fungia||Fungia Lamarck, 1801	62
Tellina Linnaeus, 1758	Animalia|Mollusca|Bivalvia|Veneroida|Tellinidae|Tellina||Tellina Linnaeus, 1758	61
Echinoidea	Animalia|Echinodermata|Echinoidea|||||Echinoidea	56
Echinoidea Leske, 1778	Animalia|Echinodermata|Echinoidea|||||Echinoidea Leske, 1778	56
Barbatia Gray, 1842	Animalia|Mollusca|Bivalvia|Arcoida|Arcidae|Barbatia||Barbatia Gray, 1842	55
Parahyotissa numisma (Lamarck, 1819)	Animalia|Mollusca|Bivalvia|Ostreoida|Gryphaeidae|Parahyotissa|numisma|Parahyotissa numisma (Lamarck, 1819)	54
Astralium Link, 1807	Animalia|Mollusca|Gastropoda|Archaeogastropoda|Turbinidae|Astralium||Astralium Link, 1807	54
Tellinidae Blainville, 1814	Animalia|Mollusca|Bivalvia|Veneroida|Tellinidae|||Tellinidae Blainville, 1814	54
Barbatia parva (G.B. Sowerby I, 1833)	Animalia|Mollusca|Bivalvia|Arcoida|Arcidae|Barbatia|parva|Barbatia parva (G.B. Sowerby I, 1833)	54
Tellinidae	Animalia|Mollusca|Bivalvia|Veneroida|Tellinidae|||Tellinidae	53
Muricidae Rafinesque, 1815	Animalia|Mollusca|Gastropoda|Neogastropoda||||Muricidae Rafinesque, 1815	52
Hindsia Adams, 1853	Animalia|Mollusca|Gastropoda|Neogastropoda|Buccinidae|Hindsia||Hindsia Adams, 1853	52
Cerithium Bruguiere, 1789	Animalia|Mollusca|Gastropoda|Neotaenioglossa|Cerithiidae|Cerithium||Cerithium Bruguiere, 1789	52
Ctenoides annulatus (Lamarck, 1819)	Animalia|Mollusca|Bivalvia|Limoida|Limidae|Ctenoides|annulatus|Ctenoides annulatus (Lamarck, 1819)	51
Vexillum Röding, 1798	Animalia|Mollusca|Gastropoda|Neogastropoda|Costellariidae|Vexillum||Vexillum Röding, 1798	50
Mitrella Risso, 1826	Animalia|Mollusca|Gastropoda|Neogastropoda|Columbellidae|Mitrella||Mitrella Risso, 1826	47
Pectinidae Rafinesque, 1815	Animalia|Mollusca|Bivalvia|Ostreoida|Pectinidae|||Pectinidae Rafinesque, 1815	46
Cardiidae Lamarck, 1809	Animalia|Mollusca|Bivalvia|Veneroida|Cardiidae|||Cardiidae Lamarck, 1809	44
Cardiidae	Animalia|Mollusca|Bivalvia|Veneroida|Cardiidae|||Cardiidae	44
Lepidodactylus lugubris Duméril & Bibron, 1836	Animalia|Chordata|Reptilia|Squamata|Gekkonidae|Lepidodactylus|lugubris|Lepidodactylus lugubris Duméril & Bibron, 1836	42
Plicatula Lamarck, 1801	Animalia|Mollusca|Bivalvia|Ostreoida|Plicatulidae|Plicatula||Plicatula Lamarck, 1801	42
Cypraea Linnaeus, 1758	Animalia|Mollusca|Gastropoda|Littorinimorpha|Cypraeidae|Cypraea||Cypraea Linnaeus, 1758	42
Leptothyra inepta	Animalia|Mollusca|Gastropoda|Vetigastropoda|Colloniidae|Collonista|inepta|Leptothyra inepta	42
Cerithiidae	Animalia|Mollusca|Gastropoda||Cerithiidae|||Cerithiidae	40
Conus sponsalis Hwass in Bruguière, 1792	Animalia|Mollusca|Gastropoda|Neogastropoda|Conidae||sponsalis|Conus sponsalis Hwass in Bruguière, 1792	39
Ctenoides Mörch, 1853	Animalia|Mollusca|Bivalvia|Limoida|Limidae|Ctenoides||Ctenoides Mörch, 1853	36
Turridae	Animalia|Mollusca|Gastropoda|Neogastropoda|Turridae|||Turridae	36
Pavona Lamarck, 1801	Animalia|Cnidaria|Anthozoa|Scleractinia|Agariciidae|Pavona||Pavona Lamarck, 1801	36
Conus Linnaeus, 1758	Animalia|Mollusca|Gastropoda|Neogastropoda|Conidae|||Conus Linnaeus, 1758	35
