taxonName	taxonPath	recordCount
	|||||||	205
Gygis alba (Sparrman, 1786)	Animalia|Chordata|Aves|Charadriiformes|Laridae|Gygis|alba|Gygis alba (Sparrman, 1786)	201
Platycercus elegans (Gmelin, 1788)	Animalia|Chordata|Aves|Psittaciformes|Psittacidae|Platycercus|elegans|Platycercus elegans (Gmelin, 1788)	173
Turdus merula Linnaeus, 1758	Animalia|Chordata|Aves|Passeriformes|Turdidae|Turdus|merula|Turdus merula Linnaeus, 1758	146
Zosterops lateralis (Latham, 1802)	Animalia|Chordata|Aves|Passeriformes|Zosteropidae|Zosterops|lateralis|Zosterops lateralis (Latham, 1802)	143
Technomyrmex jocosus Forel, 1910	Animalia|Arthropoda|Insecta|Hymenoptera|Formicidae|Technomyrmex|jocosus|Technomyrmex jocosus Forel, 1910	132
Lejeuneaceae	Plantae|Marchantiophyta|Jungermanniopsida|Porellales|Lejeuneaceae|||Lejeuneaceae	132
Rhipidura albiscapa Gould, 1840	Animalia|Chordata|Aves|Passeriformes|Rhipiduridae|Rhipidura|albiscapa|Rhipidura albiscapa Gould, 1840	126
Todiramphus sanctus (Vigors & Horsfield, 1827)	Animalia|Chordata|Aves|Coraciiformes|Alcedinidae|Todiramphus|sanctus|Todiramphus sanctus (Vigors & Horsfield, 1827)	125
Sturnus vulgaris Linnaeus, 1758	Animalia|Chordata|Aves|Passeriformes|Sturnidae|Sturnus|vulgaris|Sturnus vulgaris Linnaeus, 1758	119
Amblyopone Erichson, 1842	Animalia|Arthropoda|Insecta|Hymenoptera|Formicidae|Amblyopone||Amblyopone Erichson, 1842	115
Leptogium (Ach.) Gray	Fungi|Ascomycota|Lecanoromycetes|Peltigerales|Collemataceae|Leptogium||Leptogium (Ach.) Gray	111
Cardiocondyla nuda (Mayr, 1866)	Animalia|Arthropoda|Insecta|Hymenoptera|Formicidae|Cardiocondyla|nuda|Cardiocondyla nuda (Mayr, 1866)	107
Allenoconcha basispiralis Preston, 1913	Animalia|Mollusca|Gastropoda|Stylommatophora|Helicarionidae|Allenoconcha|basispiralis|Allenoconcha basispiralis Preston, 1913	100
