taxonName	taxonPath	recordCount
Mollusca	Animalia|Mollusca||||||Mollusca	7338
Chordata	Animalia|Chordata||||||Chordata	4528
Pheidole Westwood, 1839	Animalia|Arthropoda|Insecta|Hymenoptera|Formicidae|Pheidole||Pheidole Westwood, 1839	3872
Platymantis pelewensis Peters, 1867	Animalia|Chordata|Amphibia|Anura|Ceratobatrachidae|Platymantis|pelewensis|Platymantis pelewensis Peters, 1867	1548
Palaina Semper, 1865	Animalia|Mollusca|Gastropoda|Architaenioglossa|Diplommatinidae|Palaina||Palaina Semper, 1865	1401
Camponotus Mayr, 1861	Animalia|Arthropoda|Insecta|Hymenoptera|Formicidae|Camponotus||Camponotus Mayr, 1861	1138
Tapinoma Förster, 1850	Animalia|Arthropoda|Insecta|Hymenoptera|Formicidae|Tapinoma||Tapinoma Förster, 1850	1027
Lepidodactylus lugubris Duméril & Bibron, 1836	Animalia|Chordata|Reptilia|Squamata|Gekkonidae|Lepidodactylus|lugubris|Lepidodactylus lugubris Duméril & Bibron, 1836	764
Palaina Semper, 1865	Animalia|Mollusca|Gastropoda||Diplommatinidae|Palaina||Palaina Semper, 1865	748
Pheidole sexspinosa Mayr, 1870	Animalia|Arthropoda|Insecta|Hymenoptera|Formicidae|Pheidole|sexspinosa|Pheidole sexspinosa Mayr, 1870	671
Pachycondyla Smith, 1858	Animalia|Arthropoda|Insecta|Hymenoptera|Formicidae|Pachycondyla||Pachycondyla Smith, 1858	666
Pheidole umbonata Mayr, 1870	Animalia|Arthropoda|Insecta|Hymenoptera|Formicidae|Pheidole|umbonata|Pheidole umbonata Mayr, 1870	642
Nylanderia Emery, 1906	Animalia|Arthropoda|Insecta|Hymenoptera|Formicidae|Nylanderia||Nylanderia Emery, 1906	636
Pristomyrmex Mayr, 1866	Animalia|Arthropoda|Insecta|Hymenoptera|Formicidae|Pristomyrmex||Pristomyrmex Mayr, 1866	568
Emoia caeruleocauda (De Vis, 1892)	Animalia|Chordata|Reptilia|Squamata|Scincidae|Emoia|caeruleocauda|Emoia caeruleocauda (De Vis, 1892)	566
Todiramphus chloris (Boddaert, 1783)	Animalia|Chordata|Aves|Coraciiformes|Alcedinidae|Todiramphus|chloris|Todiramphus chloris (Boddaert, 1783)	566
Carebara Westwood, 1840	Animalia|Arthropoda|Insecta|Hymenoptera|Formicidae|Carebara||Carebara Westwood, 1840	534
Palaua Baker, 1941	Animalia|Mollusca|Gastropoda|Stylommatophora|Euconulidae|Palaua||Palaua Baker, 1941	523
Ponera Latreille, 1804	Animalia|Arthropoda|Insecta|Hymenoptera|Formicidae|Ponera||Ponera Latreille, 1804	514
Omphalotropis Pfeiffer, 1851	Animalia|Mollusca|Gastropoda|Neotaenioglossa|Assimineidae|Omphalotropis||Omphalotropis Pfeiffer, 1851	513
Nycticorax caledonicus (Gmelin, 1789)	Animalia|Chordata|Aves|Pelecaniformes|Ardeidae|Nycticorax|caledonicus|Nycticorax caledonicus (Gmelin, 1789)	505
Aplonis opaca (Kittlitz, 1833)	Animalia|Chordata|Aves|Passeriformes|Sturnidae|Aplonis|opaca|Aplonis opaca (Kittlitz, 1833)	503
Acanthuridae	Animalia|Chordata|Actinopterygii|Perciformes|Acanthuridae|||Acanthuridae	491
Carlia Gray, 1845	Animalia|Chordata|Reptilia|Squamata|Scincidae|Carlia||Carlia Gray, 1845	484
Ptilinopus pelewensis Hartlaub & Finsch, 1868	Animalia|Chordata|Aves|Columbiformes|Columbidae|Ptilinopus|pelewensis|Ptilinopus pelewensis Hartlaub & Finsch, 1868	480
Anous minutus F. Boie, 1844	Animalia|Chordata|Aves|Charadriiformes|Laridae|Anous|minutus|Anous minutus F. Boie, 1844	465
Technomyrmex albipes (Smith, 1861)	Animalia|Arthropoda|Insecta|Hymenoptera|Formicidae|Technomyrmex|albipes|Technomyrmex albipes (Smith, 1861)	462
Emoia caeruleocauda DE Vis, 1892	Animalia|Chordata|Reptilia|Squamata|Scincidae|Emoia|caeruleocauda|Emoia caeruleocauda DE Vis, 1892	453
Myzomela rubratra (Lesson, 1827)	Animalia|Chordata|Aves|Passeriformes|Meliphagidae|Myzomela|rubratra|Myzomela rubratra (Lesson, 1827)	443
Gobiidae	Animalia|Chordata|Actinopterygii|Perciformes|Gobiidae|||Gobiidae	439
Paratrechina Motschoulsky, 1863	Animalia|Arthropoda|Insecta|Hymenoptera|Formicidae|Paratrechina||Paratrechina Motschoulsky, 1863	428
Halichoeres Rüppell, 1835	Animalia|Chordata|Actinopterygii|Perciformes|Labridae|Halichoeres||Halichoeres Rüppell, 1835	422
Callogobius Bleeker, 1874	Animalia|Chordata|Actinopterygii|Perciformes|Gobiidae|Callogobius||Callogobius Bleeker, 1874	416
Aerodramus pelewensis (Mayr, 1935)	Animalia|Chordata|Aves|Apodiformes|Apodidae|Aerodramus|pelewensis|Aerodramus pelewensis (Mayr, 1935)	408
