taxonName	taxonPath	recordCount
	|||||||	1399
Apomys Mearns, 1905	Animalia|Chordata|Mammalia|Rodentia|Muridae|Apomys||Apomys Mearns, 1905	744
Mollusca	Animalia|Mollusca||||||Mollusca	554
Scotophilus kuhlii Leach, 1821	Animalia|Chordata|Mammalia|Chiroptera|Vespertilionidae|Scotophilus|kuhlii|Scotophilus kuhlii Leach, 1821	313
Rhipidura cyaniceps (Cassin, 1855)	Animalia|Chordata|Aves|Passeriformes|Rhipiduridae|Rhipidura|cyaniceps|Rhipidura cyaniceps (Cassin, 1855)	283
Idas Jeffreys, 1876	Animalia|Mollusca|Bivalvia|Mytiloida|Mytilidae|Idas||Idas Jeffreys, 1876	282
Cynopterus brachyotis (Müller, 1838)	Animalia|Chordata|Mammalia|Chiroptera|Pteropodidae|Cynopterus|brachyotis|Cynopterus brachyotis (Müller, 1838)	279
Ptenochirus jagori (Peters, 1861)	Animalia|Chordata|Mammalia|Chiroptera|Pteropodidae|Ptenochirus|jagori|Ptenochirus jagori (Peters, 1861)	241
Crocidura grayi Dobson, 1890	Animalia|Chordata|Mammalia|Soricomorpha|Soricidae|Crocidura|grayi|Crocidura grayi Dobson, 1890	202
Copsychus luzoniensis (Kittlitz, 1832)	Animalia|Chordata|Aves|Passeriformes|Muscicapidae|Copsychus|luzoniensis|Copsychus luzoniensis (Kittlitz, 1832)	184
Hypsipetes philippinus (J. R. Forster, 1795)	Animalia|Chordata|Aves|Passeriformes|Pycnonotidae|Hypsipetes|philippinus|Hypsipetes philippinus (J. R. Forster, 1795)	175
Rattus everetti (Günther, 1879)	Animalia|Chordata|Mammalia|Rodentia|Muridae|Rattus|everetti|Rattus everetti (Günther, 1879)	161
Rattus everetti (Guenther, 1879)	Animalia|Chordata|Mammalia|Rodentia|Muridae|Rattus|everetti|Rattus everetti (Guenther, 1879)	160
Actenoides lindsayi (Vigors, 1831)	Animalia|Chordata|Aves|Coraciiformes|Alcedinidae|Actenoides|lindsayi|Actenoides lindsayi (Vigors, 1831)	144
Rousettus amplexicaudatus subsp. amplexicaudatus	Animalia|Chordata|Mammalia|Chiroptera|Pteropodidae|Rousettus|amplexicaudatus|Rousettus amplexicaudatus subsp. amplexicaudatus	144
Otopteropus cartilagonodus Kock, 1969	Animalia|Chordata|Mammalia|Chiroptera|Pteropodidae|Otopteropus|cartilagonodus|Otopteropus cartilagonodus Kock, 1969	142
Hypsipetes philippinus	Animalia|Chordata|Aves|Passeriformes|Pycnonotidae|Hypsipetes|philippinus|Hypsipetes philippinus	133
Dicrurus balicassius (Linnaeus, 1766)	Animalia|Chordata|Aves|Passeriformes|Dicruridae|Dicrurus|balicassius|Dicrurus balicassius (Linnaeus, 1766)	128
Pycnonotus goiavier (Scopoli, 1786)	Animalia|Chordata|Aves|Passeriformes|Pycnonotidae|Pycnonotus|goiavier|Pycnonotus goiavier (Scopoli, 1786)	124
Gobiidae	Animalia|Chordata|Actinopterygii|Perciformes|Gobiidae|||Gobiidae	124
Lanius cristatus Linnaeus, 1758	Animalia|Chordata|Aves|Passeriformes|Laniidae|Lanius|cristatus|Lanius cristatus Linnaeus, 1758	112
Rhinolophus arcuatus subsp. arcuatus	Animalia|Chordata|Mammalia|Chiroptera|Rhinolophidae|Rhinolophus|arcuatus|Rhinolophus arcuatus subsp. arcuatus	112
Gemmula cosmoi (Sykes, 1930)	Animalia|Mollusca|Gastropoda|Neogastropoda|Turridae|Gemmula|cosmoi|Gemmula cosmoi (Sykes, 1930)	108
Pycnonotus urostictus (Salvadori, 1870)	Animalia|Chordata|Aves|Passeriformes|Pycnonotidae|Pycnonotus|urostictus|Pycnonotus urostictus (Salvadori, 1870)	107
Chalcophaps indica (Linnaeus, 1758)	Animalia|Chordata|Aves|Columbiformes|Columbidae|Chalcophaps|indica|Chalcophaps indica (Linnaeus, 1758)	104
Passer montanus (Linnaeus, 1758)	Animalia|Chordata|Aves|Passeriformes|Passeridae|Passer|montanus|Passer montanus (Linnaeus, 1758)	100
Ceyx melanurus (Kaup, 1848)	Animalia|Chordata|Aves|Coraciiformes|Alcedinidae|Ceyx|melanurus|Ceyx melanurus (Kaup, 1848)	96
Gastropoda	Animalia|Mollusca|Gastropoda|||||Gastropoda	96
Geopelia striata (Linnaeus, 1766)	Animalia|Chordata|Aves|Columbiformes|Columbidae|Geopelia|striata|Geopelia striata (Linnaeus, 1766)	94
Rhynchomys Thomas, 1895	Animalia|Chordata|Mammalia|Rodentia|Muridae|Rhynchomys||Rhynchomys Thomas, 1895	93
Nassarius Dumeril, 1806	Animalia|Mollusca|Gastropoda|Neogastropoda|Nassariidae|Nassarius||Nassarius Dumeril, 1806	89
Megalurus palustris Horsfield, 1821	Animalia|Chordata|Aves|Passeriformes|Locustellidae|Megalurus|palustris|Megalurus palustris Horsfield, 1821	88
