taxonName	taxonPath	recordCount
Regulus regulus (Linnaeus, 1758)	Animalia|Chordata|Aves|Passeriformes|Regulidae|Regulus|regulus|Regulus regulus (Linnaeus, 1758)	497395
Erithacus rubecula (Linnaeus, 1758)	Animalia|Chordata|Aves|Passeriformes|Muscicapidae|Erithacus|rubecula|Erithacus rubecula (Linnaeus, 1758)	265496
Parus major Linnaeus, 1758	Animalia|Chordata|Aves|Passeriformes|Paridae|Parus|major|Parus major Linnaeus, 1758	136722
Aegithalos caudatus (Linnaeus, 1758)	Animalia|Chordata|Aves|Passeriformes|Aegithalidae|Aegithalos|caudatus|Aegithalos caudatus (Linnaeus, 1758)	43161
Parus caeruleus Linnaeus, 1758	Animalia|Chordata|Aves|Passeriformes|Paridae|Cyanistes|caeruleus|Parus caeruleus Linnaeus, 1758	35560
Parus caeruleus Linnaeus, 1758	Animalia|Chordata|Aves|Passeriformes|Paridae|Parus|caeruleus|Parus caeruleus Linnaeus, 1758	27760
Sylvia atricapilla (Linnaeus, 1758)	Animalia|Chordata|Aves|Passeriformes|Sylviidae|Sylvia|atricapilla|Sylvia atricapilla (Linnaeus, 1758)	26736
Turdus merula Linnaeus, 1758	Animalia|Chordata|Aves|Passeriformes|Turdidae|Turdus|merula|Turdus merula Linnaeus, 1758	22504
Fringilla coelebs Linnaeus, 1758	Animalia|Chordata|Aves|Passeriformes|Fringillidae|Fringilla|coelebs|Fringilla coelebs Linnaeus, 1758	21568
Phylloscopus trochilus (Linnaeus, 1758)	Animalia|Chordata|Aves|Passeriformes|Phylloscopidae|Phylloscopus|trochilus|Phylloscopus trochilus (Linnaeus, 1758)	20995
Acrocephalus scirpaceus (Hermann, 1804)	Animalia|Chordata|Aves|Passeriformes|Acrocephalidae|Acrocephalus|scirpaceus|Acrocephalus scirpaceus (Hermann, 1804)	20396
Phylloscopus trochilus (Linnaeus, 1758)	Animalia|Chordata|Aves|Passeriformes|Sylviidae|Phylloscopus|trochilus|Phylloscopus trochilus (Linnaeus, 1758)	18712
Acrocephalus scirpaceus (Hermann, 1804)	Animalia|Chordata|Aves|Passeriformes|Sylviidae|Acrocephalus|scirpaceus|Acrocephalus scirpaceus (Hermann, 1804)	17256
Turdus philomelos C. L. Brehm, 1831	Animalia|Chordata|Aves|Passeriformes|Turdidae|Turdus|philomelos|Turdus philomelos C. L. Brehm, 1831	16303
Pieris napi (Linnaeus, 1758)	Animalia|Arthropoda|Insecta|Lepidoptera|Pieridae|Pieris|napi|Pieris napi (Linnaeus, 1758)	15543
Turdus philomelos Brehm, 1831	Animalia|Chordata|Aves|Passeriformes|Turdidae|Turdus|philomelos|Turdus philomelos Brehm, 1831	14589
Sorex araneus Linnaeus, 1758	Animalia|Chordata|Mammalia|Soricomorpha|Soricidae|Sorex|araneus|Sorex araneus Linnaeus, 1758	14454
Gonepteryx rhamni (Linnaeus, 1758)	Animalia|Arthropoda|Insecta|Lepidoptera|Pieridae|Gonepteryx|rhamni|Gonepteryx rhamni (Linnaeus, 1758)	14001
Pieris brassicae (Linnaeus, 1758)	Animalia|Arthropoda|Insecta|Lepidoptera|Pieridae|Pieris|brassicae|Pieris brassicae (Linnaeus, 1758)	13469
Phoenicurus phoenicurus (Linnaeus, 1758)	Animalia|Chordata|Aves|Passeriformes|Muscicapidae|Phoenicurus|phoenicurus|Phoenicurus phoenicurus (Linnaeus, 1758)	12838
Pieris rapae (Linnaeus, 1758)	Animalia|Arthropoda|Insecta|Lepidoptera|Pieridae|Pieris|rapae|Pieris rapae (Linnaeus, 1758)	12544
Ficedula hypoleuca (Pallas, 1764)	Animalia|Chordata|Aves|Passeriformes|Muscicapidae|Ficedula|hypoleuca|Ficedula hypoleuca (Pallas, 1764)	12197
Phylloscopus collybita (Vieillot, 1817)	Animalia|Chordata|Aves|Passeriformes|Phylloscopidae|Phylloscopus|collybita|Phylloscopus collybita (Vieillot, 1817)	11727
Phylloscopus collybita (Vieillot, 1817)	Animalia|Chordata|Aves|Passeriformes|Sylviidae|Phylloscopus|collybita|Phylloscopus collybita (Vieillot, 1817)	11127
Coenonympha pamphilus Linnaeus, 1758	Animalia|Arthropoda|Insecta|Lepidoptera|Nymphalidae|Coenonympha|pamphilus|Coenonympha pamphilus Linnaeus, 1758	10980
Aglais urticae Linnaeus, 1758	Animalia|Arthropoda|Insecta|Lepidoptera|Nymphalidae|Aglais|urticae|Aglais urticae Linnaeus, 1758	10956
Maniola jurtina Linnaeus, 1758	Animalia|Arthropoda|Insecta|Lepidoptera|Nymphalidae|Maniola|jurtina|Maniola jurtina Linnaeus, 1758	10944
Aphantopus hyperantus Linnaeus, 1761	Animalia|Arthropoda|Insecta|Lepidoptera|Nymphalidae|Aphantopus|hyperantus|Aphantopus hyperantus Linnaeus, 1761	10818
Araschnia levana Linnaeus, 1758	Animalia|Arthropoda|Insecta|Lepidoptera|Nymphalidae|Araschnia|levana|Araschnia levana Linnaeus, 1758	10526
Troglodytes troglodytes (Linnaeus, 1758)	Animalia|Chordata|Aves|Passeriformes|Troglodytidae|Troglodytes|troglodytes|Troglodytes troglodytes (Linnaeus, 1758)	9101
Issoria lathonia Linnaeus, 1758	Animalia|Arthropoda|Insecta|Lepidoptera|Nymphalidae|Issoria|lathonia|Issoria lathonia Linnaeus, 1758	9088
Sorex minutus Linnaeus, 1766	Animalia|Chordata|Mammalia|Soricomorpha|Soricidae|Sorex|minutus|Sorex minutus Linnaeus, 1766	8790
Sylvia curruca (Linnaeus, 1758)	Animalia|Chordata|Aves|Passeriformes|Sylviidae|Sylvia|curruca|Sylvia curruca (Linnaeus, 1758)	8705
Parus ater Linnaeus, 1758	Animalia|Chordata|Aves|Passeriformes|Paridae|Periparus|ater|Parus ater Linnaeus, 1758	8665
Apodemus flavicollis (Melchior, 1834)	Animalia|Chordata|Mammalia|Rodentia|Muridae|Apodemus|flavicollis|Apodemus flavicollis (Melchior, 1834)	8590
Vanessa atalanta Linnaeus, 1758	Animalia|Arthropoda|Insecta|Lepidoptera|Nymphalidae|Vanessa|atalanta|Vanessa atalanta Linnaeus, 1758	8574
Microtus oeconomus (Pallas, 1776)	Animalia|Chordata|Mammalia|Rodentia|Cricetidae|Microtus|oeconomus|Microtus oeconomus (Pallas, 1776)	8421
Microtus oeconomus (Pallas, 1776)	Animalia|Chordata|Mammalia|Rodentia|Muridae|Microtus|oeconomus|Microtus oeconomus (Pallas, 1776)	8421
