taxonName	taxonPath	recordCount
Chordata	Animalia|Chordata||||||Chordata	420
Mollusca	Animalia|Mollusca||||||Mollusca	365
Cardiophorus Eschz., 1829	Animalia|Arthropoda|Insecta|Coleoptera|Elateridae|Cardiophorus||Cardiophorus Eschz., 1829	226
Cardiophorus Eschscholtz, 1829	Animalia|Arthropoda|Insecta|Coleoptera|Elateridae|Cardiophorus||Cardiophorus Eschscholtz, 1829	226
Hemichromis elongatus (Guichenot, 1861)	Animalia|Chordata|Actinopterygii|Perciformes|Cichlidae|Hemichromis|elongatus|Hemichromis elongatus (Guichenot, 1861)	180
Marcusenius moorii (Günther, 1867)	Animalia|Chordata|Actinopterygii|Osteoglossiformes|Mormyridae|Marcusenius|moorii|Marcusenius moorii (Günther, 1867)	174
Barbus holotaenia Boulenger, 1904	Animalia|Chordata|Actinopterygii|Cypriniformes|Cyprinidae|Barbus|holotaenia|Barbus holotaenia Boulenger, 1904	157
Hepsetus odoe (Bloch, 1794)	Animalia|Chordata|Actinopterygii|Characiformes|Hepsetidae|Hepsetus|odoe|Hepsetus odoe (Bloch, 1794)	145
Lemniscomys striatus (Linnaeus, 1758)	Animalia|Chordata|Mammalia|Rodentia|Muridae|Lemniscomys|striatus|Lemniscomys striatus (Linnaeus, 1758)	137
Pollimyrus Taverne, 1971	Animalia|Chordata|Actinopterygii|Osteoglossiformes|Mormyridae|Pollimyrus||Pollimyrus Taverne, 1971	126
Brycinus longipinnis (Günther, 1864)	Animalia|Chordata|Actinopterygii|Characiformes|Alestidae|Brycinus|longipinnis|Brycinus longipinnis (Günther, 1864)	126
Diolcogaster Ashmead, 1900	Animalia|Arthropoda|Insecta|Hymenoptera|Braconidae|Diolcogaster||Diolcogaster Ashmead, 1900	126
Barbus camptacanthus (Bleeker, 1863)	Animalia|Chordata|Actinopterygii|Cypriniformes|Cyprinidae|Barbus|camptacanthus|Barbus camptacanthus (Bleeker, 1863)	106
Phago boulengeri Schilthuis, 1891	Animalia|Chordata|Actinopterygii|Characiformes|Distichodontidae|Phago|boulengeri|Phago boulengeri Schilthuis, 1891	106
Labeobarbus compiniei (Sauvage, 1879)	Animalia|Chordata|Actinopterygii|Cypriniformes|Cyprinidae|Labeobarbus|compiniei|Labeobarbus compiniei (Sauvage, 1879)	104
Petrocephalus zakoni Lavoué, Sullivan & Arnegard, 2010	Animalia|Chordata|Actinopterygii|Osteoglossiformes|Mormyridae|Petrocephalus|zakoni|Petrocephalus zakoni Lavoué, Sullivan & Arnegard, 2010	100
Phenacogrammus interruptus (Boulenger, 1899)	Animalia|Chordata|Actinopterygii|Characiformes|Alestidae|Phenacogrammus|interruptus|Phenacogrammus interruptus (Boulenger, 1899)	95
Hylomyscus alleni (Waterhouse, 1838)	Animalia|Chordata|Mammalia|Rodentia|Muridae|Hylomyscus|alleni|Hylomyscus alleni (Waterhouse, 1838)	94
Chromidotilapia kingsleyae Boulenger, 1898	Animalia|Chordata|Actinopterygii|Perciformes|Cichlidae|Chromidotilapia|kingsleyae|Chromidotilapia kingsleyae Boulenger, 1898	94
Barbus Cuvier & Cloquet, 1816	Animalia|Chordata|Actinopterygii|Cypriniformes|Cyprinidae|Barbus||Barbus Cuvier & Cloquet, 1816	89
Paramormyrops kingsleyae (Günther, 1896)	Animalia|Chordata|Actinopterygii|Osteoglossiformes|Mormyridae|Paramormyrops|kingsleyae|Paramormyrops kingsleyae (Günther, 1896)	87
Hylomyscus Thomas, 1926	Animalia|Chordata|Mammalia|Rodentia|Muridae|Hylomyscus||Hylomyscus Thomas, 1926	78
Clarias camerunensis Lönnberg, 1895	Animalia|Chordata|Actinopterygii|Siluriformes|Clariidae|Clarias|camerunensis|Clarias camerunensis Lönnberg, 1895	76
Phractura brevicauda Boulenger, 1911	Animalia|Chordata|Actinopterygii|Siluriformes|Amphiliidae|Phractura|brevicauda|Phractura brevicauda Boulenger, 1911	75
Xenocharax spilurus Günther, 1867	Animalia|Chordata|Actinopterygii|Characiformes|Distichodontidae|Xenocharax|spilurus|Xenocharax spilurus Günther, 1867	74
Distichodus noboli Boulenger, 1899	Animalia|Chordata|Actinopterygii|Characiformes|Distichodontidae|Distichodus|noboli|Distichodus noboli Boulenger, 1899	73
Polyrhachis Smith, 1857	Animalia|Arthropoda|Insecta|Hymenoptera|Formicidae|Polyrhachis||Polyrhachis Smith, 1857	71
Vigna unguiculata (L.) Walp.	Plantae|Magnoliophyta|Magnoliopsida|Fabales|Fabaceae|Vigna|unguiculata|Vigna unguiculata (L.) Walp.	70
Vigna subterranea (L.) Verdc.	Plantae|Magnoliophyta|Magnoliopsida|Fabales|Fabaceae|Vigna|subterranea|Vigna subterranea (L.) Verdc.	70
Vigna subterranea (L.) Verdc.	Plantae|Tracheophyta|Magnoliopsida|Fabales|Fabaceae|Vigna|subterranea|Vigna subterranea (L.) Verdc.	70
