taxonName	taxonPath	recordCount
Lantana camara L.	Plantae|Tracheophyta|Magnoliopsida|Lamiales|Verbenaceae|Lantana|camara|Lantana camara L.	1354
Erigeron karvinskianus DC.	Plantae|Tracheophyta|Magnoliopsida|Asterales|Asteraceae|Erigeron|karvinskianus|Erigeron karvinskianus DC.	1122
Hypochaeris radicata L.	Plantae|Tracheophyta|Magnoliopsida|Asterales|Asteraceae|Hypochaeris|radicata|Hypochaeris radicata L.	1009
Psidium cattleianum Afzel. ex Sabine	Plantae|Tracheophyta|Magnoliopsida|Myrtales|Myrtaceae|Psidium|cattleianum|Psidium cattleianum Afzel. ex Sabine	913
Pteridium aquilinum (L.) Kuhn	Plantae|Tracheophyta|Polypodiopsida|Polypodiales|Dennstaedtiaceae|Pteridium|aquilinum|Pteridium aquilinum (L.) Kuhn	845
Furcraea foetida (L.) Haw.	Plantae|Tracheophyta|Liliopsida|Asparagales|Asparagaceae|Furcraea|foetida|Furcraea foetida (L.) Haw.	821
Zosterops borbonicus (J. R. Forster, 1781)	Animalia|Chordata|Aves|Passeriformes|Zosteropidae|Zosterops|borbonicus|Zosterops borbonicus (J. R. Forster, 1781)	765
Solanum mauritianum Scop.	Plantae|Tracheophyta|Magnoliopsida|Solanales|Solanaceae|Solanum|mauritianum|Solanum mauritianum Scop.	715
Isolepis fluitans (L.) R.Br.	Plantae|Tracheophyta|Liliopsida|Poales|Cyperaceae|Isolepis|fluitans|Isolepis fluitans (L.) R.Br.	713
Anthoxanthum odoratum L.	Plantae|Tracheophyta|Liliopsida|Poales|Poaceae|Anthoxanthum|odoratum|Anthoxanthum odoratum L.	704
Leucaena leucocephala (Lam.) de Wit	Plantae|Tracheophyta|Magnoliopsida|Fabales|Fabaceae|Leucaena|leucocephala|Leucaena leucocephala (Lam.) de Wit	675
Dracaena reflexa Lam.	Plantae|Tracheophyta|Liliopsida|Asparagales|Asparagaceae|Dracaena|reflexa|Dracaena reflexa Lam.	644
Syzygium jambos (L.) Alston	Plantae|Tracheophyta|Magnoliopsida|Myrtales|Myrtaceae|Syzygium|jambos|Syzygium jambos (L.) Alston	565
Oxalis corniculata L.	Plantae|Tracheophyta|Magnoliopsida|Oxalidales|Oxalidaceae|Oxalis|corniculata|Oxalis corniculata L.	563
Juncus effusus L.	Plantae|Tracheophyta|Liliopsida|Poales|Juncaceae|Juncus|effusus|Juncus effusus L.	539
Formicidae Latreille, 1802	Animalia|Arthropoda|Insecta|Hymenoptera|Formicidae|||Formicidae Latreille, 1802	535
Formicidae	Animalia|Arthropoda|Insecta|Hymenoptera|Formicidae|||Formicidae	535
Hedychium gardnerianum Sheppard ex Ker Gawl.	Plantae|Tracheophyta|Liliopsida|Zingiberales|Zingiberaceae|Hedychium|gardnerianum|Hedychium gardnerianum Sheppard ex Ker Gawl.	515
Panicum maximum Jacq.	Plantae|Tracheophyta|Liliopsida|Poales|Poaceae|Panicum|maximum|Panicum maximum Jacq.	507
Erigeron sumatrensis Retz.	Plantae|Tracheophyta|Magnoliopsida|Asterales|Asteraceae|Erigeron|sumatrensis|Erigeron sumatrensis Retz.	464
Albizia lebbeck (L.) Benth.	Plantae|Tracheophyta|Magnoliopsida|Fabales|Fabaceae|Albizia|lebbeck|Albizia lebbeck (L.) Benth.	414
Nephrolepis biserrata (Sw.) Schott	Plantae|Tracheophyta|Polypodiopsida|Polypodiales|Nephrolepidaceae|Nephrolepis|biserrata|Nephrolepis biserrata (Sw.) Schott	389
Rubus rosifolius Smith	Plantae|Tracheophyta|Magnoliopsida|Rosales|Rosaceae|Rubus|rosifolius|Rubus rosifolius Smith	380
Ardisia crenata Sims	Plantae|Tracheophyta|Magnoliopsida|Ericales|Primulaceae|Ardisia|crenata|Ardisia crenata Sims	379
Eriobotrya japonica (Thunb.) Lindl.	Plantae|Tracheophyta|Magnoliopsida|Rosales|Rosaceae|Eriobotrya|japonica|Eriobotrya japonica (Thunb.) Lindl.	368
Cynodon dactylon (L.) Pers.	Plantae|Tracheophyta|Liliopsida|Poales|Poaceae|Cynodon|dactylon|Cynodon dactylon (L.) Pers.	366
Acacia mearnsii De Wild.	Plantae|Tracheophyta|Magnoliopsida|Fabales|Fabaceae|Acacia|mearnsii|Acacia mearnsii De Wild.	359
Centella asiatica (L.) Urb.	Plantae|Tracheophyta|Magnoliopsida|Apiales|Apiaceae|Centella|asiatica|Centella asiatica (L.) Urb.	349
Desmanthus virgatus (L.) Willd.	Plantae|Tracheophyta|Magnoliopsida|Fabales|Fabaceae|Desmanthus|virgatus|Desmanthus virgatus (L.) Willd.	334
Solanum americanum Mill.	Plantae|Tracheophyta|Magnoliopsida|Solanales|Solanaceae|Solanum|americanum|Solanum americanum Mill.	332
Verbascum thapsus L.	Plantae|Tracheophyta|Magnoliopsida|Lamiales|Scrophulariaceae|Verbascum|thapsus|Verbascum thapsus L.	320
Sporobolus africanus (Poir.) Robyns & Tournay	Plantae|Tracheophyta|Liliopsida|Poales|Poaceae|Sporobolus|africanus|Sporobolus africanus (Poir.) Robyns & Tournay	318
Duchesnea indica (Andr.) Focke	Plantae|Tracheophyta|Magnoliopsida|Rosales|Rosaceae|Potentilla|indica|Duchesnea indica (Andr.) Focke	318
Adiantum hispidulum Sw.	Plantae|Tracheophyta|Polypodiopsida|Polypodiales|Pteridaceae|Adiantum|hispidulum|Adiantum hispidulum Sw.	314
Ageratum conyzoides L.	Plantae|Tracheophyta|Magnoliopsida|Asterales|Asteraceae|Ageratum|conyzoides|Ageratum conyzoides L.	314
