taxonName	taxonPath	recordCount
Myotis brandtii (Eversmann, 1845)	Animalia|Chordata|Mammalia|Chiroptera|Vespertilionidae|Myotis|brandtii|Myotis brandtii (Eversmann, 1845)	495185
Myotis brandtii Eversmann, 1845	Animalia|Chordata|Mammalia|Chiroptera|Vespertilionidae|Myotis|brandtii|Myotis brandtii Eversmann, 1845	495183
Pluvialis fulva (Gmelin, 1789)	Animalia|Chordata|Aves|Charadriiformes|Charadriidae|Pluvialis|fulva|Pluvialis fulva (Gmelin, 1789)	12915
	|||||||	5498
Salmo salar Linnaeus, 1758	Animalia|Chordata|Actinopterygii|Salmoniformes|Salmonidae|Salmo|salar|Salmo salar Linnaeus, 1758	5435
Rana arvalis Nilsson, 1842	Animalia|Chordata|Amphibia|Anura|Ranidae|Rana|arvalis|Rana arvalis Nilsson, 1842	3625
Halorubrum saccharovorum (Tomlinson & Hochstein, 1977) McGenity & Grant, 1996	Archaea|Euryarchaeota|Halobacteria|Halobacteriales|Halobacteriaceae|Halorubrum|saccharovorum|Halorubrum saccharovorum (Tomlinson & Hochstein, 1977) McGenity & Grant, 1996	2740
Pelophylax ridibundus (Pallas, 1771)	Animalia|Chordata|Amphibia|Anura|Ranidae|Pelophylax|ridibundus|Pelophylax ridibundus (Pallas, 1771)	2593
Salamandrella keyserlingii Dybowski, 1870	Animalia|Chordata|Amphibia|Caudata|Hynobiidae|Salamandrella|keyserlingii|Salamandrella keyserlingii Dybowski, 1870	1782
Myodes rutilus (Pallas, 1779)	Animalia|Chordata|Mammalia|Rodentia|Cricetidae|Myodes|rutilus|Myodes rutilus (Pallas, 1779)	1639
Rana temporaria Linnaeus, 1758	Animalia|Chordata|Amphibia|Anura|Ranidae|Rana|temporaria|Rana temporaria Linnaeus, 1758	1622
Myodes rutilus Pallas, 1779	Animalia|Chordata|Mammalia|Rodentia|Cricetidae|Myodes|rutilus|Myodes rutilus Pallas, 1779	1575
Bufo bufo (Linnaeus, 1758)	Animalia|Chordata|Amphibia|Anura|Bufonidae|Bufo|bufo|Bufo bufo (Linnaeus, 1758)	1484
Bufo viridis Laurenti, 1768	Animalia|Chordata|Amphibia|Anura|Bufonidae|Pseudepidalea|viridis|Bufo viridis Laurenti, 1768	1453
Metridia longa (Lubbock, 1854)	Animalia|Arthropoda|Maxillopoda|Calanoida|Metridinidae|Metridia|longa|Metridia longa (Lubbock, 1854)	1344
Rana amurensis Boulenger, 1886	Animalia|Chordata|Amphibia|Anura|Ranidae|Rana|amurensis|Rana amurensis Boulenger, 1886	1316
Pelobates fuscus (Laurenti, 1768)	Animalia|Chordata|Amphibia|Anura|Pelobatidae|Pelobates|fuscus|Pelobates fuscus (Laurenti, 1768)	1302
Perichaena corticalis (Batsch) Rostaf., 1875	Protozoa|Mycetozoa|Myxomycetes|Trichiales|Arcyriaceae|Perichaena|corticalis|Perichaena corticalis (Batsch) Rostaf., 1875	1298
Lissotriton vulgaris (Linnaeus, 1758)	Animalia|Chordata|Amphibia|Caudata|Salamandridae|Lissotriton|vulgaris|Lissotriton vulgaris (Linnaeus, 1758)	1186
Arcyria cinerea (Bull.) Pers., 1801	Protozoa|Mycetozoa|Myxomycetes|Trichiales|Arcyriaceae|Arcyria|cinerea|Arcyria cinerea (Bull.) Pers., 1801	1165
Arthropoda	Animalia|Arthropoda||||||Arthropoda	1073
Pelophylax lessonae (Camerano, 1882)	Animalia|Chordata|Amphibia|Anura|Ranidae|Pelophylax|lessonae|Pelophylax lessonae (Camerano, 1882)	996
Perichaena depressa Lib., 1837	Protozoa|Mycetozoa|Myxomycetes|Trichiales|Arcyriaceae|Perichaena|depressa|Perichaena depressa Lib., 1837	974
Calanus glacialis Jaschnov, 1955	Animalia|Arthropoda|Maxillopoda|Calanoida|Calanidae|Calanus|glacialis|Calanus glacialis Jaschnov, 1955	948
Sorex caecutiens Laxmann, 1788	Animalia|Chordata|Mammalia|Soricomorpha|Soricidae|Sorex|caecutiens|Sorex caecutiens Laxmann, 1788	937
Bombina bombina (Linnaeus, 1761)	Animalia|Chordata|Amphibia|Anura|Bombinatoridae|Bombina|bombina|Bombina bombina (Linnaeus, 1761)	927
Motacilla alba Linnaeus, 1758	Animalia|Chordata|Aves|Passeriformes|Motacillidae|Motacilla|alba|Motacilla alba Linnaeus, 1758	891
Myodes rufocanus (Sundevall, 1846)	Animalia|Chordata|Mammalia|Rodentia|Cricetidae|Myodes|rufocanus|Myodes rufocanus (Sundevall, 1846)	823
Myodes rufocanus Sundevall, 1846	Animalia|Chordata|Mammalia|Rodentia|Cricetidae|Myodes|rufocanus|Myodes rufocanus Sundevall, 1846	805
Clupea pallasii Valenciennes, 1847	Animalia|Chordata|Actinopterygii|Clupeiformes|Clupeidae|Clupea|pallasii|Clupea pallasii Valenciennes, 1847	804
Hirundo rustica Linnaeus, 1758	Animalia|Chordata|Aves|Passeriformes|Hirundinidae|Hirundo|rustica|Hirundo rustica Linnaeus, 1758	783
Motacilla flava Linnaeus, 1758	Animalia|Chordata|Aves|Passeriformes|Motacillidae|Motacilla|flava|Motacilla flava Linnaeus, 1758	781
Calanus hyperboreus Krøyer, 1838	Animalia|Arthropoda|Maxillopoda|Calanoida|Calanidae|Calanus|hyperboreus|Calanus hyperboreus Krøyer, 1838	776
Microcalanus pygmaeus (G. O. Sars, 1900)	Animalia|Arthropoda|Maxillopoda|Calanoida|Clausocalanidae|Microcalanus|pygmaeus|Microcalanus pygmaeus (G. O. Sars, 1900)	766
Cladophlebis A.T. Brongniart in A.C.V.D. d'Orbigny, 1849	Plantae|Tracheophyta|Polypodiopsida|Osmundales|Osmundaceae|Cladophlebis||Cladophlebis A.T. Brongniart in A.C.V.D. d'Orbigny, 1849	743
Telenomus Haliday, 1833	Animalia|Arthropoda|Insecta|Hymenoptera|Scelionidae|Telenomus||Telenomus Haliday, 1833	733
Carpodacus erythrinus (Pallas, 1770)	Animalia|Chordata|Aves|Passeriformes|Fringillidae|Carpodacus|erythrinus|Carpodacus erythrinus (Pallas, 1770)	730
Triturus cristatus (Laurenti, 1768)	Animalia|Chordata|Amphibia|Caudata|Salamandridae|Triturus|cristatus|Triturus cristatus (Laurenti, 1768)	725
Passer montanus (Linnaeus, 1758)	Animalia|Chordata|Aves|Passeriformes|Passeridae|Passer|montanus|Passer montanus (Linnaeus, 1758)	718
Parus major Linnaeus, 1758	Animalia|Chordata|Aves|Passeriformes|Paridae|Parus|major|Parus major Linnaeus, 1758	688
Rana dybowskii Günther, 1876	Animalia|Chordata|Amphibia|Anura|Ranidae|Rana|dybowskii|Rana dybowskii Günther, 1876	684
Pica pica (Linnaeus, 1758)	Animalia|Chordata|Aves|Passeriformes|Corvidae|Pica|pica|Pica pica (Linnaeus, 1758)	681
Cladophlebis A.T. Brongniart in Orbigny, 1849	Plantae|Pteridophyta|Polypodiopsida|Osmundales|Osmundaceae|Cladophlebis||Cladophlebis A.T. Brongniart in Orbigny, 1849	671
Lobaria pulmonaria (L.) Hoffm.	Fungi|Ascomycota|Lecanoromycetes|Peltigerales|Lobariaceae|Lobaria|pulmonaria|Lobaria pulmonaria (L.) Hoffm.	653
Oithona similis Claus, 1866	Animalia|Arthropoda|Maxillopoda|Cyclopoida|Oithonidae|Oithona|similis|Oithona similis Claus, 1866	640
Riparia riparia (Linnaeus, 1758)	Animalia|Chordata|Aves|Passeriformes|Hirundinidae|Riparia|riparia|Riparia riparia (Linnaeus, 1758)	618
Gryon Haliday, 1833	Animalia|Arthropoda|Insecta|Hymenoptera|Scelionidae|Gryon||Gryon Haliday, 1833	612
Bombus lucorum (Linnaeus, 1761)	Animalia|Arthropoda|Insecta|Hymenoptera|Apidae|Bombus|lucorum|Bombus lucorum (Linnaeus, 1761)	608
Emberiza spodocephala Pallas, 1776	Animalia|Chordata|Aves|Passeriformes|Emberizidae|Emberiza|spodocephala|Emberiza spodocephala Pallas, 1776	602
Lycogala epidendrum (L.) Fr., 1829	Protozoa|Mycetozoa|Myxomycetes|Liceales|Tubiferaceae|Lycogala|epidendrum|Lycogala epidendrum (L.) Fr., 1829	582
Mycomya Rondani, 1856	Animalia|Arthropoda|Insecta|Diptera|Mycetophilidae|Mycomya||Mycomya Rondani, 1856	566
Sylvia curruca (Linnaeus, 1758)	Animalia|Chordata|Aves|Passeriformes|Sylviidae|Sylvia|curruca|Sylvia curruca (Linnaeus, 1758)	558
Fringilla montifringilla Linnaeus, 1758	Animalia|Chordata|Aves|Passeriformes|Fringillidae|Fringilla|montifringilla|Fringilla montifringilla Linnaeus, 1758	550
Sitta europaea Linnaeus, 1758	Animalia|Chordata|Aves|Passeriformes|Sittidae|Sitta|europaea|Sitta europaea Linnaeus, 1758	550
Dendrocopos major (Linnaeus, 1758)	Animalia|Chordata|Aves|Piciformes|Picidae|Dendrocopos|major|Dendrocopos major (Linnaeus, 1758)	541
Arcyria pomiformis (Leers) Rostaf., 1875	Protozoa|Mycetozoa|Myxomycetes|Trichiales|Arcyriaceae|Arcyria|pomiformis|Arcyria pomiformis (Leers) Rostaf., 1875	538
Corvus corone Linnaeus, 1758	Animalia|Chordata|Aves|Passeriformes|Corvidae|Corvus|corone|Corvus corone Linnaeus, 1758	537
Fuligo cinerea (Schwein.) Morgan, 1896	Protozoa|Mycetozoa|Myxomycetes|Physarales|Physaraceae|Fuligo|cinerea|Fuligo cinerea (Schwein.) Morgan, 1896	536
Comatricha nigra (Pers. ex J.F.Gmel.) J.Schröt., 1885	Protozoa|Mycetozoa|Myxomycetes|Stemonitales|Stemonitidaceae|Comatricha|nigra|Comatricha nigra (Pers. ex J.F.Gmel.) J.Schröt., 1885	530
Comatricha nigra (Pers. ex J.F. Gmel.) J. Schröt., 1885	Protozoa|Mycetozoa|Myxomycetes|Stemonitales|Stemonitidaceae|Comatricha|nigra|Comatricha nigra (Pers. ex J.F. Gmel.) J. Schröt., 1885	530
Alauda arvensis Linnaeus, 1758	Animalia|Chordata|Aves|Passeriformes|Alaudidae|Alauda|arvensis|Alauda arvensis Linnaeus, 1758	527
Megaselia Rondani, 1856	Animalia|Arthropoda|Insecta|Diptera|Phoridae|Megaselia||Megaselia Rondani, 1856	524
Hyla japonica Günther, 1859	Animalia|Chordata|Amphibia|Anura|Hylidae|Hyla|japonica|Hyla japonica Günther, 1859	520
Emberiza rustica Pallas, 1776	Animalia|Chordata|Aves|Passeriformes|Emberizidae|Emberiza|rustica|Emberiza rustica Pallas, 1776	520
Didymium difforme (Pers.) Gray, 1821	Protozoa|Mycetozoa|Myxomycetes|Physarales|Didymiaceae|Didymium|difforme|Didymium difforme (Pers.) Gray, 1821	516
Microtus oeconomus (Pallas, 1776)	Animalia|Chordata|Mammalia|Rodentia|Cricetidae|Microtus|oeconomus|Microtus oeconomus (Pallas, 1776)	514
Anthus hodgsoni Richmond, 1907	Animalia|Chordata|Aves|Passeriformes|Motacillidae|Anthus|hodgsoni|Anthus hodgsoni Richmond, 1907	514
Echinostelium minutum de Bary, 1874	Protozoa|Mycetozoa|Myxomycetes|Echinosteliales|Echinosteliaceae|Echinostelium|minutum|Echinostelium minutum de Bary, 1874	506
Homo sapiens Linnaeus, 1758	Animalia|Chordata|Mammalia|Primates|Hominidae|Homo|sapiens|Homo sapiens Linnaeus, 1758	506
Tamias sibiricus (Laxmann, 1769)	Animalia|Chordata|Mammalia|Rodentia|Sciuridae|Tamias|sibiricus|Tamias sibiricus (Laxmann, 1769)	498
Microtus oeconomus (Pallas, 1776)	Animalia|Chordata|Mammalia|Rodentia|Muridae|Microtus|oeconomus|Microtus oeconomus (Pallas, 1776)	494
Apodemus agrarius (Pallas, 1771)	Animalia|Chordata|Mammalia|Rodentia|Muridae|Apodemus|agrarius|Apodemus agrarius (Pallas, 1771)	492
Coniopteris A.T. Brongniart in A.C.V.D. d'Orbigny, 1849	Plantae|Tracheophyta|Polypodiopsida|Cyatheales|Dicksoniaceae|Coniopteris||Coniopteris A.T. Brongniart in A.C.V.D. d'Orbigny, 1849	482
Emberiza aureola Pallas, 1773	Animalia|Chordata|Aves|Passeriformes|Emberizidae|Emberiza|aureola|Emberiza aureola Pallas, 1773	476
Milvus migrans (Boddaert, 1783)	Animalia|Chordata|Aves|Accipitriformes|Accipitridae|Milvus|migrans|Milvus migrans (Boddaert, 1783)	476
Cuculus canorus Linnaeus, 1758	Animalia|Chordata|Aves|Cuculiformes|Cuculidae|Cuculus|canorus|Cuculus canorus Linnaeus, 1758	475
Boletina Staeger, 1840	Animalia|Arthropoda|Insecta|Diptera|Mycetophilidae|Boletina||Boletina Staeger, 1840	470
Aegithalos caudatus (Linnaeus, 1758)	Animalia|Chordata|Aves|Passeriformes|Aegithalidae|Aegithalos|caudatus|Aegithalos caudatus (Linnaeus, 1758)	464
Bufo raddei Strauch, 1876	Animalia|Chordata|Amphibia|Anura|Bufonidae|Pseudepidalea|raddei|Bufo raddei Strauch, 1876	458
Physarum album (Bull.) Chevall., 1826	Protozoa|Mycetozoa|Myxomycetes|Physarales|Physaraceae|Physarum|album|Physarum album (Bull.) Chevall., 1826	456
Actitis hypoleucos (Linnaeus, 1758)	Animalia|Chordata|Aves|Charadriiformes|Scolopacidae|Actitis|hypoleucos|Actitis hypoleucos (Linnaeus, 1758)	448
Sterna hirundo Linnaeus, 1758	Animalia|Chordata|Aves|Charadriiformes|Laridae|Sterna|hirundo|Sterna hirundo Linnaeus, 1758	446
Cribraria cancellata (Batsch) Nann.-Bremek., 1975	Protozoa|Mycetozoa|Myxomycetes|Liceales|Cribrariaceae|Cribraria|cancellata|Cribraria cancellata (Batsch) Nann.-Bremek., 1975	440
Passer domesticus (Linnaeus, 1758)	Animalia|Chordata|Aves|Passeriformes|Passeridae|Passer|domesticus|Passer domesticus (Linnaeus, 1758)	436
Bufo gargarizans Cantor, 1842	Animalia|Chordata|Amphibia|Anura|Bufonidae|Bufo|gargarizans|Bufo gargarizans Cantor, 1842	430
Oncaea borealis G. O. Sars, 1918	Animalia|Arthropoda|Maxillopoda|Poecilostomatoida|Oncaeidae|Oncaea|borealis|Oncaea borealis G. O. Sars, 1918	428
Braconidae	Animalia|Arthropoda|Insecta|Hymenoptera|Braconidae|||Braconidae	428
Perichaena chrysosperma (Curr.) Lister, 1894	Protozoa|Mycetozoa|Myxomycetes|Trichiales|Arcyriaceae|Perichaena|chrysosperma|Perichaena chrysosperma (Curr.) Lister, 1894	428
Braconidae Latreille, 1829	Animalia|Arthropoda|Insecta|Hymenoptera|Braconidae|||Braconidae Latreille, 1829	428
Diapriidae	Animalia|Arthropoda|Insecta|Hymenoptera|Diapriidae|||Diapriidae	424
Luscinia calliope (Pallas, 1776)	Animalia|Chordata|Aves|Passeriformes|Muscicapidae|Luscinia|calliope|Luscinia calliope (Pallas, 1776)	418
