taxonName	taxonPath	recordCount
Nertera depressa Banks & Sol. ex Gaertn.	Plantae|Tracheophyta|Magnoliopsida|Gentianales|Rubiaceae|Nertera|depressa|Nertera depressa Banks & Sol. ex Gaertn.	144
Protostelium mycophagum L.S. Olive & Stoian., 1960	Protozoa|Mycetozoa|Protosteliomycetes|Protosteliales|Protosteliaceae|Protostelium|mycophagum|Protostelium mycophagum L.S. Olive & Stoian., 1960	105
Protostelium mycophagum L.S.Olive & Stoian., 1960	Protozoa|Mycetozoa|Protosteliomycetes|Protosteliales|Protosteliaceae|Protostelium|mycophagum|Protostelium mycophagum L.S.Olive & Stoian., 1960	105
Nertera depressa Banks & Sol. ex Gaertn.	Plantae|Magnoliophyta|Magnoliopsida|Gentianales|Rubiaceae|Nertera|depressa|Nertera depressa Banks & Sol. ex Gaertn.	73
Soliformovum irregulare (L.S. Olive & Stoian.) Spiegel, 1994	Protozoa|Mycetozoa|Protosteliomycetes|Protosteliales|Protosteliaceae|Soliformovum|irregulare|Soliformovum irregulare (L.S. Olive & Stoian.) Spiegel, 1994	60
Soliformovum irregulare (L.S.Olive & Stoian.) Spiegel, 1994	Protozoa|Mycetozoa|Protosteliomycetes|Protosteliales|Protosteliaceae|Soliformovum|irregulare|Soliformovum irregulare (L.S.Olive & Stoian.) Spiegel, 1994	60
Trioza erytreae (Del Guercio, 1918)	Animalia|Arthropoda|Insecta|Hemiptera|Triozidae|Trioza|erytreae|Trioza erytreae (Del Guercio, 1918)	58
Ceratitis capitata (Wiedemann, 1824)	Animalia|Arthropoda|Insecta|Diptera|Tephritidae|Ceratitis|capitata|Ceratitis capitata (Wiedemann, 1824)	53
Schizoplasmodiopsis pseudoendospora L.S. Olive, M. Martin. & Stoian., 1967	Protozoa|Mycetozoa|Protosteliomycetes|Protosteliales|Protosteliaceae|Schizoplasmodiopsis|pseudoendospora|Schizoplasmodiopsis pseudoendospora L.S. Olive, M. Martin. & Stoian., 1967	45
Echinosteliopsis oligospora Reinhardt & Olive, 1967 ("1966")	Protozoa|Mycetozoa|Protosteliomycetes|Protosteliales|Echinosteliopsidaceae|Echinosteliopsis|oligospora|Echinosteliopsis oligospora Reinhardt & Olive, 1967 ("1966")	45
