taxonName	taxonPath	recordCount
Zenaida aurita (Temminck, 1809)	Animalia|Chordata|Aves|Columbiformes|Columbidae|Zenaida|aurita|Zenaida aurita (Temminck, 1809)	205
Tyrannus dominicensis (Gmelin, 1788)	Animalia|Chordata|Aves|Passeriformes|Tyrannidae|Tyrannus|dominicensis|Tyrannus dominicensis (Gmelin, 1788)	200
Coereba flaveola (Linnaeus, 1758)	Animalia|Chordata|Aves|Passeriformes|Coerebidae|Coereba|flaveola|Coereba flaveola (Linnaeus, 1758)	186
Fregata magnificens Mathews, 1914	Animalia|Chordata|Aves|Suliformes|Fregatidae|Fregata|magnificens|Fregata magnificens Mathews, 1914	168
Pelecanus occidentalis Linnaeus, 1766	Animalia|Chordata|Aves|Pelecaniformes|Pelecanidae|Pelecanus|occidentalis|Pelecanus occidentalis Linnaeus, 1766	154
Bubulcus ibis (Linnaeus, 1758)	Animalia|Chordata|Aves|Pelecaniformes|Ardeidae|Bubulcus|ibis|Bubulcus ibis (Linnaeus, 1758)	134
Columbina passerina (Linnaeus, 1758)	Animalia|Chordata|Aves|Columbiformes|Columbidae|Columbina|passerina|Columbina passerina (Linnaeus, 1758)	121
Ardea alba Linnaeus, 1758	Animalia|Chordata|Aves|Pelecaniformes|Ardeidae|Ardea|alba|Ardea alba Linnaeus, 1758	87
Falco sparverius Linnaeus, 1758	Animalia|Chordata|Aves|Falconiformes|Falconidae|Falco|sparverius|Falco sparverius Linnaeus, 1758	84
Columba livia Gmelin, 1789	Animalia|Chordata|Aves|Columbiformes|Columbidae|Columba|livia|Columba livia Gmelin, 1789	82
Anochetus mayri Emery, 1884	Animalia|Arthropoda|Insecta|Hymenoptera|Formicidae|Anochetus|mayri|Anochetus mayri Emery, 1884	78
Loxigilla noctis (Linnaeus, 1766)	Animalia|Chordata|Aves|Passeriformes|Thraupidae|Loxigilla|noctis|Loxigilla noctis (Linnaeus, 1766)	77
Culex madininensis Senevert, 1936	Animalia|Arthropoda|Insecta|Diptera|Culicidae|Culex|madininensis|Culex madininensis Senevert, 1936	76
Orthorhyncus cristatus (Linnaeus, 1758)	Animalia|Chordata|Aves|Apodiformes|Trochilidae|Orthorhyncus|cristatus|Orthorhyncus cristatus (Linnaeus, 1758)	75
Sula leucogaster (Boddaert, 1783)	Animalia|Chordata|Aves|Suliformes|Sulidae|Sula|leucogaster|Sula leucogaster (Boddaert, 1783)	74
Egretta caerulea (Linnaeus, 1758)	Animalia|Chordata|Aves|Pelecaniformes|Ardeidae|Egretta|caerulea|Egretta caerulea (Linnaeus, 1758)	72
Gallinula galeata	Animalia|Chordata|Aves|Gruiformes|Rallidae|Gallinula|galeata|Gallinula galeata	71
Eulampis jugularis (Linnaeus, 1766)	Animalia|Chordata|Aves|Apodiformes|Trochilidae|Eulampis|jugularis|Eulampis jugularis (Linnaeus, 1766)	71
Egretta thula (Molina, 1782)	Animalia|Chordata|Aves|Pelecaniformes|Ardeidae|Egretta|thula|Egretta thula (Molina, 1782)	70
Loxigilla noctis (Linnaeus, 1766)	Animalia|Chordata|Aves|Passeriformes|Emberizidae|Loxigilla|noctis|Loxigilla noctis (Linnaeus, 1766)	69
Eulampis holosericeus (Linnaeus, 1758)	Animalia|Chordata|Aves|Apodiformes|Trochilidae|Eulampis|holosericeus|Eulampis holosericeus (Linnaeus, 1758)	69
Solenopsis invicta Buren, 1972	Animalia|Arthropoda|Insecta|Hymenoptera|Formicidae|Solenopsis|invicta|Solenopsis invicta Buren, 1972	68
Elaenia martinica (Linnaeus, 1766)	Animalia|Chordata|Aves|Passeriformes|Tyrannidae|Elaenia|martinica|Elaenia martinica (Linnaeus, 1766)	67
Paratrechina longicornis (Latreille, 1802)	Animalia|Arthropoda|Insecta|Hymenoptera|Formicidae|Paratrechina|longicornis|Paratrechina longicornis (Latreille, 1802)	64
Wasmannia auropunctata (Roger, 1863)	Animalia|Arthropoda|Insecta|Hymenoptera|Formicidae|Wasmannia|auropunctata|Wasmannia auropunctata (Roger, 1863)	64
Vireo altiloquus (Vieillot, 1808)	Animalia|Chordata|Aves|Passeriformes|Vireonidae|Vireo|altiloquus|Vireo altiloquus (Vieillot, 1808)	63
Culex habilitator Dyar & Knab, 1906	Animalia|Arthropoda|Insecta|Diptera|Culicidae|Culex|habilitator|Culex habilitator Dyar & Knab, 1906	62
Margarops fuscatus (Vieillot, 1808)	Animalia|Chordata|Aves|Passeriformes|Mimidae|Margarops|fuscatus|Margarops fuscatus (Vieillot, 1808)	61
Cyphomyrmex minutus Mayr, 1862	Animalia|Arthropoda|Insecta|Hymenoptera|Formicidae|Cyphomyrmex|minutus|Cyphomyrmex minutus Mayr, 1862	60
Tiaris bicolor (Linnaeus, 1766)	Animalia|Chordata|Aves|Passeriformes|Thraupidae|Tiaris|bicolor|Tiaris bicolor (Linnaeus, 1766)	59
Actitis macularius (Linnaeus, 1766)	Animalia|Chordata|Aves|Charadriiformes|Scolopacidae|Actitis|macularius|Actitis macularius (Linnaeus, 1766)	59
Thalasseus maximus (Boddaert, 1783)	Animalia|Chordata|Aves|Charadriiformes|Laridae|Thalaseus|maximus|Thalasseus maximus (Boddaert, 1783)	56
Nyctanassa violacea (Linnaeus, 1758)	Animalia|Chordata|Aves|Pelecaniformes|Ardeidae|Nyctanassa|violacea|Nyctanassa violacea (Linnaeus, 1758)	54
Buteo jamaicensis (Gmelin, 1788)	Animalia|Chordata|Aves|Accipitriformes|Accipitridae|Buteo|jamaicensis|Buteo jamaicensis (Gmelin, 1788)	53
Patagioenas squamosa (Bonnaterre, 1792)	Animalia|Chordata|Aves|Columbiformes|Columbidae|Patagioenas|squamosa|Patagioenas squamosa (Bonnaterre, 1792)	53
Ardea herodias Linnaeus, 1758	Animalia|Chordata|Aves|Pelecaniformes|Ardeidae|Ardea|herodias|Ardea herodias Linnaeus, 1758	51
Leucophaeus atricilla (Linnaeus, 1758)	Animalia|Chordata|Aves|Charadriiformes|Laridae|Leucophaeus|atricilla|Leucophaeus atricilla (Linnaeus, 1758)	50
Myiarchus oberi Lawrence, 1877	Animalia|Chordata|Aves|Passeriformes|Tyrannidae|Myiarchus|oberi|Myiarchus oberi Lawrence, 1877	50
Pheidole moerens Wheeler, 1908	Animalia|Arthropoda|Insecta|Hymenoptera|Formicidae|Pheidole|moerens|Pheidole moerens Wheeler, 1908	48
Anopheles albimanus Wiedemann, 1820	Animalia|Arthropoda|Insecta|Diptera|Culicidae|Anopheles|albimanus|Anopheles albimanus Wiedemann, 1820	46
Tiaris bicolor (Linnaeus, 1766)	Animalia|Chordata|Aves|Passeriformes|Emberizidae|Tiaris|bicolor|Tiaris bicolor (Linnaeus, 1766)	46
Thalasseus maximus (Boddaert, 1783)	Animalia|Chordata|Aves|Charadriiformes|Laridae|Thalasseus|maximus|Thalasseus maximus (Boddaert, 1783)	45
Butorides virescens (Linnaeus, 1758)	Animalia|Chordata|Aves|Pelecaniformes|Ardeidae|Butorides|virescens|Butorides virescens (Linnaeus, 1758)	44
Azteca Forel, 1878	Animalia|Arthropoda|Insecta|Hymenoptera|Formicidae|Azteca||Azteca Forel, 1878	44
Platythyrea punctata (Smith, 1858)	Animalia|Arthropoda|Insecta|Hymenoptera|Formicidae|Platythyrea|punctata|Platythyrea punctata (Smith, 1858)	44
Cardiocondyla emeryi Forel, 1881	Animalia|Arthropoda|Insecta|Hymenoptera|Formicidae|Cardiocondyla|emeryi|Cardiocondyla emeryi Forel, 1881	40
Tringa flavipes (Gmelin, 1789)	Animalia|Chordata|Aves|Charadriiformes|Scolopacidae|Tringa|flavipes|Tringa flavipes (Gmelin, 1789)	40
Culex quinquefasciatus Say, 1823	Animalia|Arthropoda|Insecta|Diptera|Culicidae|Culex|quinquefasciatus|Culex quinquefasciatus Say, 1823	40
Culex bisulcatus (Coquillett, 1905)	Animalia|Arthropoda|Insecta|Diptera|Culicidae|Culex|bisulcatus|Culex bisulcatus (Coquillett, 1905)	38
Camponotus sexguttatus (Fabricius, 1793)	Animalia|Arthropoda|Insecta|Hymenoptera|Formicidae|Camponotus|sexguttatus|Camponotus sexguttatus (Fabricius, 1793)	38
Solenopsis geminata (Fabricius, 1804)	Animalia|Arthropoda|Insecta|Hymenoptera|Formicidae|Solenopsis|geminata|Solenopsis geminata (Fabricius, 1804)	36
Arenaria interpres (Linnaeus, 1758)	Animalia|Chordata|Aves|Charadriiformes|Scolopacidae|Arenaria|interpres|Arenaria interpres (Linnaeus, 1758)	36
Anas discors Linnaeus, 1766	Animalia|Chordata|Aves|Anseriformes|Anatidae|Anas|discors|Anas discors Linnaeus, 1766	34
Tringa melanoleuca (Gmelin, 1789)	Animalia|Chordata|Aves|Charadriiformes|Scolopacidae|Tringa|melanoleuca|Tringa melanoleuca (Gmelin, 1789)	33
Prionopelta antillana Forel, 1909	Animalia|Arthropoda|Insecta|Hymenoptera|Formicidae|Prionopelta|antillana|Prionopelta antillana Forel, 1909	32
Monomorium ebeninum Forel, 1891	Animalia|Arthropoda|Insecta|Hymenoptera|Formicidae|Monomorium|ebeninum|Monomorium ebeninum Forel, 1891	32
Setophaga petechia (Linnaeus, 1766)	Animalia|Chordata|Aves|Passeriformes|Parulidae|Setophaga|petechia|Setophaga petechia (Linnaeus, 1766)	32
