taxonName	taxonPath	recordCount
Pteronotus parnellii (Gray, 1843)	Animalia|Chordata|Mammalia|Chiroptera|Mormoopidae|Pteronotus|parnellii|Pteronotus parnellii (Gray, 1843)	48
Sturnira lilium (E. Geoffroy, 1810)	Animalia|Chordata|Mammalia|Chiroptera|Phyllostomidae|Sturnira|lilium|Sturnira lilium (E. Geoffroy, 1810)	48
Brachyphylla cavernarum Gray, 1834	Animalia|Chordata|Mammalia|Chiroptera|Phyllostomidae|Brachyphylla|cavernarum|Brachyphylla cavernarum Gray, 1834	44
Artibeus schwartzi Jones, 1978	Animalia|Chordata|Mammalia|Chiroptera|Phyllostomidae|Artibeus|schwartzi|Artibeus schwartzi Jones, 1978	29
Artibeus Leach, 1821	Animalia|Chordata|Mammalia|Chiroptera|Phyllostomidae|Artibeus||Artibeus Leach, 1821	29
Glossophaga longirostris Miller, 1898	Animalia|Chordata|Mammalia|Chiroptera|Phyllostomidae|Glossophaga|longirostris|Glossophaga longirostris Miller, 1898	26
Monophyllus plethodon Miller, 1900	Animalia|Chordata|Mammalia|Chiroptera|Phyllostomidae|Monophyllus|plethodon|Monophyllus plethodon Miller, 1900	26
Wasmannia auropunctata (Roger, 1863)	Animalia|Arthropoda|Insecta|Hymenoptera|Formicidae|Wasmannia|auropunctata|Wasmannia auropunctata (Roger, 1863)	22
Eulampis jugularis (Linnaeus, 1766)	Animalia|Chordata|Aves|Apodiformes|Trochilidae|Eulampis|jugularis|Eulampis jugularis (Linnaeus, 1766)	21
Prionopelta antillana Forel, 1909	Animalia|Arthropoda|Insecta|Hymenoptera|Formicidae|Prionopelta|antillana|Prionopelta antillana Forel, 1909	20
Catharopeza bishopi (Lawrence, 1878)	Animalia|Chordata|Aves|Passeriformes|Parulidae|Catharopeza|bishopi|Catharopeza bishopi (Lawrence, 1878)	19
Ardops nichollsi (Thomas, 1891)	Animalia|Chordata|Mammalia|Chiroptera|Phyllostomidae|Ardops|nichollsi|Ardops nichollsi (Thomas, 1891)	18
Elaenia flavogaster (Thunberg, 1822)	Animalia|Chordata|Aves|Passeriformes|Tyrannidae|Elaenia|flavogaster|Elaenia flavogaster (Thunberg, 1822)	17
Orthorhyncus cristatus subsp. ornatus Gould, 1861	Animalia|Chordata|Aves|Apodiformes|Trochilidae|Orthorhyncus|cristatus|Orthorhyncus cristatus subsp. ornatus Gould, 1861	16
Allenia fusca (Müller, 1776)	Animalia|Chordata|Aves|Passeriformes|Mimidae|Allenia|fusca|Allenia fusca (Müller, 1776)	15
Pilotrichum procerum Mitten, 1869	Plantae|Bryophyta|Bryopsida|Hookeriales|Daltoniaceae|Pilotrichum|procerum|Pilotrichum procerum Mitten, 1869	14
Pheidole Westwood, 1839	Animalia|Arthropoda|Insecta|Hymenoptera|Formicidae|Pheidole||Pheidole Westwood, 1839	13
Cinclocerthia ruficauda (Gould, 1836)	Animalia|Chordata|Aves|Passeriformes|Mimidae|Cinclocerthia|ruficauda|Cinclocerthia ruficauda (Gould, 1836)	13
Coereba flaveola (Linnaeus, 1758)	Animalia|Chordata|Aves|Passeriformes|Coerebidae|Coereba|flaveola|Coereba flaveola (Linnaeus, 1758)	13
Cyphomyrmex minutus Mayr, 1862	Animalia|Arthropoda|Insecta|Hymenoptera|Formicidae|Cyphomyrmex|minutus|Cyphomyrmex minutus Mayr, 1862	12
Macromitrium perichaetiale C. Müller, 1845	Plantae|Bryophyta|Bryopsida|Orthotrichales|Orthotrichaceae|Macromitrium|perichaetiale|Macromitrium perichaetiale C. Müller, 1845	12
Homalothecium luteolum Jaeger, 1878	Plantae|Bryophyta|Bryopsida|Hypnales|Brachytheciaceae|Homalothecium|luteolum|Homalothecium luteolum Jaeger, 1878	12
Pheidole moerens Wheeler, 1908	Animalia|Arthropoda|Insecta|Hymenoptera|Formicidae|Pheidole|moerens|Pheidole moerens Wheeler, 1908	12
