taxonName	taxonPath	recordCount
Mollusca	Animalia|Mollusca||||||Mollusca	710
Foulehaio carunculatus (Gmelin, 1788)	Animalia|Chordata|Aves|Passeriformes|Meliphagidae|Foulehaio|carunculatus|Foulehaio carunculatus (Gmelin, 1788)	368
Acropora Krueger, 1823	Animalia|Cnidaria|Anthozoa|||Acropora||Acropora Krueger, 1823	344
Aplonis atrifusca (Peale, 1848)	Animalia|Chordata|Aves|Passeriformes|Sturnidae|Aplonis|atrifusca|Aplonis atrifusca (Peale, 1848)	340
Ptilinopus porphyraceus (Temminck, 1821)	Animalia|Chordata|Aves|Columbiformes|Columbidae|Ptilinopus|porphyraceus|Ptilinopus porphyraceus (Temminck, 1821)	289
Myzomela cardinalis (Gmelin, 1788)	Animalia|Chordata|Aves|Passeriformes|Meliphagidae|Myzomela|cardinalis|Myzomela cardinalis (Gmelin, 1788)	287
Aerodramus spodiopygius (Peale, 1848)	Animalia|Chordata|Aves|Apodiformes|Apodidae|Aerodramus|spodiopygius|Aerodramus spodiopygius (Peale, 1848)	264
Lalage maculosa (Peale, 1848)	Animalia|Chordata|Aves|Passeriformes|Campephagidae|Lalage|maculosa|Lalage maculosa (Peale, 1848)	252
Rhipidura nebulosa Peale, 1848	Animalia|Chordata|Aves|Passeriformes|Rhipiduridae|Rhipidura|nebulosa|Rhipidura nebulosa Peale, 1848	212
Nylanderia Emery, 1906	Animalia|Arthropoda|Insecta|Hymenoptera|Formicidae|Nylanderia||Nylanderia Emery, 1906	193
Ducula pacifica (Gmelin, 1789)	Animalia|Chordata|Aves|Columbiformes|Columbidae|Ducula|pacifica|Ducula pacifica (Gmelin, 1789)	177
Vini australis (Gmelin, 1788)	Animalia|Chordata|Aves|Psittaciformes|Psittacidae|Vini|australis|Vini australis (Gmelin, 1788)	154
Pachycephala flavifrons (Peale, 1848)	Animalia|Chordata|Aves|Passeriformes|Pachycephalidae|Pachycephala|flavifrons|Pachycephala flavifrons (Peale, 1848)	145
Aplonis tabuensis (Gmelin, 1788)	Animalia|Chordata|Aves|Passeriformes|Sturnidae|Aplonis|tabuensis|Aplonis tabuensis (Gmelin, 1788)	112
Lepidodactylus lugubris Duméril & Bibron, 1836	Animalia|Chordata|Reptilia|Squamata|Gekkonidae|Lepidodactylus|lugubris|Lepidodactylus lugubris Duméril & Bibron, 1836	108
Lalage sharpei Rothschild, 1900	Animalia|Chordata|Aves|Passeriformes|Campephagidae|Lalage|sharpei|Lalage sharpei Rothschild, 1900	106
Myiagra albiventris (Peale, 1848)	Animalia|Chordata|Aves|Passeriformes|Monarchidae|Myiagra|albiventris|Myiagra albiventris (Peale, 1848)	106
Emballonura Temminck, 1838	Animalia|Chordata|Mammalia|Chiroptera|Emballonuridae|Emballonura||Emballonura Temminck, 1838	101
Todiramphus recurvirostris	Animalia|Chordata|Aves|Coraciiformes|Alcedinidae|Todiramphus|recurvirostris|Todiramphus recurvirostris	101
Columba vitiensis Quoy & Gaimard, 1830	Animalia|Chordata|Aves|Columbiformes|Columbidae|Columba|vitiensis|Columba vitiensis Quoy & Gaimard, 1830	85
	|||||||	74
Turdus poliocephalus Latham, 1802	Animalia|Chordata|Aves|Passeriformes|Turdidae|Turdus|poliocephalus|Turdus poliocephalus Latham, 1802	73
Pycnonotus cafer (Linnaeus, 1766)	Animalia|Chordata|Aves|Passeriformes|Pycnonotidae|Pycnonotus|cafer|Pycnonotus cafer (Linnaeus, 1766)	72
Gallirallus philippensis (Linnaeus, 1766)	Animalia|Chordata|Aves|Gruiformes|Rallidae|Gallirallus|philippensis|Gallirallus philippensis (Linnaeus, 1766)	70
Gymnomyza samoensis (Hombron & Jacquinot, 1841)	Animalia|Chordata|Aves|Passeriformes|Meliphagidae|Gymnomyza|samoensis|Gymnomyza samoensis (Hombron & Jacquinot, 1841)	68
Zosterops samoensis Murphy & Mathews, 1929	Animalia|Chordata|Aves|Passeriformes|Zosteropidae|Zosterops|samoensis|Zosterops samoensis Murphy & Mathews, 1929	68
Pachycephala flavifrons (Peale, 1848)	Animalia|Chordata|Aves|Passeriformes|Corvidae|Pachycephala|flavifrons|Pachycephala flavifrons (Peale, 1848)	66
Bactrocera xanthodes (Broun, 1904)	Animalia|Arthropoda|Insecta|Diptera|Tephritidae|Bactrocera|xanthodes|Bactrocera xanthodes (Broun, 1904)	65
Aplonis tabuensis (J. F. Gmelin, 1788)	Animalia|Chordata|Aves|Passeriformes|Sturnidae|Aplonis|tabuensis|Aplonis tabuensis (J. F. Gmelin, 1788)	64
Gehyra oceanica (Lesson, 1830)	Animalia|Chordata|Reptilia|Squamata|Gekkonidae|Gehyra|oceanica|Gehyra oceanica (Lesson, 1830)	63
Petroica multicolor (Gmelin, 1789)	Animalia|Chordata|Aves|Passeriformes|Petroicidae|Petroica|multicolor|Petroica multicolor (Gmelin, 1789)	61
Eurhopalothrix procera (Emery, 1897)	Animalia|Arthropoda|Insecta|Hymenoptera|Formicidae|Eurhopalothrix|procera|Eurhopalothrix procera (Emery, 1897)	55
Acropora gemmifera (Brook, 1892)	Animalia|Cnidaria|Anthozoa|Scleractinia|Acroporidae|Acropora|gemmifera|Acropora gemmifera (Brook, 1892)	50
Pheidole umbonata Mayr, 1870	Animalia|Arthropoda|Insecta|Hymenoptera|Formicidae|Pheidole|umbonata|Pheidole umbonata Mayr, 1870	49
Petroica multicolor (J. F. Gmelin, 1789)	Animalia|Chordata|Aves|Passeriformes|Petroicidae|Petroica|multicolor|Petroica multicolor (J. F. Gmelin, 1789)	49
