taxonName	taxonPath	recordCount
Columba livia Gmelin, 1789	Animalia|Chordata|Aves|Columbiformes|Columbidae|Columba|livia|Columba livia Gmelin, 1789	7
Turdus merula Linnaeus, 1758	Animalia|Chordata|Aves|Passeriformes|Turdidae|Turdus|merula|Turdus merula Linnaeus, 1758	5
Cyathus striatus (Huds.) Willd., 1787	Fungi|Basidiomycota|Agaricomycetes|Agaricales|Agaricaceae|Cyathus|striatus|Cyathus striatus (Huds.) Willd., 1787	4
Streptopelia decaocto (Frivaldszky, 1838)	Animalia|Chordata|Aves|Columbiformes|Columbidae|Streptopelia|decaocto|Streptopelia decaocto (Frivaldszky, 1838)	4
Phoenicurus phoenicurus (Linnaeus, 1758)	Animalia|Chordata|Aves|Passeriformes|Muscicapidae|Phoenicurus|phoenicurus|Phoenicurus phoenicurus (Linnaeus, 1758)	3
Serinus serinus (Linnaeus, 1766)	Animalia|Chordata|Aves|Passeriformes|Fringillidae|Serinus|serinus|Serinus serinus (Linnaeus, 1766)	3
Passer italiae (Vieillot, 1817)	Animalia|Chordata|Aves|Passeriformes|Passeridae|Passer|italiae|Passer italiae (Vieillot, 1817)	3
Apus apus (Linnaeus, 1758)	Animalia|Chordata|Aves|Apodiformes|Apodidae|Apus|apus|Apus apus (Linnaeus, 1758)	3
Delichon urbicum (Linnaeus, 1758)	Animalia|Chordata|Aves|Passeriformes|Hirundinidae|Delichon|urbicum|Delichon urbicum (Linnaeus, 1758)	2
Lepidium graminifolium subsp. graminifolium	Plantae|Tracheophyta|Magnoliopsida|Brassicales|Brassicaceae|Lepidium|graminifolium|Lepidium graminifolium subsp. graminifolium	2
Rumina decollata (Linnaeus, 1758)	Animalia|Mollusca|Gastropoda|Stylommatophora|Subulinidae|Rumina|decollata|Rumina decollata (Linnaeus, 1758)	2
Lauria cylindracea (da Costa, 1778)	Animalia|Mollusca|Gastropoda|Stylommatophora|Pupillidae|Lauria|cylindracea|Lauria cylindracea (da Costa, 1778)	2
Papilio machaon	Animalia|Arthropoda|Insecta|Lepidoptera|Papilionidae|Papilio|Papilio machaon	2
Iphiclides podalirius	Animalia|Arthropoda|Insecta|Lepidoptera|Papilionidae|Iphiclides|Iphiclides podalirius	2
