taxonName	taxonPath	recordCount
Hyperolius molleri (Bedriaga, 1892)	Animalia|Chordata|Amphibia|Anura|Hyperoliidae|Hyperolius|molleri|Hyperolius molleri (Bedriaga, 1892)	663
Schistometopum thomense (Bocage, 1873)	Animalia|Chordata|Amphibia|Gymnophiona|Caeciliidae|Schistometopum|thomense|Schistometopum thomense (Bocage, 1873)	447
Coleoptera Linnaeus, 1758	Animalia|Arthropoda|Insecta|Coleoptera||||Coleoptera Linnaeus, 1758	398
Coleoptera	Animalia|Arthropoda|Insecta|Coleoptera||||Coleoptera	398
Speirops lugubris (Hartlaub, 1848)	Animalia|Chordata|Aves|Passeriformes|Zosteropidae|Zosterops|lugubris|Speirops lugubris (Hartlaub, 1848)	360
Turdus olivaceofuscus Hartlaub, 1852	Animalia|Chordata|Aves|Passeriformes|Turdidae|Turdus|olivaceofuscus|Turdus olivaceofuscus Hartlaub, 1852	326
Euplectes albonotatus (Cassin, 1848)	Animalia|Chordata|Aves|Passeriformes|Ploceidae|Euplectes|albonotatus|Euplectes albonotatus (Cassin, 1848)	303
Prinia molleri Bocage, 1887	Animalia|Chordata|Aves|Passeriformes|Cisticolidae|Prinia|molleri|Prinia molleri Bocage, 1887	284
Anabathmis newtonii (Bocage, 1887)	Animalia|Chordata|Aves|Passeriformes|Nectariniidae|Anabathmis|newtonii|Anabathmis newtonii (Bocage, 1887)	272
Phrynobatrachus dispar (Peters, 1870)	Animalia|Chordata|Amphibia|Anura|Phrynobatrachidae|Phrynobatrachus|dispar|Phrynobatrachus dispar (Peters, 1870)	246
Ploceus velatus Vieillot, 1819	Animalia|Chordata|Aves|Passeriformes|Ploceidae|Ploceus|velatus|Ploceus velatus Vieillot, 1819	235
Estrilda astrild (Linnaeus, 1758)	Animalia|Chordata|Aves|Passeriformes|Estrildidae|Estrilda|astrild|Estrilda astrild (Linnaeus, 1758)	232
Terpsiphone atrochalybeia (Thomson, 1842)	Animalia|Chordata|Aves|Passeriformes|Monarchidae|Terpsiphone|atrochalybeia|Terpsiphone atrochalybeia (Thomson, 1842)	213
