taxonName	taxonPath	recordCount
Larus fuscus Linnaeus, 1758	Animalia|Chordata|Aves|Charadriiformes|Laridae|Larus|fuscus|Larus fuscus Linnaeus, 1758	27899
Sterna hirundo Linnaeus, 1758	Animalia|Chordata|Aves|Charadriiformes|Laridae|Sterna|hirundo|Sterna hirundo Linnaeus, 1758	2505
Riparia riparia (Linnaeus, 1758)	Animalia|Chordata|Aves|Passeriformes|Hirundinidae|Riparia|riparia|Riparia riparia (Linnaeus, 1758)	1627
Sterna sandvicensis Latham, 1787	Animalia|Chordata|Aves|Charadriiformes|Laridae|Thalaseus|sandvicensis|Sterna sandvicensis Latham, 1787	765
Sterna sandvicensis Latham, 1787	Animalia|Chordata|Aves|Charadriiformes|Laridae|Thalasseus|sandvicensis|Sterna sandvicensis Latham, 1787	586
Hibiscus asper Hook. fil.	Plantae|Tracheophyta|Magnoliopsida|Malvales|Malvaceae|Hibiscus|asper|Hibiscus asper Hook. fil.	426
Alysicarpus ovalifolius (Schum.) Leonard	Plantae|Tracheophyta|Magnoliopsida|Fabales|Fabaceae|Alysicarpus|ovalifolius|Alysicarpus ovalifolius (Schum.) Leonard	417
Triumfetta pentandra A.Rich.	Plantae|Tracheophyta|Magnoliopsida|Malvales|Malvaceae|Triumfetta|pentandra|Triumfetta pentandra A.Rich.	400
Platalea leucorodia Linnaeus, 1758	Animalia|Chordata|Aves|Pelecaniformes|Threskiornithidae|Platalea|leucorodia|Platalea leucorodia Linnaeus, 1758	396
Commelina L.	Plantae|Tracheophyta|Liliopsida|Commelinales|Commelinaceae|Commelina||Commelina L.	388
Ipomoea eriocarpa R. Br.	Plantae|Tracheophyta|Magnoliopsida|Solanales|Convolvulaceae|Ipomoea|eriocarpa|Ipomoea eriocarpa R. Br.	386
Mops condylurus (A. Smith, 1833)	Animalia|Chordata|Mammalia|Chiroptera|Molossidae|Mops|condylurus|Mops condylurus (A. Smith, 1833)	380
Indigofera dendroides Jacq.	Plantae|Tracheophyta|Magnoliopsida|Fabales|Fabaceae|Indigofera|dendroides|Indigofera dendroides Jacq.	373
Ipomoea heterotricha F. Didr.	Plantae|Tracheophyta|Magnoliopsida|Solanales|Convolvulaceae|Ipomoea|heterotricha|Ipomoea heterotricha F. Didr.	367
Acrocephalus schoenobaenus (Linnaeus, 1758)	Animalia|Chordata|Aves|Passeriformes|Acrocephalidae|Acrocephalus|schoenobaenus|Acrocephalus schoenobaenus (Linnaeus, 1758)	361
Acrocephalus schoenobaenus (Linnaeus, 1758)	Animalia|Chordata|Aves|Passeriformes|Sylviidae|Acrocephalus|schoenobaenus|Acrocephalus schoenobaenus (Linnaeus, 1758)	350
Tephrosia Pers.	Plantae|Tracheophyta|Magnoliopsida|Fabales|Fabaceae|Tephrosia||Tephrosia Pers.	342
Brachiaria (Trin.) Griseb.	Plantae|Tracheophyta|Liliopsida|Poales|Poaceae|Brachiaria||Brachiaria (Trin.) Griseb.	339
Aspilia bussei O.Hoffm. & Muschl.	Plantae|Tracheophyta|Magnoliopsida|Asterales|Asteraceae|Aspilia|bussei|Aspilia bussei O.Hoffm. & Muschl.	333
Borreria stachydea (DC.) Hutch. & Dalziel	Plantae|Tracheophyta|Magnoliopsida|Gentianales|Rubiaceae|Spermacoce|stachydea|Borreria stachydea (DC.) Hutch. & Dalziel	326
