taxonName	taxonPath	recordCount
Mastomys Thomas, 1915	Animalia|Chordata|Mammalia|Rodentia|Muridae|Mastomys||Mastomys Thomas, 1915	1120
Mastomys natalensis (A. Smith, 1834)	Animalia|Chordata|Mammalia|Rodentia|Muridae|Mastomys|natalensis|Mastomys natalensis (A. Smith, 1834)	710
Mastomys natalensis (Smith, 1834)	Animalia|Chordata|Mammalia|Rodentia|Muridae|Mastomys|natalensis|Mastomys natalensis (Smith, 1834)	710
Mastomys erythroleucus (Temminck, 1853)	Animalia|Chordata|Mammalia|Rodentia|Muridae|Mastomys|erythroleucus|Mastomys erythroleucus (Temminck, 1853)	574
Oryza sativa L.	Plantae|Tracheophyta|Liliopsida|Poales|Poaceae|Oryza|sativa|Oryza sativa L.	432
Oryza sativa L.	Plantae|Magnoliophyta|Liliopsida|Poales|Poaceae|Oryza|sativa|Oryza sativa L.	432
Praomys Thomas, 1915	Animalia|Chordata|Mammalia|Rodentia|Muridae|Praomys||Praomys Thomas, 1915	343
	|||||||	289
Mus musculus subsp. domesticus Schwarz & Schwarz, 1943	Animalia|Chordata|Mammalia|Rodentia|Muridae|Mus|musculus|Mus musculus subsp. domesticus Schwarz & Schwarz, 1943	288
Ptychadena Boulenger, 1917	Animalia|Chordata|Amphibia|Anura|Ptychadenidae|Ptychadena||Ptychadena Boulenger, 1917	278
Rattus rattus (Linnaeus, 1758)	Animalia|Chordata|Mammalia|Rodentia|Muridae|Rattus|rattus|Rattus rattus (Linnaeus, 1758)	261
Plantae	Plantae|||||||Plantae	224
Pseudhymenochirus merlini Chabanaud, 1920	Animalia|Chordata|Amphibia|Anura|Pipidae|Pseudhymenochirus|merlini|Pseudhymenochirus merlini Chabanaud, 1920	165
Lophuromys Peters, 1874	Animalia|Chordata|Mammalia|Rodentia|Muridae|Lophuromys||Lophuromys Peters, 1874	165
Praomys tullbergi (Thomas, 1894)	Animalia|Chordata|Mammalia|Rodentia|Muridae|Praomys|tullbergi|Praomys tullbergi (Thomas, 1894)	153
Mus setulosus Peters, 1876	Animalia|Chordata|Mammalia|Rodentia|Muridae|Mus|setulosus|Mus setulosus Peters, 1876	144
Mus musculoides Temminck, 1853	Animalia|Chordata|Mammalia|Rodentia|Muridae|Mus|musculoides|Mus musculoides Temminck, 1853	122
Bufo Laurenti, 1768	Animalia|Chordata|Amphibia|Anura|Bufonidae|Bufo||Bufo Laurenti, 1768	112
Lemniscomys striatus (Linnaeus, 1758)	Animalia|Chordata|Mammalia|Rodentia|Muridae|Lemniscomys|striatus|Lemniscomys striatus (Linnaeus, 1758)	110
Pycnonotus barbatus (Desfontaines, 1789)	Animalia|Chordata|Aves|Passeriformes|Pycnonotidae|Pycnonotus|barbatus|Pycnonotus barbatus (Desfontaines, 1789)	106
Sorghum bicolor (L.) Moench	Plantae|Magnoliophyta|Liliopsida|Poales|Poaceae|Sorghum|bicolor|Sorghum bicolor (L.) Moench	104
Euschistospiza dybowskii (Oustalet, 1892)	Animalia|Chordata|Aves|Passeriformes|Estrildidae|Euschistospiza|dybowskii|Euschistospiza dybowskii (Oustalet, 1892)	84
Hylarana galamensis (Duméril & Bibron, 1841)	Animalia|Chordata|Amphibia|Anura|Ranidae|Hylarana|galamensis|Hylarana galamensis (Duméril & Bibron, 1841)	84
Hyperolius lamottei Laurent, 1958	Animalia|Chordata|Amphibia|Anura|Hyperoliidae|Hyperolius|lamottei|Hyperolius lamottei Laurent, 1958	84
Uranomys ruddi Dollman, 1909	Animalia|Chordata|Mammalia|Rodentia|Muridae|Uranomys|ruddi|Uranomys ruddi Dollman, 1909	82
Turdus pelios Bonaparte, 1850	Animalia|Chordata|Aves|Passeriformes|Turdidae|Turdus|pelios|Turdus pelios Bonaparte, 1850	81
Terpsiphone rufiventer (Swainson, 1837)	Animalia|Chordata|Aves|Passeriformes|Monarchidae|Terpsiphone|rufiventer|Terpsiphone rufiventer (Swainson, 1837)	80
Oryza glaberrima Steud.	Plantae|Magnoliophyta|Liliopsida|Poales|Poaceae|Oryza|glaberrima|Oryza glaberrima Steud.	75
Hylomyscus alleni (Waterhouse, 1838)	Animalia|Chordata|Mammalia|Rodentia|Muridae|Hylomyscus|alleni|Hylomyscus alleni (Waterhouse, 1838)	75
Oryza glaberrima Steud.	Plantae|Tracheophyta|Liliopsida|Poales|Poaceae|Oryza|glaberrima|Oryza glaberrima Steud.	75
Phrynobatrachus Günther, 1862	Animalia|Chordata|Amphibia|Anura|Phrynobatrachidae|Phrynobatrachus||Phrynobatrachus Günther, 1862	74
Tockus fasciatus (Shaw, 1811)	Animalia|Chordata|Aves|Bucerotiformes|Bucerotidae|Tockus|fasciatus|Tockus fasciatus (Shaw, 1811)	73
Cisticola erythrops (Hartlaub, 1857)	Animalia|Chordata|Aves|Passeriformes|Cisticolidae|Cisticola|erythrops|Cisticola erythrops (Hartlaub, 1857)	71
Cossypha niveicapilla (Lafresnaye, 1838)	Animalia|Chordata|Aves|Passeriformes|Muscicapidae|Cossypha|niveicapilla|Cossypha niveicapilla (Lafresnaye, 1838)	68
Epiplatys fasciolatus (Günther, 1866)	Animalia|Chordata|Actinopterygii|Cyprinodontiformes|Nothobranchiidae|Epiplatys|fasciolatus|Epiplatys fasciolatus (Günther, 1866)	67
Lagonosticta rubricata (Lichtenstein, 1823)	Animalia|Chordata|Aves|Passeriformes|Estrildidae|Lagonosticta|rubricata|Lagonosticta rubricata (Lichtenstein, 1823)	67
Hipposideros ruber (Noack, 1893)	Animalia|Chordata|Mammalia|Chiroptera|Hipposideridae|Hipposideros|ruber|Hipposideros ruber (Noack, 1893)	66
Hipposideros ruber (Noack, 1893)	Animalia|Chordata|Mammalia|Chiroptera|Rhinolophidae|Hipposideros|ruber|Hipposideros ruber (Noack, 1893)	66
Turtur tympanistria (Temminck, 1809)	Animalia|Chordata|Aves|Columbiformes|Columbidae|Turtur|tympanistria|Turtur tympanistria (Temminck, 1809)	65
Turtur afer (Linnaeus, 1766)	Animalia|Chordata|Aves|Columbiformes|Columbidae|Turtur|afer|Turtur afer (Linnaeus, 1766)	63
Pytilia hypogrammica Sharpe, 1870	Animalia|Chordata|Aves|Passeriformes|Estrildidae|Pytilia|hypogrammica|Pytilia hypogrammica Sharpe, 1870	61
Halcyon senegalensis (Linnaeus, 1766)	Animalia|Chordata|Aves|Coraciiformes|Alcedinidae|Halcyon|senegalensis|Halcyon senegalensis (Linnaeus, 1766)	60
Halcyon malimbica (Shaw, 1811)	Animalia|Chordata|Aves|Coraciiformes|Alcedinidae|Halcyon|malimbica|Halcyon malimbica (Shaw, 1811)	59
Apus aequatorialis (J. W. Von Muller, 1851)	Animalia|Chordata|Aves|Apodiformes|Apodidae|Tachymarptis|aequatorialis|Apus aequatorialis (J. W. Von Muller, 1851)	59
Dacus bivittatus (Bigot, 1858)	Animalia|Arthropoda|Insecta|Diptera|Lauxaniidae|Dacus|bivittatus|Dacus bivittatus (Bigot, 1858)	57
Ceratogymna elata (Temminck, 1831)	Animalia|Chordata|Aves|Bucerotiformes|Bucerotidae|Ceratogymna|elata|Ceratogymna elata (Temminck, 1831)	57
Tilapia louka Thys van den Audenaerde, 1969	Animalia|Chordata|Actinopterygii|Perciformes|Cichlidae|Tilapia|louka|Tilapia louka Thys van den Audenaerde, 1969	56
Cypsiurus parvus (Lichtenstein, 1823)	Animalia|Chordata|Aves|Apodiformes|Apodidae|Cypsiurus|parvus|Cypsiurus parvus (Lichtenstein, 1823)	55
Eurystomus glaucurus (Statius Muller, 1776)	Animalia|Chordata|Aves|Coraciiformes|Coraciidae|Eurystomus|glaucurus|Eurystomus glaucurus (Statius Muller, 1776)	53
Sorghum bicolor (L.) Moench	Plantae|Tracheophyta|Liliopsida|Poales|Poaceae|Sorghum|bicolor|Sorghum bicolor (L.) Moench	52
