taxonName	taxonPath	recordCount
Acridotheres javanicus Cabanis, 1851	Animalia|Chordata|Aves|Passeriformes|Sturnidae|Acridotheres|javanicus|Acridotheres javanicus Cabanis, 1851	1128
Pycnonotus goiavier (Scopoli, 1786)	Animalia|Chordata|Aves|Passeriformes|Pycnonotidae|Pycnonotus|goiavier|Pycnonotus goiavier (Scopoli, 1786)	954
Oriolus chinensis Linnaeus, 1766	Animalia|Chordata|Aves|Passeriformes|Oriolidae|Oriolus|chinensis|Oriolus chinensis Linnaeus, 1766	927
Bufo melanostictus Schneider, 1799	Animalia|Chordata|Amphibia|Anura|Bufonidae|Duttaphrynus|melanostictus|Bufo melanostictus Schneider, 1799	868
Aplonis panayensis (Scopoli, 1786)	Animalia|Chordata|Aves|Passeriformes|Sturnidae|Aplonis|panayensis|Aplonis panayensis (Scopoli, 1786)	798
Treron vernans (Linnaeus, 1771)	Animalia|Chordata|Aves|Columbiformes|Columbidae|Treron|vernans|Treron vernans (Linnaeus, 1771)	775
Streptopelia chinensis (Scopoli, 1786)	Animalia|Chordata|Aves|Columbiformes|Columbidae|Streptopelia|chinensis|Streptopelia chinensis (Scopoli, 1786)	694
Corvus splendens Vieillot, 1817	Animalia|Chordata|Aves|Passeriformes|Corvidae|Corvus|splendens|Corvus splendens Vieillot, 1817	555
Amaurornis phoenicurus (Pennant, 1769)	Animalia|Chordata|Aves|Gruiformes|Rallidae|Amaurornis|phoenicurus|Amaurornis phoenicurus (Pennant, 1769)	549
Neurothemis fluctuans	Animalia|Arthropoda|Insecta|Odonata|Libellulidae|Neurothemis|Neurothemis fluctuans	546
Columba livia Gmelin, 1789	Animalia|Chordata|Aves|Columbiformes|Columbidae|Columba|livia|Columba livia Gmelin, 1789	525
Passer montanus (Linnaeus, 1758)	Animalia|Chordata|Aves|Passeriformes|Passeridae|Passer|montanus|Passer montanus (Linnaeus, 1758)	508
Eudynamys scolopaceus (Linnaeus, 1758)	Animalia|Chordata|Aves|Cuculiformes|Cuculidae|Eudynamys|scolopaceus|Eudynamys scolopaceus (Linnaeus, 1758)	490
Todiramphus chloris (Boddaert, 1783)	Animalia|Chordata|Aves|Coraciiformes|Alcedinidae|Todiramphus|chloris|Todiramphus chloris (Boddaert, 1783)	470
Acridotheres tristis (Linnaeus, 1766)	Animalia|Chordata|Aves|Passeriformes|Sturnidae|Acridotheres|tristis|Acridotheres tristis (Linnaeus, 1766)	462
Nylanderia Emery, 1906	Animalia|Arthropoda|Insecta|Hymenoptera|Formicidae|Nylanderia||Nylanderia Emery, 1906	450
Halcyon smyrnensis (Linnaeus, 1758)	Animalia|Chordata|Aves|Coraciiformes|Alcedinidae|Halcyon|smyrnensis|Halcyon smyrnensis (Linnaeus, 1758)	432
Dicrurus paradiseus (Linnaeus, 1766)	Animalia|Chordata|Aves|Passeriformes|Dicruridae|Dicrurus|paradiseus|Dicrurus paradiseus (Linnaeus, 1766)	412
Hirundo tahitica Gmelin, 1789	Animalia|Chordata|Aves|Passeriformes|Hirundinidae|Hirundo|tahitica|Hirundo tahitica Gmelin, 1789	354
Haliastur indus (Boddaert, 1783)	Animalia|Chordata|Aves|Accipitriformes|Accipitridae|Haliastur|indus|Haliastur indus (Boddaert, 1783)	321
Anthreptes malacensis (Scopoli, 1786)	Animalia|Chordata|Aves|Passeriformes|Nectariniidae|Anthreptes|malacensis|Anthreptes malacensis (Scopoli, 1786)	317
Cinnyris jugularis (Linnaeus, 1766)	Animalia|Chordata|Aves|Passeriformes|Nectariniidae|Cinnyris|jugularis|Cinnyris jugularis (Linnaeus, 1766)	316
Copsychus saularis (Linnaeus, 1758)	Animalia|Chordata|Aves|Passeriformes|Muscicapidae|Copsychus|saularis|Copsychus saularis (Linnaeus, 1758)	310
Psittacula longicauda (Boddaert, 1783)	Animalia|Chordata|Aves|Psittaciformes|Psittacidae|Psittacula|longicauda|Psittacula longicauda (Boddaert, 1783)	307
Aethopyga siparaja (Raffles, 1822)	Animalia|Chordata|Aves|Passeriformes|Nectariniidae|Aethopyga|siparaja|Aethopyga siparaja (Raffles, 1822)	307
Junonia hedonia ida	Animalia|Arthropoda|Insecta|Lepidoptera|Nymphalidae|Junonia|Junonia hedonia ida	304
Picus miniaceus Pennant, 1769	Animalia|Chordata|Aves|Piciformes|Picidae|Picus|miniaceus|Picus miniaceus Pennant, 1769	297
Haliaeetus leucogaster (Gmelin, 1788)	Animalia|Chordata|Aves|Accipitriformes|Accipitridae|Haliaeetus|leucogaster|Haliaeetus leucogaster (Gmelin, 1788)	284
Aegithina tiphia (Linnaeus, 1758)	Animalia|Chordata|Aves|Passeriformes|Aegithinidae|Aegithina|tiphia|Aegithina tiphia (Linnaeus, 1758)	282
Corvus macrorhynchos Wagler, 1827	Animalia|Chordata|Aves|Passeriformes|Corvidae|Corvus|macrorhynchos|Corvus macrorhynchos Wagler, 1827	270
Eurystomus orientalis (Linnaeus, 1766)	Animalia|Chordata|Aves|Coraciiformes|Coraciidae|Eurystomus|orientalis|Eurystomus orientalis (Linnaeus, 1766)	261
Rana chalconota (Schlegel, 1837)	Animalia|Chordata|Amphibia|Anura|Ranidae|Hylarana|chalconota|Rana chalconota (Schlegel, 1837)	260
Gracula religiosa Linnaeus, 1758	Animalia|Chordata|Aves|Passeriformes|Sturnidae|Gracula|religiosa|Gracula religiosa Linnaeus, 1758	257
Merops philippinus Linnaeus, 1766	Animalia|Chordata|Aves|Coraciiformes|Meropidae|Merops|philippinus|Merops philippinus Linnaeus, 1766	252
Amata huebneri	Animalia|Arthropoda|Insecta|Lepidoptera|Erebidae|Amata|Amata huebneri	248
Dinopium javanense (Ljungh, 1797)	Animalia|Chordata|Aves|Piciformes|Picidae|Dinopium|javanense|Dinopium javanense (Ljungh, 1797)	245
Hirundo tahitica J. F. Gmelin, 1789	Animalia|Chordata|Aves|Passeriformes|Hirundinidae|Hirundo|tahitica|Hirundo tahitica J. F. Gmelin, 1789	237
Geopelia striata (Linnaeus, 1766)	Animalia|Chordata|Aves|Columbiformes|Columbidae|Geopelia|striata|Geopelia striata (Linnaeus, 1766)	235
Butorides striata (Linnaeus, 1758)	Animalia|Chordata|Aves|Pelecaniformes|Ardeidae|Butorides|striata|Butorides striata (Linnaeus, 1758)	233
Pycnonotus plumosus Blyth, 1845	Animalia|Chordata|Aves|Passeriformes|Pycnonotidae|Pycnonotus|plumosus|Pycnonotus plumosus Blyth, 1845	229
Phalanta phalantha	Animalia|Arthropoda|Insecta|Lepidoptera|Nymphalidae|Phalanta|Phalanta phalantha	221
Trithemis aurora	Animalia|Arthropoda|Insecta|Odonata|Libellulidae|Trithemis|Trithemis aurora	214
Merops viridis Linnaeus, 1758	Animalia|Chordata|Aves|Coraciiformes|Meropidae|Merops|viridis|Merops viridis Linnaeus, 1758	209
Cinnyris jugularis	Animalia|Chordata|Aves|Passeriformes|Nectariniidae|Cinnyris|jugularis|Cinnyris jugularis	197
Potanthus omaha	Animalia|Arthropoda|Insecta|Lepidoptera|Hesperiidae|Potanthus|Potanthus omaha	195
Ardea cinerea Linnaeus, 1758	Animalia|Chordata|Aves|Pelecaniformes|Ardeidae|Ardea|cinerea|Ardea cinerea Linnaeus, 1758	194
Limnonectes malesianus (Kiew, 1984)	Animalia|Chordata|Amphibia|Anura|Dicroglossidae|Limnonectes|malesianus|Limnonectes malesianus (Kiew, 1984)	194
Calotes versicolor	Animalia|Chordata|Reptilia|Squamata|Agamidae|Calotes|Calotes versicolor	188
Dendrocygna javanica (Horsfield, 1821)	Animalia|Chordata|Aves|Anseriformes|Anatidae|Dendrocygna|javanica|Dendrocygna javanica (Horsfield, 1821)	186
Danaus chrysippus chryssipus alcippoides	Animalia|Arthropoda|Insecta|Lepidoptera|Nymphalidae|Danaus|Danaus chrysippus chryssipus alcippoides	185
Chordata	Animalia|Chordata||||||Chordata	184
Dicaeum cruentatum (Linnaeus, 1758)	Animalia|Chordata|Aves|Passeriformes|Dicaeidae|Dicaeum|cruentatum|Dicaeum cruentatum (Linnaeus, 1758)	180
Kalophrynus pleurostigma Tschudi, 1838	Animalia|Chordata|Amphibia|Anura|Microhylidae|Kalophrynus|pleurostigma|Kalophrynus pleurostigma Tschudi, 1838	178
Egretta garzetta (Linnaeus, 1766)	Animalia|Chordata|Aves|Pelecaniformes|Ardeidae|Egretta|garzetta|Egretta garzetta (Linnaeus, 1766)	177
Loriculus galgulus (Linnaeus, 1758)	Animalia|Chordata|Aves|Psittaciformes|Psittacidae|Loriculus|galgulus|Loriculus galgulus (Linnaeus, 1758)	175
Hirundo rustica Linnaeus, 1758	Animalia|Chordata|Aves|Passeriformes|Hirundinidae|Hirundo|rustica|Hirundo rustica Linnaeus, 1758	173
Crocothemis servilia	Animalia|Arthropoda|Insecta|Odonata|Libellulidae|Crocothemis|Crocothemis servilia	173
Mixornis gularis	Animalia|Chordata|Aves|Passeriformes|Timaliidae|Mixornis|gularis|Mixornis gularis	170
Apus nipalensis (Hodgson, 1837)	Animalia|Chordata|Aves|Apodiformes|Apodidae|Apus|nipalensis|Apus nipalensis (Hodgson, 1837)	168
Chilades pandava pandava	Animalia|Arthropoda|Insecta|Lepidoptera|Lycaenidae|Chilades|Chilades pandava pandava	165
Aerodramus germani	Animalia|Chordata|Aves|Apodiformes|Apodidae|Aerodramus|germani|Aerodramus germani	157
Orthotomus sutorius (Pennant, 1769)	Animalia|Chordata|Aves|Passeriformes|Cisticolidae|Orthotomus|sutorius|Orthotomus sutorius (Pennant, 1769)	155
Hemiprocne longipennis (Rafinesque, 1802)	Animalia|Chordata|Aves|Apodiformes|Hemiprocnidae|Hemiprocne|longipennis|Hemiprocne longipennis (Rafinesque, 1802)	155
	|||||||	151
Acraea terpsicore	Animalia|Arthropoda|Insecta|Lepidoptera|Nymphalidae|Acraea|Acraea terpsicore	145
Psittacula alexandri (Linnaeus, 1758)	Animalia|Chordata|Aves|Psittaciformes|Psittacidae|Psittacula|alexandri|Psittacula alexandri (Linnaeus, 1758)	144
Actitis hypoleucos (Linnaeus, 1758)	Animalia|Chordata|Aves|Charadriiformes|Scolopacidae|Actitis|hypoleucos|Actitis hypoleucos (Linnaeus, 1758)	141
Dendrocopos moluccensis (Gmelin, 1788)	Animalia|Chordata|Aves|Piciformes|Picidae|Dendrocopos|moluccensis|Dendrocopos moluccensis (Gmelin, 1788)	139
Polypedates leucomystax (Gravenhorst, 1829)	Animalia|Chordata|Amphibia|Anura|Rhacophoridae|Polypedates|leucomystax|Polypedates leucomystax (Gravenhorst, 1829)	138
Leptobrachium nigrops Berry & Hendrickson, 1963	Animalia|Chordata|Amphibia|Anura|Megophryidae|Leptobrachium|nigrops|Leptobrachium nigrops Berry & Hendrickson, 1963	132
Picus vittatus Vieillot, 1818	Animalia|Chordata|Aves|Piciformes|Picidae|Picus|vittatus|Picus vittatus Vieillot, 1818	131
Muscicapa latirostris Raffles, 1822	Animalia|Chordata|Aves|Passeriformes|Muscicapidae|Muscicapa|latirostris|Muscicapa latirostris Raffles, 1822	131
Rana laterimaculata Barbour & Noble, 1916	Animalia|Chordata|Amphibia|Anura|Ranidae|Hylarana|laterimaculata|Rana laterimaculata Barbour & Noble, 1916	130
Ixobrychus sinensis (Gmelin, 1789)	Animalia|Chordata|Aves|Pelecaniformes|Ardeidae|Ixobrychus|sinensis|Ixobrychus sinensis (Gmelin, 1789)	129
Cypsiurus balasiensis (J. E. Gray, 1829)	Animalia|Chordata|Aves|Apodiformes|Apodidae|Cypsiurus|balasiensis|Cypsiurus balasiensis (J. E. Gray, 1829)	124
Amaurornis phoenicurus	Animalia|Chordata|Aves|Gruiformes|Rallidae|Amaurornis|Amaurornis phoenicurus	123
Macaca fascicularis	Animalia|Chordata|Mammalia|Primates|Cercopithecidae|Macaca|Macaca fascicularis	122
Irena puella (Latham, 1790)	Animalia|Chordata|Aves|Passeriformes|Irenidae|Irena|puella|Irena puella (Latham, 1790)	121
Alcedo atthis (Linnaeus, 1758)	Animalia|Chordata|Aves|Coraciiformes|Alcedinidae|Alcedo|atthis|Alcedo atthis (Linnaeus, 1758)	120
Orthotomus atrogularis Temminck, 1836	Animalia|Chordata|Aves|Passeriformes|Cisticolidae|Orthotomus|atrogularis|Orthotomus atrogularis Temminck, 1836	119
Pelargopsis capensis (Linnaeus, 1766)	Animalia|Chordata|Aves|Coraciiformes|Alcedinidae|Pelargopsis|capensis|Pelargopsis capensis (Linnaeus, 1766)	119
Mixornis Hodgson, 1842	Animalia|Chordata|Aves|Passeriformes|Timaliidae|Mixornis||Mixornis Hodgson, 1842	118
Lonchura punctulata (Linnaeus, 1758)	Animalia|Chordata|Aves|Passeriformes|Estrildidae|Lonchura|punctulata|Lonchura punctulata (Linnaeus, 1758)	117
Dicaeum cruentatum (Linnaeus, 1758)	Animalia|Chordata|Aves|Passeriformes|Nectariniidae|Dicaeum|cruentatum|Dicaeum cruentatum (Linnaeus, 1758)	115
Rana erythraea (Schlegel, 1837)	Animalia|Chordata|Amphibia|Anura|Ranidae|Hylarana|erythraea|Rana erythraea (Schlegel, 1837)	111
Pycnonotus goiavier	Animalia|Chordata|Aves|Passeriformes|Pycnonotidae|Pycnonotus|Pycnonotus goiavier	111
Lanius cristatus Linnaeus, 1758	Animalia|Chordata|Aves|Passeriformes|Laniidae|Lanius|cristatus|Lanius cristatus Linnaeus, 1758	109
Suastus gremius	Animalia|Arthropoda|Insecta|Lepidoptera|Hesperiidae|Suastus|Suastus gremius	108
Fungi	Fungi	108
Hemidactylus frenatus Schlegel, 1836	Animalia|Chordata|Reptilia|Squamata|Gekkonidae|Hemidactylus|frenatus|Hemidactylus frenatus Schlegel, 1836	106
Orthotomus sutorius (Pennant, 1769)	Animalia|Chordata|Aves|Passeriformes|Sylviidae|Orthotomus|sutorius|Orthotomus sutorius (Pennant, 1769)	105
Cacatua goffiniana C. S. Roselaar & Michaels, 2004	Animalia|Chordata|Aves|Psittaciformes|Psittacidae|Cacatua|goffiniana|Cacatua goffiniana C. S. Roselaar & Michaels, 2004	105
Pseudagrion microcephalum	Animalia|Arthropoda|Insecta|Odonata|Coenagrionidae|Pseudagrion|Pseudagrion microcephalum	104
Bubulcus ibis (Linnaeus, 1758)	Animalia|Chordata|Aves|Pelecaniformes|Ardeidae|Bubulcus|ibis|Bubulcus ibis (Linnaeus, 1758)	104
Ardea purpurea Linnaeus, 1766	Animalia|Chordata|Aves|Pelecaniformes|Ardeidae|Ardea|purpurea|Ardea purpurea Linnaeus, 1766	104
Ypthima horsfieldii humei	Animalia|Arthropoda|Insecta|Lepidoptera|Nymphalidae|Ypthima|Ypthima horsfieldii humei	102
Zizula hylax pygmaea	Animalia|Arthropoda|Insecta|Lepidoptera|Lycaenidae|Zizula|Zizula hylax pygmaea	102
Mycalesis perseoides	Animalia|Arthropoda|Insecta|Lepidoptera|Nymphalidae|Mycalesis|Mycalesis perseoides	101
Anthene emolus goberus	Animalia|Arthropoda|Insecta|Lepidoptera|Lycaenidae|Anthene|Anthene emolus goberus	101
Dicaeum trigonostigma (Scopoli, 1786)	Animalia|Chordata|Aves|Passeriformes|Dicaeidae|Dicaeum|trigonostigma|Dicaeum trigonostigma (Scopoli, 1786)	100
Doleschallia bisaltide bisaltide	Animalia|Arthropoda|Insecta|Lepidoptera|Nymphalidae|Doleschallia|Doleschallia bisaltide bisaltide	99
Varanus nebulosus	Animalia|Chordata|Reptilia|Squamata|Varanidae|Varanus|Varanus nebulosus	98
Phaenicophaeus sumatranus (Raffles, 1822)	Animalia|Chordata|Aves|Cuculiformes|Cuculidae|Rhopodytes|sumatranus|Phaenicophaeus sumatranus (Raffles, 1822)	98
Anthus rufulus Vieillot, 1818	Animalia|Chordata|Aves|Passeriformes|Motacillidae|Anthus|rufulus|Anthus rufulus Vieillot, 1818	97
Orthetrum chrysis	Animalia|Arthropoda|Insecta|Odonata|Libellulidae|Orthetrum|Orthetrum chrysis	97
Rhipidura javanica (Sparrman, 1788)	Animalia|Chordata|Aves|Passeriformes|Rhipiduridae|Rhipidura|javanica|Rhipidura javanica (Sparrman, 1788)	97
Eutropis multifasciata	Animalia|Chordata|Reptilia|Squamata|Scincidae|Eutropis|Eutropis multifasciata	96
Tyriobapta torrida	Animalia|Arthropoda|Insecta|Odonata|Libellulidae|Tyriobapta|Tyriobapta torrida	95
Otus lempiji	Animalia|Chordata|Aves|Strigiformes|Strigidae|Otus|lempiji|Otus lempiji	92
Treron vernans	Animalia|Chordata|Aves|Columbiformes|Columbidae|Treron|Treron vernans	91
Lanius tigrinus Drapiez, 1828	Animalia|Chordata|Aves|Passeriformes|Laniidae|Lanius|tigrinus|Lanius tigrinus Drapiez, 1828	91
Muscicapa latirostris auct. auct. (null)	Animalia|Chordata|Aves|Passeriformes|Muscicapidae|Muscicapa|latirostris|Muscicapa latirostris auct. auct. (null)	89
Galeopterus variegatus	Animalia|Chordata|Mammalia|Dermoptera|Cynocephalidae|Galeopterus|Galeopterus variegatus	89
Aerodramus maximus (Hume, 1878)	Animalia|Chordata|Aves|Apodiformes|Apodidae|Aerodramus|maximus|Aerodramus maximus (Hume, 1878)	88
Zosterops palpebrosus (Temminck, 1824)	Animalia|Chordata|Aves|Passeriformes|Zosteropidae|Zosterops|palpebrosus|Zosterops palpebrosus (Temminck, 1824)	86
Lepidoptera	Animalia|Arthropoda|Insecta|Lepidoptera	86
Cinnyris jugularis	Animalia|Chordata|Aves|Passeriformes|Nectariniidae|Cinnyris|Cinnyris jugularis	86
Orthotomus ruficeps (Lesson, 1830)	Animalia|Chordata|Aves|Passeriformes|Cisticolidae|Orthotomus|ruficeps|Orthotomus ruficeps (Lesson, 1830)	85
Nycticorax nycticorax (Linnaeus, 1758)	Animalia|Chordata|Aves|Pelecaniformes|Ardeidae|Nycticorax|nycticorax|Nycticorax nycticorax (Linnaeus, 1758)	85
Nisitrus vittatus	Animalia|Arthropoda|Insecta|Orthoptera|Gryllidae|Nisitrus|Nisitrus vittatus	83
Aviceda leuphotes (Dumont, 1820)	Animalia|Chordata|Aves|Accipitriformes|Accipitridae|Aviceda|leuphotes|Aviceda leuphotes (Dumont, 1820)	83
Ceriagrion cerinorubellum	Animalia|Arthropoda|Insecta|Odonata|Coenagrionidae|Ceriagrion|Ceriagrion cerinorubellum	83
Orchidaceae Juss.	Plantae|Magnoliophyta|Liliopsida|Asparagales|Orchidaceae|||Orchidaceae Juss.	82
Orchidaceae	Plantae|Tracheophyta|Liliopsida|Asparagales|Orchidaceae|||Orchidaceae	82
Prinia flaviventris (Delessert, 1840)	Animalia|Chordata|Aves|Passeriformes|Cisticolidae|Prinia|flaviventris|Prinia flaviventris (Delessert, 1840)	82
Psilopogon lineatus	Animalia|Chordata|Aves|Piciformes|Ramphastidae|Psilopogon|lineatus|Psilopogon lineatus	81
Psilopogon haemacephalus	Animalia|Chordata|Aves|Piciformes|Ramphastidae|Psilopogon|haemacephalus|Psilopogon haemacephalus	81
Ninox scutulata (Raffles, 1822)	Animalia|Chordata|Aves|Strigiformes|Strigidae|Ninox|scutulata|Ninox scutulata (Raffles, 1822)	80
Tanaecia pelea	Animalia|Arthropoda|Insecta|Lepidoptera|Nymphalidae|Tanaecia|Tanaecia pelea	80
Streptopelia chinensis	Animalia|Chordata|Aves|Columbiformes|Columbidae|Streptopelia|Streptopelia chinensis	80
