taxonName	taxonPath	recordCount
	|||||||	1234
Russula cyanoxantha (Schaeff.) Fr., 1863	Fungi|Basidiomycota|Agaricomycetes|Russulales|Russulaceae|Russula|cyanoxantha|Russula cyanoxantha (Schaeff.) Fr., 1863	1204
Amanita spissa (Fr.) P. Kumm., 1871	Fungi|Basidiomycota|Agaricomycetes|Agaricales|Amanitaceae|Amanita|spissa|Amanita spissa (Fr.) P. Kumm., 1871	1194
Ctenophthalmus agyrtes (Heller, 1896)	Animalia|Arthropoda|Insecta|Siphonaptera|Hystrichopsyllidae|Ctenophthalmus|agyrtes|Ctenophthalmus agyrtes (Heller, 1896)	1059
Hydnum repandum L., 1753	Fungi|Basidiomycota|Agaricomycetes|Cantharellales|Hydnaceae|Hydnum|repandum|Hydnum repandum L., 1753	948
Boletus aestivalis (Paulet) Fr., 1838	Fungi|Basidiomycota|Agaricomycetes|Boletales|Boletaceae|Boletus|aestivalis|Boletus aestivalis (Paulet) Fr., 1838	898
Lactarius volemus (Fr.) Fr., 1838	Fungi|Basidiomycota|Agaricomycetes|Russulales|Russulaceae|Lactarius|volemus|Lactarius volemus (Fr.) Fr., 1838	876
Lactarius piperatus (L.) Pers., 1797	Fungi|Basidiomycota|Agaricomycetes|Russulales|Russulaceae|Lactarius|piperatus|Lactarius piperatus (L.) Pers., 1797	864
Cantharellus cibarius subsp. cibarius	Fungi|Basidiomycota|Agaricomycetes|Cantharellales|Cantharellaceae|Cantharellus|cibarius|Cantharellus cibarius subsp. cibarius	789
Cantharellus cibarius var. cibarius	Fungi|Basidiomycota|Agaricomycetes|Cantharellales|Cantharellaceae|Cantharellus|cibarius|Cantharellus cibarius var. cibarius	789
Amanita rubescens (Pers.) Gray, 1821	Fungi|Basidiomycota|Agaricomycetes|Agaricales|Amanitaceae|Amanita|rubescens|Amanita rubescens (Pers.) Gray, 1821	779
Amanita rubescens var. rubescens	Fungi|Basidiomycota|Agaricomycetes|Agaricales|Amanitaceae|Amanita|rubescens|Amanita rubescens var. rubescens	779
Fagus sylvatica L.	Plantae|Tracheophyta|Magnoliopsida|Fagales|Fagaceae|Fagus|sylvatica|Fagus sylvatica L.	775
Fagus sylvatica L.	Plantae|Magnoliophyta|Magnoliopsida|Fagales|Fagaceae|Fagus|sylvatica|Fagus sylvatica L.	775
Clitopilus prunulus (Scop.) P. Kumm., 1871	Fungi|Basidiomycota|Agaricomycetes|Agaricales|Entolomataceae|Clitopilus|prunulus|Clitopilus prunulus (Scop.) P. Kumm., 1871	746
Ctenophthalmus agyrtes wagnerianus Peus, 1950	Animalia|Arthropoda|Insecta|Siphonaptera|Hystrichopsyllidae|Ctenophthalmus|agyrtes|Ctenophthalmus agyrtes wagnerianus Peus, 1950	705
Russula virescens (Schaeff.) Fr., 1836	Fungi|Basidiomycota|Agaricomycetes|Russulales|Russulaceae|Russula|virescens|Russula virescens (Schaeff.) Fr., 1836	704
Melanelia glabratula (Lamy) Essl.	Fungi|Ascomycota|Lecanoromycetes|Lecanorales|Parmeliaceae|Melanelixia|glabratula|Melanelia glabratula (Lamy) Essl.	692
Parmelia sulcata Taylor	Fungi|Ascomycota|Lecanoromycetes|Lecanorales|Parmeliaceae|Parmelia|sulcata|Parmelia sulcata Taylor	644
Scleroderma citrinum Pers., 1801	Fungi|Basidiomycota|Agaricomycetes|Boletales|Sclerodermataceae|Scleroderma|citrinum|Scleroderma citrinum Pers., 1801	630
Parmelia saxatilis (L.) Ach.	Fungi|Ascomycota|Lecanoromycetes|Lecanorales|Parmeliaceae|Parmelia|saxatilis|Parmelia saxatilis (L.) Ach.	608
Abies alba Mill.	Plantae|Pinophyta|Pinopsida|Pinales|Pinaceae|Abies|alba|Abies alba Mill.	607
Abies alba Mill.	Plantae|Tracheophyta|Pinopsida|Pinales|Pinaceae|Abies|alba|Abies alba Mill.	607
Boletus edulis Bull., 1782	Fungi|Basidiomycota|Agaricomycetes|Boletales|Boletaceae|Boletus|edulis|Boletus edulis Bull., 1782	604
Phlyctis argena (Spreng.) Flot.	Fungi|Ascomycota|Lecanoromycetes|Ostropales|Phlyctidaceae|Phlyctis|argena|Phlyctis argena (Spreng.) Flot.	594
Amanita gemmata (Fr.) Bertill., 1866	Fungi|Basidiomycota|Agaricomycetes|Agaricales|Amanitaceae|Amanita|gemmata|Amanita gemmata (Fr.) Bertill., 1866	592
Russula vesca Fr., 1836	Fungi|Basidiomycota|Agaricomycetes|Russulales|Russulaceae|Russula|vesca|Russula vesca Fr., 1836	590
Megacollybia platyphylla (Pers.) Kotl. & Pouzar, 1972	Fungi|Basidiomycota|Agaricomycetes|Agaricales|Marasmiaceae|Megacollybia|platyphylla|Megacollybia platyphylla (Pers.) Kotl. & Pouzar, 1972	582
Russula rosea Pers., 1796	Fungi|Basidiomycota|Agaricomycetes|Russulales|Russulaceae|Russula|rosea|Russula rosea Pers., 1796	578
Armillaria mellea (Vahl) P. Kumm., 1871	Fungi|Basidiomycota|Agaricomycetes|Agaricales|Physalacriaceae|Armillaria|mellea|Armillaria mellea (Vahl) P. Kumm., 1871	568
Lecidella elaeochroma (Ach.) M. Choisy	Fungi|Ascomycota|Lecanoromycetes|Lecanorales|Lecanoraceae|Lecidella|elaeochroma|Lecidella elaeochroma (Ach.) M. Choisy	566
Hypholoma sublateritium (Schaeff.) Quél., 1873	Fungi|Basidiomycota|Agaricomycetes|Agaricales|Strophariaceae|Psilocybe|sublateritium|Hypholoma sublateritium (Schaeff.) Quél., 1873	546
Acer pseudoplatanus L.	Plantae|Tracheophyta|Magnoliopsida|Sapindales|Sapindaceae|Acer|pseudoplatanus|Acer pseudoplatanus L.	505
Acer pseudoplatanus L.	Plantae|Magnoliophyta|Magnoliopsida|Sapindales|Sapindaceae|Acer|pseudoplatanus|Acer pseudoplatanus L.	504
Lactarius quietus (Fr.) Fr., 1838	Fungi|Basidiomycota|Agaricomycetes|Russulales|Russulaceae|Lactarius|quietus|Lactarius quietus (Fr.) Fr., 1838	502
Paxillus involutus (Batsch) Fr., 1838	Fungi|Basidiomycota|Agaricomycetes|Boletales|Paxillaceae|Paxillus|involutus|Paxillus involutus (Batsch) Fr., 1838	492
Pseudevernia furfuracea (L.) Zopf	Fungi|Ascomycota|Lecanoromycetes|Lecanorales|Parmeliaceae|Pseudevernia|furfuracea|Pseudevernia furfuracea (L.) Zopf	467
Lactarius deliciosus (L.) Gray, 1821	Fungi|Basidiomycota|Agaricomycetes|Russulales|Russulaceae|Lactarius|deliciosus|Lactarius deliciosus (L.) Gray, 1821	466
Russula nigricans Fr., 1838	Fungi|Basidiomycota|Agaricomycetes|Russulales|Russulaceae|Russula|nigricans|Russula nigricans Fr., 1838	452
Rozites caperatus (Pers.) P. Karst., 1879	Fungi|Basidiomycota|Agaricomycetes|Agaricales|Cortinariaceae|Cortinarius|caperatus|Rozites caperatus (Pers.) P. Karst., 1879	450
Cantharellus tubaeformis Fr., 1821	Fungi|Basidiomycota|Agaricomycetes|Cantharellales|Cantharellaceae|Craterellus|tubaeformis|Cantharellus tubaeformis Fr., 1821	450
Clitocybe gibba (Pers.) P. Kumm., 1871	Fungi|Basidiomycota|Agaricomycetes|Agaricales|Tricholomataceae|Clitocybe|gibba|Clitocybe gibba (Pers.) P. Kumm., 1871	444
Armillaria ostoyae (Romagn.) Herink, 1973	Fungi|Basidiomycota|Agaricomycetes|Agaricales|Physalacriaceae|Armillaria|ostoyae|Armillaria ostoyae (Romagn.) Herink, 1973	442
Longitarsus luridus (Scopoli, 1763)	Animalia|Arthropoda|Insecta|Coleoptera|Chrysomelidae|Longitarsus|luridus|Longitarsus luridus (Scopoli, 1763)	436
Tricholoma portentosum (Fr.) Quél., 1873	Fungi|Basidiomycota|Agaricomycetes|Agaricales|Tricholomataceae|Tricholoma|portentosum|Tricholoma portentosum (Fr.) Quél., 1873	427
Tricholoma portentosum (Fr.) Quél., 1872	Fungi|Basidiomycota|Agaricomycetes|Agaricales|Tricholomataceae|Tricholoma|portentosum|Tricholoma portentosum (Fr.) Quél., 1872	427
Tapinella atrotomentosa (Batsch) Šutara, 1992	Fungi|Basidiomycota|Agaricomycetes|Boletales|Tapinellaceae|Tapinella|atrotomentosa|Tapinella atrotomentosa (Batsch) Šutara, 1992	424
Pertusaria amara (Ach.) Nyl.	Fungi|Ascomycota|Lecanoromycetes|Pertusariales|Pertusariaceae|Pertusaria|amara|Pertusaria amara (Ach.) Nyl.	421
Pertusaria albescens (Huds.) M. Choisy & Werner	Fungi|Ascomycota|Lecanoromycetes|Pertusariales|Pertusariaceae|Pertusaria|albescens|Pertusaria albescens (Huds.) M. Choisy & Werner	412
Russula emetica (Schaeff.) Pers., 1796	Fungi|Basidiomycota|Agaricomycetes|Russulales|Russulaceae|Russula|emetica|Russula emetica (Schaeff.) Pers., 1796	412
Tricholomopsis rutilans (Schaeff.) Singer, 1939	Fungi|Basidiomycota|Agaricomycetes|Agaricales|Tricholomataceae|Tricholomopsis|rutilans|Tricholomopsis rutilans (Schaeff.) Singer, 1939	402
Russula heterophylla (Fr.) Fr., 1838	Fungi|Basidiomycota|Agaricomycetes|Russulales|Russulaceae|Russula|heterophylla|Russula heterophylla (Fr.) Fr., 1838	388
Lepista nuda (Bull.) Cooke, 1871	Fungi|Basidiomycota|Agaricomycetes|Agaricales|Tricholomataceae|Lepista|nuda|Lepista nuda (Bull.) Cooke, 1871	382
Gomphidius glutinosus (Schaeff.) Fr., 1838	Fungi|Basidiomycota|Agaricomycetes|Boletales|Gomphidiaceae|Gomphidius|glutinosus|Gomphidius glutinosus (Schaeff.) Fr., 1838	382
Hypholoma fasciculare (Huds.) P. Kumm., 1871	Fungi|Basidiomycota|Agaricomycetes|Agaricales|Strophariaceae|Hypholoma|fasciculare|Hypholoma fasciculare (Huds.) P. Kumm., 1871	374
Hypholoma fasciculare (Huds.) P. Kumm.	Fungi|Basidiomycota|Agaricomycetes|Agaricales|Strophariaceae|Psilocybe|fasciculare|Hypholoma fasciculare (Huds.) P. Kumm.	374
Picea abies (L.) H. Karst.	Plantae|Pinophyta|Pinopsida|Pinales|Pinaceae|Picea|abies|Picea abies (L.) H. Karst.	374
Picea abies (L.) H. Karst.	Plantae|Tracheophyta|Pinopsida|Pinales|Pinaceae|Picea|abies|Picea abies (L.) H. Karst.	374
Cladonia pyxidata (L.) Hoffm.	Fungi|Ascomycota|Lecanoromycetes|Lecanorales|Cladoniaceae|Cladonia|pyxidata|Cladonia pyxidata (L.) Hoffm.	369
Calocybe gambosa (Fr.) Donk, 1962	Fungi|Basidiomycota|Agaricomycetes|Agaricales|Lyophyllaceae|Calocybe|gambosa|Calocybe gambosa (Fr.) Donk, 1962	368
Lecanora chlarotera Nyl.	Fungi|Ascomycota|Lecanoromycetes|Lecanorales|Lecanoraceae|Lecanora|chlarotera|Lecanora chlarotera Nyl.	367
Platismatia glauca (L.) W. L. Culb. & C. F. Culb.	Fungi|Ascomycota|Lecanoromycetes|Lecanorales|Parmeliaceae|Platismatia|glauca|Platismatia glauca (L.) W. L. Culb. & C. F. Culb.	366
Phyllotreta undulata (Kutschera, 1860)	Animalia|Arthropoda|Insecta|Coleoptera|Chrysomelidae|Phyllotreta|undulata|Phyllotreta undulata (Kutschera, 1860)	366
Trametes versicolor (L.) Lloyd, 1921	Fungi|Basidiomycota|Agaricomycetes|Polyporales|Polyporaceae|Trametes|versicolor|Trametes versicolor (L.) Lloyd, 1921	362
Lycoperdon perlatum Pers., 1796	Fungi|Basidiomycota|Agaricomycetes|Agaricales|Agaricaceae|Lycoperdon|perlatum|Lycoperdon perlatum Pers., 1796	356
Boletus subtomentosus	Fungi|Basidiomycota|Agaricomycetes|Boletales|Boletaceae|Xerocomus|subtomentosus|Boletus subtomentosus	353
Boletus subtomentosus L., 1753	Fungi|Basidiomycota|Agaricomycetes|Boletales|Boletaceae|Boletus|subtomentosus|Boletus subtomentosus L., 1753	353
Leccinum pseudoscabrum (Kallenb.) Šutara, 1989	Fungi|Basidiomycota|Agaricomycetes|Boletales|Boletaceae|Leccinum|pseudoscabrum|Leccinum pseudoscabrum (Kallenb.) Šutara, 1989	352
Tylopilus felleus (Bull.) P. Karst., 1881	Fungi|Basidiomycota|Agaricomycetes|Boletales|Boletaceae|Tylopilus|felleus|Tylopilus felleus (Bull.) P. Karst., 1881	352
Tricholoma terreum (Schaeff.) P. Kumm., 1871	Fungi|Basidiomycota|Agaricomycetes|Agaricales|Tricholomataceae|Tricholoma|terreum|Tricholoma terreum (Schaeff.) P. Kumm., 1871	350
Boletus luridus Schaeff., 1774	Fungi|Basidiomycota|Agaricomycetes|Boletales|Boletaceae|Suillellus|luridus|Boletus luridus Schaeff., 1774	347
Graphis scripta (L.) Ach.	Fungi|Ascomycota|Lecanoromycetes|Ostropales|Graphidaceae|Graphis|scripta|Graphis scripta (L.) Ach.	347
Boletus luridus Sowerby	Fungi|Basidiomycota|Agaricomycetes|Boletales|Boletaceae|Boletus|luridus|Boletus luridus Sowerby	347
Scoliciosporum chlorococcum (Graewe ex Stenh.) Vezda	Fungi|Ascomycota|Lecanoromycetes|Lecanorales|Scoliciosporaceae|Scoliciosporum|chlorococcum|Scoliciosporum chlorococcum (Graewe ex Stenh.) Vezda	346
Lotus corniculatus L.	Plantae|Magnoliophyta|Magnoliopsida|Fabales|Fabaceae|Lotus|corniculatus|Lotus corniculatus L.	339
Lotus corniculatus L.	Plantae|Tracheophyta|Magnoliopsida|Fabales|Fabaceae|Lotus|corniculatus|Lotus corniculatus L.	337
Taraxacum officinale (L.) Weber ex F.H.Wigg.	Plantae|Magnoliophyta|Magnoliopsida|Asterales|Asteraceae|Taraxacum|officinale|Taraxacum officinale (L.) Weber ex F.H.Wigg.	336
Boletus calopus Pers., 1801	Fungi|Basidiomycota|Agaricomycetes|Boletales|Boletaceae|Caloboletus|calopus|Boletus calopus Pers., 1801	336
Lecanora pulicaris (Pers.) Ach.	Fungi|Ascomycota|Lecanoromycetes|Lecanorales|Lecanoraceae|Lecanora|pulicaris|Lecanora pulicaris (Pers.) Ach.	336
Boletus calopus Pers., 1801	Fungi|Basidiomycota|Agaricomycetes|Boletales|Boletaceae|Boletus|calopus|Boletus calopus Pers., 1801	335
Lecanora argentata (Ach.) Malme	Fungi|Ascomycota|Lecanoromycetes|Lecanorales|Lecanoraceae|Lecanora|argentata|Lecanora argentata (Ach.) Malme	334
Candelariella reflexa (Nyl.) Lettau	Fungi|Ascomycota|Lecanoromycetes|Candelariales|Candelariaceae|Candelariella|reflexa|Candelariella reflexa (Nyl.) Lettau	329
Taraxacum officinale (L.) Weber ex F.H.Wigg.	Plantae|Tracheophyta|Magnoliopsida|Asterales|Asteraceae|Taraxacum|officinale|Taraxacum officinale (L.) Weber ex F.H.Wigg.	327
Russula aurea Pers., 1796	Fungi|Basidiomycota|Agaricomycetes|Russulales|Russulaceae|Russula|aurea|Russula aurea Pers., 1796	326
Ctenidium molluscum Mitten, 1869	Plantae|Bryophyta|Bryopsida|Hypnales|Hypnaceae|Ctenidium|molluscum|Ctenidium molluscum Mitten, 1869	326
Evernia prunastri (L.) Ach.	Fungi|Ascomycota|Lecanoromycetes|Lecanorales|Parmeliaceae|Evernia|prunastri|Evernia prunastri (L.) Ach.	324
Amanita pantherina (DC.) Krombh., 1846	Fungi|Basidiomycota|Agaricomycetes|Agaricales|Amanitaceae|Amanita|pantherina|Amanita pantherina (DC.) Krombh., 1846	320
Parmelina pastillifera (Harm.) Hale	Fungi|Ascomycota|Lecanoromycetes|Lecanorales|Parmeliaceae|Parmelina|pastillifera|Parmelina pastillifera (Harm.) Hale	314
Longitarsus melanocephalus (De Geer, 1775)	Animalia|Arthropoda|Insecta|Coleoptera|Chrysomelidae|Longitarsus|melanocephalus|Longitarsus melanocephalus (De Geer, 1775)	314
Bromopsis erecta (Huds.) Fourr.	Plantae|Magnoliophyta|Liliopsida|Poales|Poaceae|Bromus|erecta|Bromopsis erecta (Huds.) Fourr.	309
Bromopsis erecta (Huds.) Fourr.	Plantae|Tracheophyta|Liliopsida|Poales|Poaceae|Bromus|erecta|Bromopsis erecta (Huds.) Fourr.	309
Amanita fulva Fr., 1815	Fungi|Basidiomycota|Agaricomycetes|Agaricales|Amanitaceae|Amanita|fulva|Amanita fulva Fr., 1815	308
Boletus erythropus Pers.	Fungi|Basidiomycota|Agaricomycetes|Boletales|Boletaceae|Boletus|erythropus|Boletus erythropus Pers.	307
Boletus erythropus Pers., 1796	Fungi|Basidiomycota|Agaricomycetes|Boletales|Boletaceae|Boletus|erythropus|Boletus erythropus Pers., 1796	307
Caloplaca herbidella (Hue) H. Magn.	Fungi|Ascomycota|Lecanoromycetes|Teloschistales|Teloschistaceae|Caloplaca|herbidella|Caloplaca herbidella (Hue) H. Magn.	306
Parmeliopsis ambigua (Wulfen) Nyl.	Fungi|Ascomycota|Lecanoromycetes|Lecanorales|Parmeliaceae|Parmeliopsis|ambigua|Parmeliopsis ambigua (Wulfen) Nyl.	305
Craterellus cornucopioides (L.) Pers., 1825	Fungi|Basidiomycota|Agaricomycetes|Cantharellales|Cantharellaceae|Craterellus|cornucopioides|Craterellus cornucopioides (L.) Pers., 1825	304
Tricholoma scalpturatum (Fr.) Quél., 1872	Fungi|Basidiomycota|Agaricomycetes|Agaricales|Tricholomataceae|Tricholoma|scalpturatum|Tricholoma scalpturatum (Fr.) Quél., 1872	294
Lecanora carpinea (L.) Vain.	Fungi|Ascomycota|Lecanoromycetes|Lecanorales|Lecanoraceae|Lecanora|carpinea|Lecanora carpinea (L.) Vain.	293
Hypogymnia physodes (L.) Nyl., 1896	Fungi|Ascomycota|Lecanoromycetes|Lecanorales|Parmeliaceae|Hypogymnia|physodes|Hypogymnia physodes (L.) Nyl., 1896	288
Dactylis glomerata L.	Plantae|Magnoliophyta|Liliopsida|Poales|Poaceae|Dactylis|glomerata|Dactylis glomerata L.	287
Hypogymnia tubulosa (Schaer.) Hav.	Fungi|Ascomycota|Lecanoromycetes|Lecanorales|Parmeliaceae|Hypogymnia|tubulosa|Hypogymnia tubulosa (Schaer.) Hav.	287
Ramalina farinacea (L.) Ach.	Fungi|Ascomycota|Lecanoromycetes|Lecanorales|Ramalinaceae|Ramalina|farinacea|Ramalina farinacea (L.) Ach.	286
Hypogymnia physodes (L.) Nyl.	Fungi|Ascomycota|Lecanoromycetes|Lecanorales|Parmeliaceae|Hypogymnia|physodes|Hypogymnia physodes (L.) Nyl.	286
Morchella esculenta (L.) Pers., 1801	Fungi|Ascomycota|Pezizomycetes|Pezizales|Morchellaceae|Morchella|esculenta|Morchella esculenta (L.) Pers., 1801	284
Dactylis glomerata L.	Plantae|Tracheophyta|Liliopsida|Poales|Poaceae|Dactylis|glomerata|Dactylis glomerata L.	283
Veronica chamaedrys L.	Plantae|Tracheophyta|Magnoliopsida|Lamiales|Plantaginaceae|Veronica|chamaedrys|Veronica chamaedrys L.	283
Agaricus bitorquis (Quél.) Sacc., 1887	Fungi|Basidiomycota|Agaricomycetes|Agaricales|Agaricaceae|Agaricus|bitorquis|Agaricus bitorquis (Quél.) Sacc., 1887	282
Sparassis crispa (Wulfen) Fr., 1821	Fungi|Basidiomycota|Agaricomycetes|Polyporales|Sparassidaceae|Sparassis|crispa|Sparassis crispa (Wulfen) Fr., 1821	282
Boletus badius (Fr.) Fr., 1821	Fungi|Basidiomycota|Agaricomycetes|Boletales|Boletaceae|Imleria|badius|Boletus badius (Fr.) Fr., 1821	279
Boletus badius (Fr.) Fr., 1832	Fungi|Basidiomycota|Agaricomycetes|Boletales|Boletaceae|Boletus|badius|Boletus badius (Fr.) Fr., 1832	279
Tricholoma columbetta (Fr.) P. Kumm., 1871	Fungi|Basidiomycota|Agaricomycetes|Agaricales|Tricholomataceae|Tricholoma|columbetta|Tricholoma columbetta (Fr.) P. Kumm., 1871	278
Lepista glaucocana (Bres.) Singer, 1951	Fungi|Basidiomycota|Agaricomycetes|Agaricales|Tricholomataceae|Lepista|glaucocana|Lepista glaucocana (Bres.) Singer, 1951	278
Amanita phalloides (Vaill. ex Fr.) Link, 1833	Fungi|Basidiomycota|Agaricomycetes|Agaricales|Amanitaceae|Amanita|phalloides|Amanita phalloides (Vaill. ex Fr.) Link, 1833	276
Amanita phalloides	Fungi|Basidiomycota|Agaricomycetes|Agaricales|Amanitaceae|Amanita|phalloides|Amanita phalloides	276
Veronica chamaedrys L.	Plantae|Magnoliophyta|Magnoliopsida|Lamiales|Plantaginaceae|Veronica|chamaedrys|Veronica chamaedrys L.	275
Brachypodium rupestre (Host) Roem. & Schult.	Plantae|Tracheophyta|Liliopsida|Poales|Poaceae|Brachypodium|rupestre|Brachypodium rupestre (Host) Roem. & Schult.	272
Megabothris turbidus (Rothschild, 1909)	Animalia|Arthropoda|Insecta|Siphonaptera|Ceratophyllidae|Megabothris|turbidus|Megabothris turbidus (Rothschild, 1909)	272
Russula olivacea (Schaeff.) Fr., 1838	Fungi|Basidiomycota|Agaricomycetes|Russulales|Russulaceae|Russula|olivacea|Russula olivacea (Schaeff.) Fr., 1838	272
Sarcodon imbricatus (L.) P. Karst., 1881	Fungi|Basidiomycota|Agaricomycetes|Thelephorales|Bankeraceae|Sarcodon|imbricatus|Sarcodon imbricatus (L.) P. Karst., 1881	272
Trifolium pratense L.	Plantae|Magnoliophyta|Magnoliopsida|Fabales|Fabaceae|Trifolium|pratense|Trifolium pratense L.	271
Brachypodium rupestre (Host) Roem. & Schult.	Plantae|Magnoliophyta|Liliopsida|Poales|Poaceae|Brachypodium|rupestre|Brachypodium rupestre (Host) Roem. & Schult.	270
Hygrophorus marzuolus (Fr.) Bres.	Fungi|Basidiomycota|Agaricomycetes|Agaricales|Hygrophoraceae|Hygrophorus|marzuolus|Hygrophorus marzuolus (Fr.) Bres.	269
Hygrophorus marzuolus (Fr.) Bres., 1893	Fungi|Basidiomycota|Agaricomycetes|Agaricales|Hygrophoraceae|Hygrophorus|marzuolus|Hygrophorus marzuolus (Fr.) Bres., 1893	269
Trifolium pratense L.	Plantae|Tracheophyta|Magnoliopsida|Fabales|Fabaceae|Trifolium|pratense|Trifolium pratense L.	266
Peltigera praetextata (Flörke ex Sommerf.) Zopf	Fungi|Ascomycota|Lecanoromycetes|Peltigerales|Peltigeraceae|Peltigera|praetextata|Peltigera praetextata (Flörke ex Sommerf.) Zopf	266
Lactarius torminosus (Schaeff.) Gray, 1821	Fungi|Basidiomycota|Agaricomycetes|Russulales|Russulaceae|Lactarius|torminosus|Lactarius torminosus (Schaeff.) Gray, 1821	264
Lobaria pulmonaria (L.) Hoffm.	Fungi|Ascomycota|Lecanoromycetes|Peltigerales|Lobariaceae|Lobaria|pulmonaria|Lobaria pulmonaria (L.) Hoffm.	257
Laetiporus sulphureus (Bull.) Murrill, 1920	Fungi|Basidiomycota|Agaricomycetes|Polyporales|Fomitopsidaceae|Laetiporus|sulphureus|Laetiporus sulphureus (Bull.) Murrill, 1920	256
Hygrophorus nemoreus (Pers.) Fr., 1838	Fungi|Basidiomycota|Agaricomycetes|Agaricales|Hygrophoraceae|Hygrophorus|nemoreus|Hygrophorus nemoreus (Pers.) Fr., 1838	254
Trametes gibbosa (Pers.) Fr., 1838	Fungi|Basidiomycota|Agaricomycetes|Polyporales|Polyporaceae|Trametes|gibbosa|Trametes gibbosa (Pers.) Fr., 1838	254
Russula foetens (Pers. : Fr.) Fr.	Fungi|Basidiomycota|Agaricomycetes|Russulales|Russulaceae|Russula|foetens|Russula foetens (Pers. : Fr.) Fr.	253
Russula foetens (Pers.) Pers., 1796	Fungi|Basidiomycota|Agaricomycetes|Russulales|Russulaceae|Russula|foetens|Russula foetens (Pers.) Pers., 1796	253
Tricholoma saponaceum f. saponaceum	Fungi|Basidiomycota|Agaricomycetes|Agaricales|Tricholomataceae|Tricholoma|saponaceum|Tricholoma saponaceum f. saponaceum	253
Amanita citrina Pers.	Fungi|Basidiomycota|Agaricomycetes|Agaricales|Amanitaceae|Amanita|citrina|Amanita citrina Pers.	253
Tricholoma saponaceum var. saponaceum	Fungi|Basidiomycota|Agaricomycetes|Agaricales|Tricholomataceae|Tricholoma|saponaceum|Tricholoma saponaceum var. saponaceum	253
Amanita citrina var. citrina	Fungi|Basidiomycota|Agaricomycetes|Agaricales|Amanitaceae|Amanita|citrina|Amanita citrina var. citrina	253
Coprinus atramentarius (Bull.) Fr., 1838	Fungi|Basidiomycota|Agaricomycetes|Agaricales|Psathyrellaceae|Coprinopsis|atramentarius|Coprinus atramentarius (Bull.) Fr., 1838	252
Russula delica Fr., 1838	Fungi|Basidiomycota|Agaricomycetes|Russulales|Russulaceae|Russula|delica|Russula delica Fr., 1838	250
