taxonName	taxonPath	recordCount
Emoia werneri Smith, 1937	Animalia|Chordata|Reptilia|Squamata|Scincidae|Emoia|werneri|Emoia werneri Smith, 1937	1130
Mollusca	Animalia|Mollusca||||||Mollusca	776
Pheidole Westwood, 1839	Animalia|Arthropoda|Insecta|Hymenoptera|Formicidae|Pheidole||Pheidole Westwood, 1839	512
Graphidaceae Dumort.	Fungi|Ascomycota|Lecanoromycetes|Ostropales|Graphidaceae|||Graphidaceae Dumort.	319
Emoia cyanura (Lesson, 1826)	Animalia|Chordata|Reptilia|Squamata|Scincidae|Emoia|cyanura|Emoia cyanura (Lesson, 1826)	316
Graphidaceae	Fungi|Ascomycota|Lecanoromycetes|Ostropales|Graphidaceae|||Graphidaceae	315
Emoia cyanura Lesson, 1826	Animalia|Chordata|Reptilia|Squamata|Scincidae|Emoia|cyanura|Emoia cyanura Lesson, 1826	314
Fungi	Fungi|||||||Fungi	304
Lepidodactylus lugubris Duméril & Bibron, 1836	Animalia|Chordata|Reptilia|Squamata|Gekkonidae|Lepidodactylus|lugubris|Lepidodactylus lugubris Duméril & Bibron, 1836	298
Sphenomorphus concinnatus (Boulenger, 1887)	Animalia|Chordata|Reptilia|Squamata|Scincidae|Sphenomorphus|concinnatus|Sphenomorphus concinnatus (Boulenger, 1887)	289
Sphenomorphus concinnatus Boulenger, 1887	Animalia|Chordata|Reptilia|Squamata|Scincidae|Sphenomorphus|concinnatus|Sphenomorphus concinnatus Boulenger, 1887	283
Macroglossus minimus (E. Geoffroy, 1810)	Animalia|Chordata|Mammalia|Chiroptera|Pteropodidae|Macroglossus|minimus|Macroglossus minimus (E. Geoffroy, 1810)	278
Ceratobatrachus guentheri Boulenger, 1884	Animalia|Chordata|Amphibia|Anura|Ceratobatrachidae|Ceratobatrachus|guentheri|Ceratobatrachus guentheri Boulenger, 1884	231
Nylanderia Emery, 1906	Animalia|Arthropoda|Insecta|Hymenoptera|Formicidae|Nylanderia||Nylanderia Emery, 1906	213
Sphenomorphus solomonis (Boulenger, 1887)	Animalia|Chordata|Reptilia|Squamata|Scincidae|Sphenomorphus|solomonis|Sphenomorphus solomonis (Boulenger, 1887)	203
Sphenomorphus solomonis Boulenger, 1887	Animalia|Chordata|Reptilia|Squamata|Scincidae|Sphenomorphus|solomonis|Sphenomorphus solomonis Boulenger, 1887	203
Emoia pseudocyanura Brown, 1991	Animalia|Chordata|Reptilia|Squamata|Scincidae|Emoia|pseudocyanura|Emoia pseudocyanura Brown, 1991	200
Pheidole oceanica Mayr, 1866	Animalia|Arthropoda|Insecta|Hymenoptera|Formicidae|Pheidole|oceanica|Pheidole oceanica Mayr, 1866	186
	|||||||	151
Platymantis guppyi (Boulenger, 1884)	Animalia|Chordata|Amphibia|Anura|Ceratobatrachidae|Platymantis|guppyi|Platymantis guppyi (Boulenger, 1884)	150
Sphenomorphus bignelli Schmidt, 1932	Animalia|Chordata|Reptilia|Squamata|Scincidae|Sphenomorphus|bignelli|Sphenomorphus bignelli Schmidt, 1932	134
Rousettus amplexicaudatus (E. Geoffroy, 1810)	Animalia|Chordata|Mammalia|Chiroptera|Pteropodidae|Rousettus|amplexicaudatus|Rousettus amplexicaudatus (E. Geoffroy, 1810)	128
Emoia schmidti Brown, 1954	Animalia|Chordata|Reptilia|Squamata|Scincidae|Emoia|schmidti|Emoia schmidti Brown, 1954	126
Emoia schmidti Brown, 1953	Animalia|Chordata|Reptilia|Squamata|Scincidae|Emoia|schmidti|Emoia schmidti Brown, 1953	125
Dobsonia inermis K. Andersen, 1909	Animalia|Chordata|Mammalia|Chiroptera|Pteropodidae|Dobsonia|inermis|Dobsonia inermis K. Andersen, 1909	123
Rattus exulans (Peale, 1848)	Animalia|Chordata|Mammalia|Rodentia|Muridae|Rattus|exulans|Rattus exulans (Peale, 1848)	120
Lamprolepis smaragdina (Lesson, 1826)	Animalia|Chordata|Reptilia|Squamata|Scincidae|Lamprolepis|smaragdina|Lamprolepis smaragdina (Lesson, 1826)	118
Lamprolepis smaragdina Lesson, 1826	Animalia|Chordata|Reptilia|Squamata|Scincidae|Lamprolepis|smaragdina|Lamprolepis smaragdina Lesson, 1826	116
Chaerephon jobensis (Miller, 1902)	Animalia|Chordata|Mammalia|Chiroptera|Molossidae|Chaerephon|jobensis|Chaerephon jobensis (Miller, 1902)	111
