taxonName	taxonPath	recordCount
Thunnus albacares (Bonnaterre, 1788)	Animalia|Chordata|Actinopterygii|Perciformes|Scombridae|Thunnus|albacares|Thunnus albacares (Bonnaterre, 1788)	1270
Sorghum bicolor (L.) Moench	Plantae|Magnoliophyta|Liliopsida|Poales|Poaceae|Sorghum|bicolor|Sorghum bicolor (L.) Moench	406
Sorghum bicolor (L.) Moench	Plantae|Tracheophyta|Liliopsida|Poales|Poaceae|Sorghum|bicolor|Sorghum bicolor (L.) Moench	291
Mollusca	Animalia|Mollusca||||||Mollusca	144
Quelea quelea (Linnaeus, 1758)	Animalia|Chordata|Aves|Passeriformes|Ploceidae|Quelea|quelea|Quelea quelea (Linnaeus, 1758)	143
Kassina senegalensis (Duméril & Bibron, 1841)	Animalia|Chordata|Amphibia|Anura|Hyperoliidae|Kassina|senegalensis|Kassina senegalensis (Duméril & Bibron, 1841)	130
Ptychadena anchietae (Bocage, 1868)	Animalia|Chordata|Amphibia|Anura|Ptychadenidae|Ptychadena|anchietae|Ptychadena anchietae (Bocage, 1868)	129
Sorghum bicolor subsp. bicolor	Plantae|Tracheophyta|Liliopsida|Poales|Poaceae|Sorghum|bicolor|Sorghum bicolor subsp. bicolor	115
	|||||||	113
Abrana Parker, 1931	Animalia|Chordata|Amphibia|Anura|Ranidae|Abrana||Abrana Parker, 1931	112
Afrixalus delicatus Pickersgill, 1984	Animalia|Chordata|Amphibia|Anura|Hyperoliidae|Afrixalus|delicatus|Afrixalus delicatus Pickersgill, 1984	90
Bufo steindachneri Pfeffer, 1893	Animalia|Chordata|Amphibia|Anura|Bufonidae|Amietophrynus|steindachneri|Bufo steindachneri Pfeffer, 1893	84
Hyperolius pusillus (Cope, 1862)	Animalia|Chordata|Amphibia|Anura|Hyperoliidae|Hyperolius|pusillus|Hyperolius pusillus (Cope, 1862)	84
Hemidactylus platycephalus Peters, 1854	Animalia|Chordata|Reptilia|Squamata|Gekkonidae|Hemidactylus|platycephalus|Hemidactylus platycephalus Peters, 1854	80
Phrynobatrachus acridoides (Cope, 1867)	Animalia|Chordata|Amphibia|Anura|Phrynobatrachidae|Phrynobatrachus|acridoides|Phrynobatrachus acridoides (Cope, 1867)	76
Bufo Laurenti, 1768	Animalia|Chordata|Amphibia|Anura|Bufonidae|Bufo||Bufo Laurenti, 1768	71
Vigna unguiculata (L.) Walp.	Plantae|Tracheophyta|Magnoliopsida|Fabales|Fabaceae|Vigna|unguiculata|Vigna unguiculata (L.) Walp.	67
Vigna unguiculata (L.) Walp.	Plantae|Magnoliophyta|Magnoliopsida|Fabales|Fabaceae|Vigna|unguiculata|Vigna unguiculata (L.) Walp.	67
Bufo dodsoni Boulenger, 1895	Animalia|Chordata|Amphibia|Anura|Bufonidae|Bufo|dodsoni|Bufo dodsoni Boulenger, 1895	66
Chiromantis petersii Boulenger, 1882	Animalia|Chordata|Amphibia|Anura|Rhacophoridae|Chiromantis|petersii|Chiromantis petersii Boulenger, 1882	56
