taxonName	taxonPath	recordCount
Anas poecilorhyncha J. R. Forster, 1781	Animalia|Chordata|Aves|Anseriformes|Anatidae|Anas|poecilorhyncha|Anas poecilorhyncha J. R. Forster, 1781	3072
Anas platyrhynchos Linnaeus, 1758	Animalia|Chordata|Aves|Anseriformes|Anatidae|Anas|platyrhynchos|Anas platyrhynchos Linnaeus, 1758	2493
Pseudomonas syringae van Hall, 1902	Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonadales|Pseudomonadaceae|Pseudomonas|syringae|Pseudomonas syringae van Hall, 1902	2014
Anas crecca Linnaeus, 1758	Animalia|Chordata|Aves|Anseriformes|Anatidae|Anas|crecca|Anas crecca Linnaeus, 1758	1974
Anser fabalis (Latham, 1787)	Animalia|Chordata|Aves|Anseriformes|Anatidae|Anser|fabalis|Anser fabalis (Latham, 1787)	1504
Passer montanus (Linnaeus, 1758)	Animalia|Chordata|Aves|Passeriformes|Passeridae|Passer|montanus|Passer montanus (Linnaeus, 1758)	1284
Pica pica (Linnaeus, 1758)	Animalia|Chordata|Aves|Passeriformes|Corvidae|Pica|pica|Pica pica (Linnaeus, 1758)	1274
Streptopelia orientalis (Latham, 1790)	Animalia|Chordata|Aves|Columbiformes|Columbidae|Streptopelia|orientalis|Streptopelia orientalis (Latham, 1790)	942
Ardea cinerea Linnaeus, 1758	Animalia|Chordata|Aves|Pelecaniformes|Ardeidae|Ardea|cinerea|Ardea cinerea Linnaeus, 1758	851
Hyla japonica	Animalia|Chordata|Amphibia|Anura|Hylidae|Hyla|Hyla japonica	833
Anser albifrons (Scopoli, 1769)	Animalia|Chordata|Aves|Anseriformes|Anatidae|Anser|albifrons|Anser albifrons (Scopoli, 1769)	755
Anas acuta Linnaeus, 1758	Animalia|Chordata|Aves|Anseriformes|Anatidae|Anas|acuta|Anas acuta Linnaeus, 1758	714
Bombina orientalis	Animalia|Chordata|Amphibia|Anura|Bombinatoridae|Bombina|Bombina orientalis	676
Hypsipetes amaurotis (Temminck, 1830)	Animalia|Chordata|Aves|Passeriformes|Pycnonotidae|Hypsipetes|amaurotis|Hypsipetes amaurotis (Temminck, 1830)	608
Aphyocypris chinensis Günther, 1868	Animalia|Chordata|Actinopterygii|Cypriniformes|Cyprinidae|Aphyocypris|chinensis|Aphyocypris chinensis Günther, 1868	593
Bufo gargarizans	Animalia|Chordata|Amphibia|Anura|Bufonidae|Bufo|Bufo gargarizans	558
Neotrombicula Hirst, 1915	Animalia|Arthropoda|Arachnida|Prostigmata|Trombiculidae|Neotrombicula||Neotrombicula Hirst, 1915	556
Anas clypeata Linnaeus, 1758	Animalia|Chordata|Aves|Anseriformes|Anatidae|Anas|clypeata|Anas clypeata Linnaeus, 1758	525
Parus minor Temminck & Schlegel, 1848	Animalia|Chordata|Aves|Passeriformes|Paridae|Parus|minor|Parus minor Temminck & Schlegel, 1848	491
Aix galericulata (Linnaeus, 1758)	Animalia|Chordata|Aves|Anseriformes|Anatidae|Aix|galericulata|Aix galericulata (Linnaeus, 1758)	482
Phoenicurus auroreus (Pallas, 1776)	Animalia|Chordata|Aves|Passeriformes|Muscicapidae|Phoenicurus|auroreus|Phoenicurus auroreus (Pallas, 1776)	471
Pelophylax nigromaculatus	Animalia|Chordata|Amphibia|Anura|Ranidae|Pelophylax|Pelophylax nigromaculatus	470
