taxonName	taxonPath	recordCount
Sorghum bicolor (L.) Moench	Plantae|Magnoliophyta|Liliopsida|Poales|Poaceae|Sorghum|bicolor|Sorghum bicolor (L.) Moench	71
Sorghum bicolor subsp. bicolor	Plantae|Tracheophyta|Liliopsida|Poales|Poaceae|Sorghum|bicolor|Sorghum bicolor subsp. bicolor	59
Epomophorus labiatus (Temminck, 1837)	Animalia|Chordata|Mammalia|Chiroptera|Pteropodidae|Epomophorus|labiatus|Epomophorus labiatus (Temminck, 1837)	39
Aspatharia Bourguignat, 1885	Animalia|Mollusca|Bivalvia|Unionoida|Iridinidae|Aspatharia||Aspatharia Bourguignat, 1885	38
Agama agama Linnaeus, 1758	Animalia|Chordata|Reptilia|Squamata|Agamidae|Agama|agama|Agama agama Linnaeus, 1758	30
Pycnonotus barbatus (Desfontaines, 1789)	Animalia|Chordata|Aves|Passeriformes|Pycnonotidae|Pycnonotus|barbatus|Pycnonotus barbatus (Desfontaines, 1789)	23
Uraeginthus bengalus (Linnaeus, 1766)	Animalia|Chordata|Aves|Passeriformes|Estrildidae|Uraeginthus|bengalus|Uraeginthus bengalus (Linnaeus, 1766)	19
Mutela alata (Lea, 1864)	Animalia|Mollusca|Bivalvia|Unionoida|Iridinidae|Mutela|alata|Mutela alata (Lea, 1864)	18
Chirobia otophaga Fain, 1959	Animalia|Arthropoda|Arachnida|Astigmata|Sarcoptidae|Chirobia|otophaga|Chirobia otophaga Fain, 1959	18
Mus Linnaeus, 1758	Animalia|Chordata|Mammalia|Rodentia|Muridae|Mus||Mus Linnaeus, 1758	18
Scotophilus Leach, 1821	Animalia|Chordata|Mammalia|Chiroptera|Vespertilionidae|Scotophilus||Scotophilus Leach, 1821	17
Vespertilionidae	Animalia|Chordata|Mammalia|Chiroptera|Vespertilionidae|||Vespertilionidae	17
Leptoptilos crumenifer	Animalia|Chordata|Aves|Ciconiiformes|Ciconiidae|Leptoptilos|crumenifer|Leptoptilos crumenifer	16
Neoromicia Roberts, 1926	Animalia|Chordata|Mammalia|Chiroptera|Vespertilionidae|Neoromicia||Neoromicia Roberts, 1926	16
Nycteris Geoffroy Saint-Hilaire & Cuvier, 1795	Animalia|Chordata|Mammalia|Chiroptera|Nycteridae|Nycteris||Nycteris Geoffroy Saint-Hilaire & Cuvier, 1795	15
Milvus migrans (Boddaert, 1783)	Animalia|Chordata|Aves|Accipitriformes|Accipitridae|Milvus|migrans|Milvus migrans (Boddaert, 1783)	15
Plantae	Plantae|||||||Plantae	14
Threskiornis aethiopicus (Latham, 1790)	Animalia|Chordata|Aves|Pelecaniformes|Threskiornithidae|Threskiornis|aethiopicus|Threskiornis aethiopicus (Latham, 1790)	14
Glauconycteris variegata (Tomes, 1861)	Animalia|Chordata|Mammalia|Chiroptera|Vespertilionidae|Glauconycteris|variegata|Glauconycteris variegata (Tomes, 1861)	13
Scopus umbretta Gmelin, 1789	Animalia|Chordata|Aves|Pelecaniformes|Scopidae|Scopus|umbretta|Scopus umbretta Gmelin, 1789	12
Bubulcus ibis (Linnaeus, 1758)	Animalia|Chordata|Aves|Pelecaniformes|Ardeidae|Bubulcus|ibis|Bubulcus ibis (Linnaeus, 1758)	12
Melaenornis Gray, 1840	Animalia|Chordata|Aves|Passeriformes|Muscicapidae|Melaenornis||Melaenornis Gray, 1840	12
Praomys jacksoni (de Winton, 1897)	Animalia|Chordata|Mammalia|Rodentia|Muridae|Praomys|jacksoni|Praomys jacksoni (de Winton, 1897)	11
Sorghum bicolor (L.) Moench	Plantae|Tracheophyta|Liliopsida|Poales|Poaceae|Sorghum|bicolor|Sorghum bicolor (L.) Moench	11
Epomophorus Bennett, 1836	Animalia|Chordata|Mammalia|Chiroptera|Pteropodidae|Epomophorus||Epomophorus Bennett, 1836	11
Scotoecus Thomas, 1901	Animalia|Chordata|Mammalia|Chiroptera|Vespertilionidae|Scotoecus||Scotoecus Thomas, 1901	10
Passer griseus (Vieillot, 1817)	Animalia|Chordata|Aves|Passeriformes|Passeridae|Passer|griseus|Passer griseus (Vieillot, 1817)	10
Epomops franqueti (Tomes, 1860)	Animalia|Chordata|Mammalia|Chiroptera|Pteropodidae|Epomops|franqueti|Epomops franqueti (Tomes, 1860)	9
Halcyon leucocephala (Statius Muller, 1776)	Animalia|Chordata|Aves|Coraciiformes|Alcedinidae|Halcyon|leucocephala|Halcyon leucocephala (Statius Muller, 1776)	9
Streptopelia capicola (Sundevall, 1857)	Animalia|Chordata|Aves|Columbiformes|Columbidae|Streptopelia|capicola|Streptopelia capicola (Sundevall, 1857)	9
Turdus pelios Bonaparte, 1850	Animalia|Chordata|Aves|Passeriformes|Turdidae|Turdus|pelios|Turdus pelios Bonaparte, 1850	9
Molossidae	Animalia|Chordata|Mammalia|Chiroptera|Molossidae|||Molossidae	9
Cichladusa guttata (Heuglin, 1862)	Animalia|Chordata|Aves|Passeriformes|Muscicapidae|Cichladusa|guttata|Cichladusa guttata (Heuglin, 1862)	9
Euplectes franciscanus (Isert, 1789)	Animalia|Chordata|Aves|Passeriformes|Ploceidae|Euplectes|franciscanus|Euplectes franciscanus (Isert, 1789)	8
Lybius guifsobalito Hermann, 1783	Animalia|Chordata|Aves|Piciformes|Ramphastidae|Lybius|guifsobalito|Lybius guifsobalito Hermann, 1783	8
Oena capensis (Linnaeus, 1766)	Animalia|Chordata|Aves|Columbiformes|Columbidae|Oena|capensis|Oena capensis (Linnaeus, 1766)	8
