taxonName	taxonPath	recordCount
Dasyprocta leporina	Animalia|Chordata|Mammalia|Dasyprocta leporina	4122
Copelatus Erichson, 1832	Animalia|Arthropoda|Insecta|Coleoptera|Dytiscidae|Copelatus||Copelatus Erichson, 1832	2406
Staphylinidae	Animalia|Arthropoda|Insecta|Coleoptera|Staphylinidae|||Staphylinidae	1959
Staphylinidae Latreille, 1802	Animalia|Arthropoda|Insecta|Coleoptera|Staphylinidae|||Staphylinidae Latreille, 1802	1607
Desmopachria Babington, 1841	Animalia|Arthropoda|Insecta|Coleoptera|Dytiscidae|Desmopachria||Desmopachria Babington, 1841	1430
Paederina Bordoni, 1975	Animalia|Arthropoda|Insecta|Coleoptera|Staphylinidae|Paederina||Paederina Bordoni, 1975	1310
Didelphis marsupialis	Animalia|Chordata|Mammalia|Didelphis marsupialis	1176
Laccophilus Leach, 1815	Animalia|Arthropoda|Insecta|Coleoptera|Dytiscidae|Laccophilus||Laccophilus Leach, 1815	1032
Hoplandria Kraatz, 1857	Animalia|Arthropoda|Insecta|Coleoptera|Staphylinidae|Hoplandria||Hoplandria Kraatz, 1857	744
Anacaena Thomson, 1859	Animalia|Arthropoda|Insecta|Coleoptera|Hydrophilidae|Anacaena||Anacaena Thomson, 1859	714
Coproporus Kraatz, 1857	Animalia|Arthropoda|Insecta|Coleoptera|Staphylinidae|Coproporus||Coproporus Kraatz, 1857	712
Enochrus Thomson, 1859	Animalia|Arthropoda|Insecta|Coleoptera|Hydrophilidae|Enochrus||Enochrus Thomson, 1859	704
Hydrophilidae Latreille, 1802	Animalia|Arthropoda|Insecta|Coleoptera|Hydrophilidae|||Hydrophilidae Latreille, 1802	700
Chasmogenus Sharp, 1882	Animalia|Arthropoda|Insecta|Coleoptera|Hydrophilidae|Chasmogenus||Chasmogenus Sharp, 1882	698
Hydrophilidae	Animalia|Arthropoda|Insecta|Coleoptera|Hydrophilidae|||Hydrophilidae	668
Carollia perspicillata (Linnaeus, 1758)	Animalia|Chordata|Mammalia|Chiroptera|Phyllostomidae|Carollia|perspicillata|Carollia perspicillata (Linnaeus, 1758)	651
Gyretes Brulle, 1834	Animalia|Arthropoda|Insecta|Coleoptera|Gyrinidae|Gyretes||Gyretes Brulle, 1834	632
	|||||||	595
Gyrophaena Mannerheim, 1830	Animalia|Arthropoda|Insecta|Coleoptera|Staphylinidae|Gyrophaena||Gyrophaena Mannerheim, 1830	592
Gyrophaena Mannerheim, 1831	Animalia|Arthropoda|Insecta|Coleoptera|Staphylinidae|Gyrophaena||Gyrophaena Mannerheim, 1831	592
Zyras Stephens, 1835	Animalia|Arthropoda|Insecta|Coleoptera|Staphylinidae|Zyras||Zyras Stephens, 1835	532
Philander opossum	Animalia|Chordata|Mammalia|Philander opossum	516
Artibeus planirostris (Spix, 1823)	Animalia|Chordata|Mammalia|Chiroptera|Phyllostomidae|Artibeus|planirostris|Artibeus planirostris (Spix, 1823)	503
Philonthus Stephens, 1829	Animalia|Arthropoda|Insecta|Coleoptera|Staphylinidae|Philonthus||Philonthus Stephens, 1829	466
Bidessodes charaxinus Young, 1986	Animalia|Arthropoda|Insecta|Coleoptera|Dytiscidae|Bidessodes|charaxinus|Bidessodes charaxinus Young, 1986	430
Notomicrus traili Sharp, 1882	Animalia|Arthropoda|Insecta|Coleoptera|Noteridae|Notomicrus|traili|Notomicrus traili Sharp, 1882	426
Phaenostoma Orchymont, 1937	Animalia|Arthropoda|Insecta|Coleoptera|Hydrophilidae|Phaenostoma||Phaenostoma Orchymont, 1937	424
Derallus Sharp, 1882	Animalia|Arthropoda|Insecta|Coleoptera|Hydrophilidae|Derallus||Derallus Sharp, 1882	424
Pitangus sulphuratus (Linnaeus, 1766)	Animalia|Chordata|Aves|Passeriformes|Tyrannidae|Pitangus|sulphuratus|Pitangus sulphuratus (Linnaeus, 1766)	413
Anotylus Thomson, 1859	Animalia|Arthropoda|Insecta|Coleoptera|Staphylinidae|Anotylus||Anotylus Thomson, 1859	412
Pteronotus parnellii (Gray, 1843)	Animalia|Chordata|Mammalia|Chiroptera|Mormoopidae|Pteronotus|parnellii|Pteronotus parnellii (Gray, 1843)	409
Cuniculus paca	Animalia|Chordata|Mammalia|Cuniculus paca	405
Aleochara Gravenhorst, 1802	Animalia|Arthropoda|Insecta|Coleoptera|Staphylinidae|Aleochara||Aleochara Gravenhorst, 1802	376
Ophioglossa Fauvel, 1866	Animalia|Arthropoda|Insecta|Coleoptera|Staphylinidae|Ophioglossa||Ophioglossa Fauvel, 1866	372
Xantholinus Serville, 1825	Animalia|Arthropoda|Insecta|Coleoptera|Staphylinidae|Xantholinus||Xantholinus Serville, 1825	364
Thraupis palmarum (Wied-Neuwied, 1821)	Animalia|Chordata|Aves|Passeriformes|Thraupidae|Thraupis|palmarum|Thraupis palmarum (Wied-Neuwied, 1821)	344
Oocyclus Sharp, 1882	Animalia|Arthropoda|Insecta|Coleoptera|Hydrophilidae|Oocyclus||Oocyclus Sharp, 1882	342
Thraupis episcopus (Linnaeus, 1766)	Animalia|Chordata|Aves|Passeriformes|Thraupidae|Thraupis|episcopus|Thraupis episcopus (Linnaeus, 1766)	335
Ramphocelus carbo (Pallas, 1764)	Animalia|Chordata|Aves|Passeriformes|Thraupidae|Ramphocelus|carbo|Ramphocelus carbo (Pallas, 1764)	331
Chordata	Animalia|Chordata||||||Chordata	320
Scaphidiidae Latreille, 1806	Animalia|Arthropoda|Insecta|Coleoptera|Staphylinidae|||Scaphidiidae Latreille, 1806	314
Tetradonia Wasmann, 1894	Animalia|Arthropoda|Insecta|Coleoptera|Staphylinidae|Tetradonia||Tetradonia Wasmann, 1894	308
Coragyps atratus (Bechstein, 1793)	Animalia|Chordata|Aves|Accipitriformes|Cathartidae|Coragyps|atratus|Coragyps atratus (Bechstein, 1793)	296
Amazona amazonica (Linnaeus, 1766)	Animalia|Chordata|Aves|Psittaciformes|Psittacidae|Amazona|amazonica|Amazona amazonica (Linnaeus, 1766)	294
Mimus gilvus (Vieillot, 1808)	Animalia|Chordata|Aves|Passeriformes|Mimidae|Mimus|gilvus|Mimus gilvus (Vieillot, 1808)	293
Myiozetetes cayanensis (Linnaeus, 1766)	Animalia|Chordata|Aves|Passeriformes|Tyrannidae|Myiozetetes|cayanensis|Myiozetetes cayanensis (Linnaeus, 1766)	285
Tyrannus melancholicus Vieillot, 1819	Animalia|Chordata|Aves|Passeriformes|Tyrannidae|Tyrannus|melancholicus|Tyrannus melancholicus Vieillot, 1819	274
Paederomimus Sharp, 1885	Animalia|Arthropoda|Insecta|Coleoptera|Staphylinidae|Paederomimus||Paederomimus Sharp, 1885	272
Helochares Mulsant, 1844	Animalia|Arthropoda|Insecta|Coleoptera|Hydrophilidae|Helochares||Helochares Mulsant, 1844	266
Culex Linnaeus, 1758	Animalia|Arthropoda|Insecta|Diptera|Culicidae|Culex||Culex Linnaeus, 1758	262
Artibeus lituratus (Olfers, 1818)	Animalia|Chordata|Mammalia|Chiroptera|Phyllostomidae|Artibeus|lituratus|Artibeus lituratus (Olfers, 1818)	260
