taxonName	taxonPath	recordCount
Bombus terrestris (Linnaeus, 1758)	Animalia|Arthropoda|Insecta|Hymenoptera|Apidae|Bombus|terrestris|Bombus terrestris (Linnaeus, 1758)	58860
Maniola jurtina Linnaeus, 1758	Animalia|Arthropoda|Insecta|Lepidoptera|Nymphalidae|Maniola|jurtina|Maniola jurtina Linnaeus, 1758	38768
Pieris napi (Linnaeus, 1758)	Animalia|Arthropoda|Insecta|Lepidoptera|Pieridae|Pieris|napi|Pieris napi (Linnaeus, 1758)	30080
Aglais urticae Linnaeus, 1758	Animalia|Arthropoda|Insecta|Lepidoptera|Nymphalidae|Aglais|urticae|Aglais urticae Linnaeus, 1758	29356
Coenagrion puella Linnaeus, 1758	Animalia|Arthropoda|Insecta|Odonata|Coenagrionidae|Coenagrion|puella|Coenagrion puella Linnaeus, 1758	28793
Pieris rapae (Linnaeus, 1758)	Animalia|Arthropoda|Insecta|Lepidoptera|Pieridae|Pieris|rapae|Pieris rapae (Linnaeus, 1758)	27785
Melanargia galathea Linnaeus, 1758	Animalia|Arthropoda|Insecta|Lepidoptera|Nymphalidae|Melanargia|galathea|Melanargia galathea Linnaeus, 1758	27306
Coenonympha pamphilus Linnaeus, 1758	Animalia|Arthropoda|Insecta|Lepidoptera|Nymphalidae|Coenonympha|pamphilus|Coenonympha pamphilus Linnaeus, 1758	27075
Chorthippus parallelus (Zetterstedt, 1821)	Animalia|Arthropoda|Insecta|Orthoptera|Acrididae|Pseudochorthippus|parallelus|Chorthippus parallelus (Zetterstedt, 1821)	26579
Chorthippus parallelus (Zetterstedt, 1821)	Animalia|Arthropoda|Insecta|Orthoptera|Acrididae|Chorthippus|parallelus|Chorthippus parallelus (Zetterstedt, 1821)	26573
Ischnura elegans Vander Linden, 1820	Animalia|Arthropoda|Insecta|Odonata|Coenagrionidae|Ischnura|elegans|Ischnura elegans Vander Linden, 1820	25540
Aphantopus hyperantus Linnaeus, 1761	Animalia|Arthropoda|Insecta|Lepidoptera|Nymphalidae|Aphantopus|hyperantus|Aphantopus hyperantus Linnaeus, 1761	22229
Anax imperator Leach, 1815	Animalia|Arthropoda|Insecta|Odonata|Aeshnidae|Anax|imperator|Anax imperator Leach, 1815	22011
Pholidoptera griseoaptera (De Geer, 1773)	Animalia|Arthropoda|Insecta|Orthoptera|Tettigoniidae|Pholidoptera|griseoaptera|Pholidoptera griseoaptera (De Geer, 1773)	19970
Libellula quadrimaculata Linnaeus, 1758	Animalia|Arthropoda|Insecta|Odonata|Libellulidae|Libellula|quadrimaculata|Libellula quadrimaculata Linnaeus, 1758	18600
Ochlodes venata Bremer & Grey, 1853	Animalia|Arthropoda|Insecta|Lepidoptera|Hesperiidae|Ochlodes|venata|Ochlodes venata Bremer & Grey, 1853	18074
Pararge aegeria Linnaeus, 1758	Animalia|Arthropoda|Insecta|Lepidoptera|Nymphalidae|Pararge|aegeria|Pararge aegeria Linnaeus, 1758	17003
Enallagma cyathigerum Charpentier, 1840	Animalia|Arthropoda|Insecta|Odonata|Coenagrionidae|Enallagma|cyathigerum|Enallagma cyathigerum Charpentier, 1840	16527
Chorthippus biguttulus (Linnaeus, 1758)	Animalia|Arthropoda|Insecta|Orthoptera|Acrididae|Chorthippus|biguttulus|Chorthippus biguttulus (Linnaeus, 1758)	16311
Chorthippus biguttulus (Linnaeus, C.N., 1758)	Animalia|Arthropoda|Insecta|Orthoptera|Acrididae|Chorthippus|biguttulus|Chorthippus biguttulus (Linnaeus, C.N., 1758)	16311
Aeshna cyanea Müller, 1764	Animalia|Arthropoda|Insecta|Odonata|Aeshnidae|Aeshna|cyanea|Aeshna cyanea Müller, 1764	16252
Anthocharis cardamines (Linnaeus, 1758)	Animalia|Arthropoda|Insecta|Lepidoptera|Pieridae|Anthocharis|cardamines|Anthocharis cardamines (Linnaeus, 1758)	16190
Leptidea sinapis (Linnaeus, 1758)	Animalia|Arthropoda|Insecta|Lepidoptera|Pieridae|Leptidea|sinapis|Leptidea sinapis (Linnaeus, 1758)	15270
Polyommatus icarus (Rottemburg, 1775)	Animalia|Arthropoda|Insecta|Lepidoptera|Lycaenidae|Polyommatus|icarus|Polyommatus icarus (Rottemburg, 1775)	15269
Polyommatus icarus Rottemburg, 1775	Animalia|Arthropoda|Insecta|Lepidoptera|Lycaenidae|Polyommatus|icarus|Polyommatus icarus Rottemburg, 1775	15269
Argynnis paphia Linnaeus, 1758	Animalia|Arthropoda|Insecta|Lepidoptera|Nymphalidae|Argynnis|paphia|Argynnis paphia Linnaeus, 1758	15002
Orthetrum cancellatum Linnaeus, 1758	Animalia|Arthropoda|Insecta|Odonata|Libellulidae|Orthetrum|cancellatum|Orthetrum cancellatum Linnaeus, 1758	14566
Vanessa atalanta Linnaeus, 1758	Animalia|Arthropoda|Insecta|Lepidoptera|Nymphalidae|Vanessa|atalanta|Vanessa atalanta Linnaeus, 1758	14331
Polyommatus semiargus (Rottemburg, 1775)	Animalia|Arthropoda|Insecta|Lepidoptera|Lycaenidae|Polyommatus|semiargus|Polyommatus semiargus (Rottemburg, 1775)	14063
Polyommatus coridon (Poda, 1761)	Animalia|Arthropoda|Insecta|Lepidoptera|Lycaenidae|Polyommatus|coridon|Polyommatus coridon (Poda, 1761)	13892
Papilio machaon Linnaeus, 1758	Animalia|Arthropoda|Insecta|Lepidoptera|Papilionidae|Papilio|machaon|Papilio machaon Linnaeus, 1758	13761
Gonepteryx rhamni (Linnaeus, 1758)	Animalia|Arthropoda|Insecta|Lepidoptera|Pieridae|Gonepteryx|rhamni|Gonepteryx rhamni (Linnaeus, 1758)	13313
Stenobothrus lineatus (Panzer, 1796)	Animalia|Arthropoda|Insecta|Orthoptera|Acrididae|Stenobothrus|lineatus|Stenobothrus lineatus (Panzer, 1796)	13218
Chorthippus brunneus (Thunberg, 1815)	Animalia|Arthropoda|Insecta|Orthoptera|Acrididae|Chorthippus|brunneus|Chorthippus brunneus (Thunberg, 1815)	12788
Pyrrhosoma nymphula Sulzer, 1776	Animalia|Arthropoda|Insecta|Odonata|Coenagrionidae|Pyrrhosoma|nymphula|Pyrrhosoma nymphula Sulzer, 1776	12418
Pieris brassicae (Linnaeus, 1758)	Animalia|Arthropoda|Insecta|Lepidoptera|Pieridae|Pieris|brassicae|Pieris brassicae (Linnaeus, 1758)	11984
