taxonName	taxonPath	recordCount
Medicago L.	Plantae|Tracheophyta|Magnoliopsida|Fabales|Fabaceae|Medicago||Medicago L.	799
Hordeum vulgare L.	Plantae|Magnoliophyta|Liliopsida|Poales|Poaceae|Hordeum|vulgare|Hordeum vulgare L.	786
Hordeum vulgare L.	Plantae|Tracheophyta|Liliopsida|Poales|Poaceae|Hordeum|vulgare|Hordeum vulgare L.	684
Medicago rigidula (L.) All.	Plantae|Magnoliophyta|Magnoliopsida|Fabales|Fabaceae|Medicago|rigidula|Medicago rigidula (L.) All.	568
Cicer arietinum L.	Plantae|Magnoliophyta|Magnoliopsida|Fabales|Fabaceae|Cicer|arietinum|Cicer arietinum L.	547
Cicer arietinum L.	Plantae|Tracheophyta|Magnoliopsida|Fabales|Fabaceae|Cicer|arietinum|Cicer arietinum L.	547
Medicago polymorpha L.	Plantae|Magnoliophyta|Magnoliopsida|Fabales|Fabaceae|Medicago|polymorpha|Medicago polymorpha L.	543
	|||||||	478
Lens culinaris Medik.	Plantae|Tracheophyta|Magnoliopsida|Fabales|Fabaceae|Lens|culinaris|Lens culinaris Medik.	447
Lens culinaris Medik.	Plantae|Magnoliophyta|Magnoliopsida|Fabales|Fabaceae|Lens|culinaris|Lens culinaris Medik.	447
Vicia faba L.	Plantae|Tracheophyta|Magnoliopsida|Fabales|Fabaceae|Vicia|faba|Vicia faba L.	418
Vicia faba L.	Plantae|Magnoliophyta|Magnoliopsida|Fabales|Fabaceae|Vicia|faba|Vicia faba L.	418
Triticum turgidum L.	Plantae|Magnoliophyta|Liliopsida|Poales|Poaceae|Triticum|turgidum|Triticum turgidum L.	406
Triticum urartu Thumanjan ex Gandilyan	Plantae|Magnoliophyta|Liliopsida|Poales|Poaceae|Triticum|urartu|Triticum urartu Thumanjan ex Gandilyan	403
Triticum turgidum subsp. durum (Desf.) Husn.	Plantae|Tracheophyta|Liliopsida|Poales|Poaceae|Triticum|turgidum|Triticum turgidum subsp. durum (Desf.) Husn.	395
Medicago rigidula (L.) All.	Plantae|Tracheophyta|Magnoliopsida|Fabales|Fabaceae|Medicago|rigidula|Medicago rigidula (L.) All.	384
Vicia sativa L.	Plantae|Magnoliophyta|Magnoliopsida|Fabales|Fabaceae|Vicia|sativa|Vicia sativa L.	268
Medicago orbicularis (L.) Bartal.	Plantae|Magnoliophyta|Magnoliopsida|Fabales|Fabaceae|Medicago|orbicularis|Medicago orbicularis (L.) Bartal.	265
Vicia sativa L.	Plantae|Tracheophyta|Magnoliopsida|Fabales|Fabaceae|Vicia|sativa|Vicia sativa L.	265
Medicago polymorpha L.	Plantae|Tracheophyta|Magnoliopsida|Fabales|Fabaceae|Medicago|polymorpha|Medicago polymorpha L.	264
Triticum L.	Plantae|Tracheophyta|Liliopsida|Poales|Poaceae|Triticum||Triticum L.	218
Trifolium campestre Schreb.	Plantae|Magnoliophyta|Magnoliopsida|Fabales|Fabaceae|Trifolium|campestre|Trifolium campestre Schreb.	211
Trifolium campestre Schreb.	Plantae|Tracheophyta|Magnoliopsida|Fabales|Fabaceae|Trifolium|campestre|Trifolium campestre Schreb.	211
Lathyrus aphaca L.	Plantae|Magnoliophyta|Magnoliopsida|Fabales|Fabaceae|Lathyrus|aphaca|Lathyrus aphaca L.	210
Triticum urartu Thumanjan ex Gandilyan	Plantae|Tracheophyta|Liliopsida|Poales|Poaceae|Triticum|urartu|Triticum urartu Thumanjan ex Gandilyan	205
Trifolium argutum Sol.	Plantae|Magnoliophyta|Magnoliopsida|Fabales|Fabaceae|Trifolium|argutum|Trifolium argutum Sol.	196
Trifolium argutum Sol.	Plantae|Tracheophyta|Magnoliopsida|Fabales|Fabaceae|Trifolium|argutum|Trifolium argutum Sol.	195
Medicago orbicularis (L.) Bartal.	Plantae|Tracheophyta|Magnoliopsida|Fabales|Fabaceae|Medicago|orbicularis|Medicago orbicularis (L.) Bartal.	188
Triticum turgidum subsp. dicoccoides (Korn. ex Asch. & Graebn.) Thell.	Plantae|Tracheophyta|Liliopsida|Poales|Poaceae|Triticum|turgidum|Triticum turgidum subsp. dicoccoides (Korn. ex Asch. & Graebn.) Thell.	187
Trifolium purpureum Loisel.	Plantae|Tracheophyta|Magnoliopsida|Fabales|Fabaceae|Trifolium|purpureum|Trifolium purpureum Loisel.	187
Triticum turgidum subsp. dicoccoides (Asch. & Graebn.) Thell.	Plantae|Magnoliophyta|Liliopsida|Poales|Poaceae|Triticum|turgidum|Triticum turgidum subsp. dicoccoides (Asch. & Graebn.) Thell.	187
Trifolium purpureum Loisel.	Plantae|Magnoliophyta|Magnoliopsida|Fabales|Fabaceae|Trifolium|purpureum|Trifolium purpureum Loisel.	186
Vicia narbonensis L.	Plantae|Magnoliophyta|Magnoliopsida|Fabales|Fabaceae|Vicia|narbonensis|Vicia narbonensis L.	185
Trifolium pilulare Boiss.	Plantae|Tracheophyta|Magnoliopsida|Fabales|Fabaceae|Trifolium|pilulare|Trifolium pilulare Boiss.	179
Trifolium pilulare Boiss.	Plantae|Magnoliophyta|Magnoliopsida|Fabales|Fabaceae|Trifolium|pilulare|Trifolium pilulare Boiss.	177
Trigonella monspeliaca L.	Plantae|Tracheophyta|Magnoliopsida|Fabales|Fabaceae|Medicago|monspeliaca|Trigonella monspeliaca L.	175
Trigonella monspeliaca L.	Plantae|Magnoliophyta|Magnoliopsida|Fabales|Fabaceae|Medicago|monspeliaca|Trigonella monspeliaca L.	175
Lens orientalis (Boiss.) Schmalh.	Plantae|Magnoliophyta|Magnoliopsida|Fabales|Fabaceae|Lens|orientalis|Lens orientalis (Boiss.) Schmalh.	174
Lens Mill.	Plantae|Tracheophyta|Magnoliopsida|Fabales|Fabaceae|Lens||Lens Mill.	173
Vicia hybrida L.	Plantae|Tracheophyta|Magnoliopsida|Fabales|Fabaceae|Vicia|hybrida|Vicia hybrida L.	171
