taxonName	taxonPath	recordCount
	|||||||	225
Triticum aestivum L.	Plantae|Magnoliophyta|Liliopsida|Poales|Poaceae|Triticum|aestivum|Triticum aestivum L.	160
Nilssonia Gray, 1872	Animalia|Chordata|Reptilia|Testudines|Trionychidae|Nilssonia||Nilssonia Gray, 1872	158
Triticum aestivum L.	Plantae|Tracheophyta|Liliopsida|Poales|Poaceae|Triticum|aestivum|Triticum aestivum L.	157
Animalia	Animalia|||||||Animalia	157
Cladophlebis A.T. Brongniart in Orbigny, 1849	Plantae|Pteridophyta|Polypodiopsida|Osmundales|Osmundaceae|Cladophlebis||Cladophlebis A.T. Brongniart in Orbigny, 1849	101
Cladophlebis A.T. Brongniart in A.C.V.D. d'Orbigny, 1849	Plantae|Tracheophyta|Polypodiopsida|Osmundales|Osmundaceae|Cladophlebis||Cladophlebis A.T. Brongniart in A.C.V.D. d'Orbigny, 1849	101
Apodemus sylvaticus (Linnaeus, 1758)	Animalia|Chordata|Mammalia|Rodentia|Muridae|Apodemus|sylvaticus|Apodemus sylvaticus (Linnaeus, 1758)	96
Bombus melanurus Lepeletier, 1835	Animalia|Arthropoda|Insecta|Hymenoptera|Apidae|Bombus|melanurus|Bombus melanurus Lepeletier, 1835	85
Eupithecia Curtis, 1825	Animalia|Arthropoda|Insecta|Lepidoptera|Geometridae|Eupithecia||Eupithecia Curtis, 1825	83
Hordeum vulgare L.	Plantae|Magnoliophyta|Liliopsida|Poales|Poaceae|Hordeum|vulgare|Hordeum vulgare L.	81
Poa attenuata Trin.	Plantae|Tracheophyta|Liliopsida|Poales|Poaceae|Poa|attenuata|Poa attenuata Trin.	80
Poa attenuata Trin.	Plantae|Magnoliophyta|Liliopsida|Poales|Poaceae|Poa|attenuata|Poa attenuata Trin.	80
Hordeum vulgare var. pallidum Ser.	Plantae|Tracheophyta|Liliopsida|Poales|Poaceae|Hordeum|vulgare|Hordeum vulgare var. pallidum Ser.	78
Hordeum vulgare var. pallidum	Plantae|Magnoliophyta|Liliopsida|Poales|Poaceae|Hordeum|vulgare|Hordeum vulgare var. pallidum	78
Pelophylax ridibundus (Pallas, 1771)	Animalia|Chordata|Amphibia|Anura|Ranidae|Pelophylax|ridibundus|Pelophylax ridibundus (Pallas, 1771)	69
Liliaceae	Plantae|Tracheophyta|Liliopsida|Liliales|Liliaceae|||Liliaceae	64
Favosites Lamarck, 1816	Animalia|Cnidaria|Anthozoa||Favositidae|Favosites||Favosites Lamarck, 1816	59
Gnopharmia cocandaria Erschoff, 1874	Animalia|Arthropoda|Insecta|Lepidoptera|Geometridae|Gnopharmia|cocandaria|Gnopharmia cocandaria Erschoff, 1874	58
