taxonName	taxonPath	recordCount
Arctocephalus gazella (Peters, 1875)	Animalia|Chordata|Mammalia|Carnivora|Otariidae|Arctocephalus|gazella|Arctocephalus gazella (Peters, 1875)	15597
Aptenodytes patagonicus J. F. Miller, 1778	Animalia|Chordata|Aves|Sphenisciformes|Spheniscidae|Aptenodytes|patagonicus|Aptenodytes patagonicus J. F. Miller, 1778	9557
Thalassarche melanophris (Temminck, 1828)	Animalia|Chordata|Aves|Procellariiformes|Diomedeidae|Thalassarche|melanophris|Thalassarche melanophris (Temminck, 1828)	1254
Thalassarche melanophrys (Temminck, 1828)	Animalia|Chordata|Aves|Procellariiformes|Diomedeidae|Thalassarche|melanophrys|Thalassarche melanophrys (Temminck, 1828)	1253
Eudyptes chrysolophus (Brandt, 1837)	Animalia|Chordata|Aves|Sphenisciformes|Spheniscidae|Eudyptes|chrysolophus|Eudyptes chrysolophus (Brandt, 1837)	890
Mirounga leonina (Linnaeus, 1758)	Animalia|Chordata|Mammalia|Carnivora|Phocidae|Mirounga|leonina|Mirounga leonina (Linnaeus, 1758)	832
Phoebetria palpebrata (J. R. Forster, 1785)	Animalia|Chordata|Aves|Procellariiformes|Diomedeidae|Phoebetria|palpebrata|Phoebetria palpebrata (J. R. Forster, 1785)	377
Macronectes giganteus (Gmelin, 1789)	Animalia|Chordata|Aves|Procellariiformes|Procellariidae|Macronectes|giganteus|Macronectes giganteus (Gmelin, 1789)	313
Anatalanta aptera Eaton, 1875	Animalia|Arthropoda|Insecta|Diptera|Sphaeroceridae|Anatalanta|aptera|Anatalanta aptera Eaton, 1875	288
Catharacta skua Brunnich, 1764	Animalia|Chordata|Aves|Charadriiformes|Stercorariidae|Stercorarius|skua|Catharacta skua Brunnich, 1764	182
Hydrurga leptonyx (de Blainville, 1820)	Animalia|Chordata|Mammalia|Carnivora|Phocidae|Hydrurga|leptonyx|Hydrurga leptonyx (de Blainville, 1820)	139
Ectemnorhinus viridis G.R. Waterhouse	Animalia|Arthropoda|Insecta|Coleoptera|Curculionidae|Ectemnorhinus|viridis|Ectemnorhinus viridis G.R. Waterhouse	135
Ectemnorhinus Waterhouse, 1853	Animalia|Arthropoda|Insecta|Coleoptera|Curculionidae|Ectemnorhinus||Ectemnorhinus Waterhouse, 1853	135
Myro kerguelenensis crozetensis Enderlein, 1903	Animalia|Arthropoda|Arachnida|Araneae|Desidae|Myro|kerguelenensis|Myro kerguelenensis crozetensis Enderlein, 1903	126
Myro kerguelenensis O. Pickard-Cambridge, 1876	Animalia|Arthropoda|Arachnida|Araneae|Desidae|Myro|kerguelenensis|Myro kerguelenensis O. Pickard-Cambridge, 1876	126
