taxonName	taxonPath	recordCount
Larus dominicanus Lichtenstein, 1823	Animalia|Chordata|Aves|Charadriiformes|Laridae|Larus|dominicanus|Larus dominicanus Lichtenstein, 1823	147
Macronectes halli Mathews, 1912	Animalia|Chordata|Aves|Procellariiformes|Procellariidae|Macronectes|halli|Macronectes halli Mathews, 1912	141
Phalacrocorax verrucosus (Cabanis, 1875)	Animalia|Chordata|Aves|Suliformes|Phalacrocoracidae|Leucocarbo|verrucosus|Phalacrocorax verrucosus (Cabanis, 1875)	138
	|||||||	125
Anas eatoni (Sharpe, 1875)	Animalia|Chordata|Aves|Anseriformes|Anatidae|Anas|eatoni|Anas eatoni (Sharpe, 1875)	110
Sterna virgata Cabanis, 1875	Animalia|Chordata|Aves|Charadriiformes|Laridae|Sterna|virgata|Sterna virgata Cabanis, 1875	100
Stercorarius antarcticus (Lesson, 1831)	Animalia|Chordata|Aves|Charadriiformes|Stercorariidae|Stercorarius|antarcticus|Stercorarius antarcticus (Lesson, 1831)	95
Pygoscelis papua (J. R. Forster, 1781)	Animalia|Chordata|Aves|Sphenisciformes|Spheniscidae|Pygoscelis|papua|Pygoscelis papua (J. R. Forster, 1781)	70
Poaceae	Plantae|Tracheophyta|Liliopsida|Poales|Poaceae|||Poaceae	43
Psammothidium Bukhtiyarova & Round	Plantae|Bacillariophyta|Bacillariophyceae|Acnanthales|Achnanthidiaceae|Psammothidium||Psammothidium Bukhtiyarova & Round	41
Psammothidium L.Buhtkiyarova & Round, 1996	Chromista|Ochrophyta|Bacillariophyceae|Achnanthales|Achnanthidiaceae|Psammothidium||Psammothidium L.Buhtkiyarova & Round, 1996	41
Stauroforma R.Flower, V.Jones & Round	Chromista|Ochrophyta|Coscinodiscophyceae|Fragilariales|Fragilariaceae|Stauroforma||Stauroforma R.Flower, V.Jones & Round	41
Stauroforma R.Flower, V.Jones & Round	Chromista|Ochrophyta|Bacillariophyceae|Fragilariales|Fragilariaceae|Stauroforma||Stauroforma R.Flower, V.Jones & Round	41
Phoebetria palpebrata (J. R. Forster, 1785)	Animalia|Chordata|Aves|Procellariiformes|Diomedeidae|Phoebetria|palpebrata|Phoebetria palpebrata (J. R. Forster, 1785)	40
Pinnularia C.G. Ehrenberg, 1843	Plantae|Bacillariophyta|Bacillariophyceae|Naviculales|Pinnulariaceae|Pinnularia||Pinnularia C.G. Ehrenberg, 1843	39
Pinnularia Ehrenberg, 1843	Chromista|Ochrophyta|Bacillariophyceae|Naviculales|Pinnulariaceae|Pinnularia||Pinnularia Ehrenberg, 1843	39
Fragilaria Lyngbye, 1819	Chromista|Ochrophyta|Bacillariophyceae|Fragilariales|Fragilariaceae|Fragilaria||Fragilaria Lyngbye, 1819	39
Fragilaria Lyngbye, 1819	Chromista|Ochrophyta|Coscinodiscophyceae|Fragilariales|Fragilariaceae|Fragilaria||Fragilaria Lyngbye, 1819	39
Achnanthidium Kütz.	Plantae|Bacillariophyta|Bacillariophyceae|Acnanthales|Achnanthidiaceae|Achnanthidium||Achnanthidium Kütz.	36
Achnanthidium	Chromista|Ochrophyta|Bacillariophyceae|Achnanthales|Achnanthidiaceae|Achnanthidium||Achnanthidium	36
Cavinula D.G.Mann & A.J.Stickle, 1990	Chromista|Ochrophyta|Bacillariophyceae|Naviculales|Cavinulaceae|Cavinula||Cavinula D.G.Mann & A.J.Stickle, 1990	32
Pterodroma macroptera (A. Smith, 1840)	Animalia|Chordata|Aves|Procellariiformes|Procellariidae|Pterodroma|macroptera|Pterodroma macroptera (A. Smith, 1840)	32
Navicula Bory de St.-Vincent, 1822	Plantae|Bacillariophyta|Bacillariophyceae|Naviculales|Naviculaceae|Navicula||Navicula Bory de St.-Vincent, 1822	32
Aulacoseira Thwaites, 1848	Chromista|Ochrophyta|Bacillariophyceae|Aulacoseirales|Aulacoseiraceae|Aulacoseira||Aulacoseira Thwaites, 1848	32
Cavinula Mann & Stickle in Round, Crawford & Mann	Plantae|Bacillariophyta|Bacillariophyceae|Naviculales|Cavinulaceae|Cavinula||Cavinula Mann & Stickle in Round, Crawford & Mann	32
Aulacoseira Thwaites	Chromista|Ochrophyta|Coscinodiscophyceae|Aulacoseirales|Aulacoseiraceae|Aulacoseira||Aulacoseira Thwaites	32
Navicula Bory de Saint-Vincent, 1822	Chromista|Ochrophyta|Bacillariophyceae|Naviculales|Naviculaceae|Navicula||Navicula Bory de Saint-Vincent, 1822	32
Poa kerguelensis (Hook.f.) Steud.	Plantae|Tracheophyta|Liliopsida|Poales|Poaceae|Poa|kerguelensis|Poa kerguelensis (Hook.f.) Steud.	31
Sterna vittata Gmelin, 1789	Animalia|Chordata|Aves|Charadriiformes|Laridae|Sterna|vittata|Sterna vittata Gmelin, 1789	31
Chionis minor Hartlaub, 1841	Animalia|Chordata|Aves|Charadriiformes|Chionidae|Chionis|minor|Chionis minor Hartlaub, 1841	31
Aptenodytes patagonicus J. F. Miller, 1778	Animalia|Chordata|Aves|Sphenisciformes|Spheniscidae|Aptenodytes|patagonicus|Aptenodytes patagonicus J. F. Miller, 1778	31
Planothidium Round & L.Bukhtiyarova, 1996	Chromista|Ochrophyta|Bacillariophyceae|Achnanthales|Achnanthidiaceae|Planothidium||Planothidium Round & L.Bukhtiyarova, 1996	31
Planothidium Round & Bukhtiyarova	Plantae|Bacillariophyta|Bacillariophyceae|Acnanthales|Achnanthidiaceae|Planothidium||Planothidium Round & Bukhtiyarova	31
Paramoera fissicauda (Dana, 1852)	Animalia|Arthropoda|Malacostraca|Amphipoda|Eusiridae|Paramoera|fissicauda|Paramoera fissicauda (Dana, 1852)	30
Procellaria aequinoctialis Linnaeus, 1758	Animalia|Chordata|Aves|Procellariiformes|Procellariidae|Procellaria|aequinoctialis|Procellaria aequinoctialis Linnaeus, 1758	30
Nitzschia Hassall, 1845	Chromista|Ochrophyta|Bacillariophyceae|Bacillariales|Bacillariaceae|Nitzschia||Nitzschia Hassall, 1845	30
Nitzschia Hassall, 1845	Plantae|Bacillariophyta|Bacillariophyceae|Bacillariales|Bacillariaceae|Nitzschia||Nitzschia Hassall, 1845	30
Aphrodroma brevirostris (Lesson, 1831)	Animalia|Chordata|Aves|Procellariiformes|Procellariidae|Aphrodroma|brevirostris|Aphrodroma brevirostris (Lesson, 1831)	29
Eunotia Ehrenberg, 1837	Chromista|Ochrophyta|Bacillariophyceae|Eunotiales|Eunotiaceae|Eunotia||Eunotia Ehrenberg, 1837	29
Staurosirella D.M.Williams & Round, 1988	Chromista|Ochrophyta|Coscinodiscophyceae|Fragilariales|Fragilariaceae|Staurosirella||Staurosirella D.M.Williams & Round, 1988	29
Staurosirella D.M.Williams & Round, 1988	Chromista|Ochrophyta|Bacillariophyceae|Fragilariales|Fragilariaceae|Staurosirella||Staurosirella D.M.Williams & Round, 1988	29
Halobaena caerulea (Gmelin, 1789)	Animalia|Chordata|Aves|Procellariiformes|Procellariidae|Halobaena|caerulea|Halobaena caerulea (Gmelin, 1789)	29
Eunotia Ehrenberg	Plantae|Bacillariophyta|Bacillariophyceae|Eunotiales|Eunotiaceae|Eunotia||Eunotia Ehrenberg	29
Diadesmis Kütz.	Plantae|Bacillariophyta|Bacillariophyceae|Naviculales|Diadesmidaceae|Diadesmis||Diadesmis Kütz.	28
Gomphonema Ehrenberg, 1832	Chromista|Ochrophyta|Bacillariophyceae|Cymbellales|Gomphonemataceae|Gomphonema||Gomphonema Ehrenberg, 1832	28
Diadesmis Kützing, 1844	Chromista|Ochrophyta|Bacillariophyceae|Naviculales|Diadesmidaceae|Diadesmis||Diadesmis Kützing, 1844	28
Poa kerguelensis (Hook.f.) Steud.	Plantae|Magnoliophyta|Liliopsida|Poales|Poaceae|Festuca|kerguelensis|Poa kerguelensis (Hook.f.) Steud.	28
Gomphonema C.G. Ehrenberg, 1832	Plantae|Bacillariophyta|Bacillariophyceae|Cymbellales|Gomophonemataceae|Gomphonema||Gomphonema C.G. Ehrenberg, 1832	28
Procellaria cinerea Gmelin, 1789	Animalia|Chordata|Aves|Procellariiformes|Procellariidae|Procellaria|cinerea|Procellaria cinerea Gmelin, 1789	26
Kobayasiella Lange-Bertalot, 1999	Plantae|Bacillariophyta|Bacillariophyceae|Naviculales|Naviculaceae|Kobayasiella||Kobayasiella Lange-Bertalot, 1999	26
Kobayasiella Lange-Bertalot, 1999	Chromista|Ochrophyta|Bacillariophyceae|Naviculales|Naviculaceae|Kobayasiella||Kobayasiella Lange-Bertalot, 1999	26
Callitriche L.	Plantae|Tracheophyta|Magnoliopsida|Lamiales|Plantaginaceae|Callitriche||Callitriche L.	25
Azorella selago Hook. fil.	Plantae|Tracheophyta|Magnoliopsida|Apiales|Apiaceae|Azorella|selago|Azorella selago Hook. fil.	25
Colobanthus kerguelensis Hook. fil.	Plantae|Tracheophyta|Magnoliopsida|Caryophyllales|Caryophyllaceae|Colobanthus|kerguelensis|Colobanthus kerguelensis Hook. fil.	24
Lycopodium magellanicum (P. Beauv.) Sw.	Plantae|Tracheophyta|Lycopodiopsida|Lycopodiales|Lycopodiaceae|Austrolycopodium|magellanicum|Lycopodium magellanicum (P. Beauv.) Sw.	24
Cotula plumosa (Hook.f.) Hook.f.	Plantae|Magnoliophyta|Magnoliopsida|Asterales|Asteraceae||plumosa|Cotula plumosa (Hook.f.) Hook.f.	23
Cotula plumosa (Hook.f.) Hook.f.	Plantae|Tracheophyta|Magnoliopsida|Asterales|Asteraceae|Leptinella|plumosa|Cotula plumosa (Hook.f.) Hook.f.	23
Azorella selago Hook.f.	Plantae|Magnoliophyta|Magnoliopsida|Apiales|Apiaceae|Azorella|selago|Azorella selago Hook.f.	23
Lycopodium magellanicum	Plantae|Lycopodiophyta|Lycopodiopsida|Lycopodiales|Lycopodiaceae|Lycopodium|magellanicum|Lycopodium magellanicum	22
Colobanthus kerguelensis Hook.f.	Plantae|Magnoliophyta|Magnoliopsida|Caryophyllales|Caryophyllaceae|Colobanthus|kerguelensis|Colobanthus kerguelensis Hook.f.	22
Pringlea antiscorbutica R. Br. ex Hook. f.	Plantae|Tracheophyta|Magnoliopsida|Brassicales|Brassicaceae|Pringlea|antiscorbutica|Pringlea antiscorbutica R. Br. ex Hook. f.	22
Diomedea exulans Linnaeus, 1758	Animalia|Chordata|Aves|Procellariiformes|Diomedeidae|Diomedea|exulans|Diomedea exulans Linnaeus, 1758	21
Acaena magellanica (Lam.) Vahl	Plantae|Tracheophyta|Magnoliopsida|Rosales|Rosaceae|Acaena|magellanica|Acaena magellanica (Lam.) Vahl	20
