taxonName	taxonPath	recordCount
Manihot esculenta Crantz	Plantae|Magnoliophyta|Magnoliopsida|Malpighiales|Euphorbiaceae|Manihot|esculenta|Manihot esculenta Crantz	165930
Manihot esculenta Crantz	Plantae|Tracheophyta|Magnoliopsida|Malpighiales|Euphorbiaceae|Manihot|esculenta|Manihot esculenta Crantz	165930
Megaselia Rondani, 1856	Animalia|Arthropoda|Insecta|Diptera|Phoridae|Megaselia||Megaselia Rondani, 1856	3689
Culex Linnaeus, 1758	Animalia|Arthropoda|Insecta|Diptera|Culicidae|Culex||Culex Linnaeus, 1758	3358
Acridotheres tristis (Linnaeus, 1766)	Animalia|Chordata|Aves|Passeriformes|Sturnidae|Acridotheres|tristis|Acridotheres tristis (Linnaeus, 1766)	2920
Streptopelia chinensis (Scopoli, 1786)	Animalia|Chordata|Aves|Columbiformes|Columbidae|Streptopelia|chinensis|Streptopelia chinensis (Scopoli, 1786)	2812
Hirundo rustica Linnaeus, 1758	Animalia|Chordata|Aves|Passeriformes|Hirundinidae|Hirundo|rustica|Hirundo rustica Linnaeus, 1758	2626
Passer montanus (Linnaeus, 1758)	Animalia|Chordata|Aves|Passeriformes|Passeridae|Passer|montanus|Passer montanus (Linnaeus, 1758)	2342
Copsychus saularis (Linnaeus, 1758)	Animalia|Chordata|Aves|Passeriformes|Muscicapidae|Copsychus|saularis|Copsychus saularis (Linnaeus, 1758)	2276
Acridotheres grandis Moore, 1858	Animalia|Chordata|Aves|Passeriformes|Sturnidae|Acridotheres|grandis|Acridotheres grandis Moore, 1858	2087
Egretta garzetta (Linnaeus, 1766)	Animalia|Chordata|Aves|Pelecaniformes|Ardeidae|Egretta|garzetta|Egretta garzetta (Linnaeus, 1766)	2026
Aedes albopictus Skuse, 1894	Animalia|Arthropoda|Insecta|Diptera|Culicidae|Aedes|albopictus|Aedes albopictus Skuse, 1894	1974
Cypsiurus balasiensis (J. E. Gray, 1829)	Animalia|Chordata|Aves|Apodiformes|Apodidae|Cypsiurus|balasiensis|Cypsiurus balasiensis (J. E. Gray, 1829)	1958
Anopheles minimus Theobald, 1901	Animalia|Arthropoda|Insecta|Diptera|Culicidae|Anopheles|minimus|Anopheles minimus Theobald, 1901	1956
Pycnonotus blanfordi Jerdon, 1862	Animalia|Chordata|Aves|Passeriformes|Pycnonotidae|Pycnonotus|blanfordi|Pycnonotus blanfordi Jerdon, 1862	1821
Columba livia Gmelin, 1789	Animalia|Chordata|Aves|Columbiformes|Columbidae|Columba|livia|Columba livia Gmelin, 1789	1781
Corvus macrorhynchos Wagler, 1827	Animalia|Chordata|Aves|Passeriformes|Corvidae|Corvus|macrorhynchos|Corvus macrorhynchos Wagler, 1827	1736
Ardeola bacchus (Bonaparte, 1855)	Animalia|Chordata|Aves|Pelecaniformes|Ardeidae|Ardeola|bacchus|Ardeola bacchus (Bonaparte, 1855)	1734
Dicrurus macrocercus Vieillot, 1817	Animalia|Chordata|Aves|Passeriformes|Dicruridae|Dicrurus|macrocercus|Dicrurus macrocercus Vieillot, 1817	1715
Geopelia striata (Linnaeus, 1766)	Animalia|Chordata|Aves|Columbiformes|Columbidae|Geopelia|striata|Geopelia striata (Linnaeus, 1766)	1679
Centropus sinensis (Stephens, 1815)	Animalia|Chordata|Aves|Cuculiformes|Cuculidae|Centropus|sinensis|Centropus sinensis (Stephens, 1815)	1655
Eudynamys scolopaceus (Linnaeus, 1758)	Animalia|Chordata|Aves|Cuculiformes|Cuculidae|Eudynamys|scolopaceus|Eudynamys scolopaceus (Linnaeus, 1758)	1654
Anopheles barbirostris Wulp, 1884	Animalia|Arthropoda|Insecta|Diptera|Culicidae|Anopheles|barbirostris|Anopheles barbirostris Wulp, 1884	1624
Dicrurus leucophaeus Vieillot, 1817	Animalia|Chordata|Aves|Passeriformes|Dicruridae|Dicrurus|leucophaeus|Dicrurus leucophaeus Vieillot, 1817	1619
