taxonName	taxonPath	recordCount
Noctuidae	Animalia|Arthropoda|Insecta|Lepidoptera|Noctuidae|||Noctuidae	705
Pyraloides Rebel, 1948	Animalia|Arthropoda|Insecta|Lepidoptera|Noctuidae|Pyraloides||Pyraloides Rebel, 1948	279
Geometridae	Animalia|Arthropoda|Insecta|Lepidoptera|Geometridae|||Geometridae	259
Arctiidae	Animalia|Arthropoda|Insecta|Lepidoptera|Arctiidae|||Arctiidae	198
Amphidromus Albers, 1850	Animalia|Mollusca|Gastropoda|Stylommatophora|Camaenidae|Amphidromus||Amphidromus Albers, 1850	188
Asperitas Gude, 1911	Animalia|Mollusca|Gastropoda|Stylommatophora|Dyakiidae|Asperitas||Asperitas Gude, 1911	168
Parachloritis Ehrmann, 1912	Animalia|Mollusca||||Parachloritis||Parachloritis Ehrmann, 1912	130
Chloritis Beck, 1837	Animalia|Mollusca|Gastropoda|Stylommatophora|Camaenidae|Chloritis||Chloritis Beck, 1837	121
Lymantriidae	Animalia|Arthropoda|Insecta|Lepidoptera|Lymantriidae|||Lymantriidae	106
Lepidoptera	Animalia|Arthropoda|Insecta|Lepidoptera||||Lepidoptera	86
Cyrtodactylus Gray, 1827	Animalia|Chordata|Reptilia|Squamata|Gekkonidae|Cyrtodactylus||Cyrtodactylus Gray, 1827	58
Philemon buceroides (Swainson, 1838)	Animalia|Chordata|Aves|Passeriformes|Meliphagidae|Philemon|buceroides|Philemon buceroides (Swainson, 1838)	46
Eucalyptus alba Reinw. ex Bl.	Plantae|Tracheophyta|Magnoliopsida|Myrtales|Myrtaceae|Eucalyptus|alba|Eucalyptus alba Reinw. ex Bl.	45
Cyclotus Swainson, 1840	Animalia|Mollusca|Gastropoda||Cyclophoridae|Cyclotus||Cyclotus Swainson, 1840	43
Rousettus amplexicaudatus (E. Geoffroy, 1810)	Animalia|Chordata|Mammalia|Chiroptera|Pteropodidae|Rousettus|amplexicaudatus|Rousettus amplexicaudatus (E. Geoffroy, 1810)	42
Cyclotus Guilding in Swainson, 1840	Animalia|Mollusca|Gastropoda|Architaenioglossa|Cyclophoridae|Cyclotus||Cyclotus Guilding in Swainson, 1840	38
Eucalyptus urophylla S.T. Blake	Plantae|Magnoliophyta|Magnoliopsida|Myrtales|Myrtaceae|Eucalyptus|urophylla|Eucalyptus urophylla S.T. Blake	34
Eucalyptus urophylla S.T. Blake	Plantae|Tracheophyta|Magnoliopsida|Myrtales|Myrtaceae|Eucalyptus|urophylla|Eucalyptus urophylla S.T. Blake	33
Apoecus Möllendorff in Martini & Chemnitz, 1902	Animalia|Mollusca||||Apoecus||Apoecus Möllendorff in Martini & Chemnitz, 1902	31
Paederus Fabricius, 1775	Animalia|Arthropoda|Insecta|Coleoptera|Staphylinidae|Paederus||Paederus Fabricius, 1775	30
Herminiidae	Animalia|Arthropoda|Insecta|Lepidoptera|Herminiidae|||Herminiidae	27
Eucalyptus alba Reinw. ex Bl.	Plantae|Magnoliophyta|Magnoliopsida|Myrtales|Myrtaceae|Eucalyptus|alba|Eucalyptus alba Reinw. ex Bl.	25
Aganaidae	Animalia|Arthropoda|Insecta|Lepidoptera|Aganaidae|||Aganaidae	24
Geophorus Fischer, 1885	Animalia|Mollusca|Gastropoda|Cycloneritimorpha|Helicinidae|Geophorus||Geophorus Fischer, 1885	22
	|||||||	21
Saxicola caprata (Linnaeus, 1766)	Animalia|Chordata|Aves|Passeriformes|Muscicapidae|Saxicola|caprata|Saxicola caprata (Linnaeus, 1766)	21
Rhinolophus keyensis subsp. parvus Goodwin, 1979	Animalia|Chordata|Mammalia|Chiroptera|Rhinolophidae|Rhinolophus|keyensis|Rhinolophus keyensis subsp. parvus Goodwin, 1979	20
Geophorus Fischer, 1885	Animalia|Mollusca|Gastropoda|Neritopsina|Helicinidae|Geophorus||Geophorus Fischer, 1885	19
Physastra Tapparone-Canefri, 1883	Animalia|Mollusca|Gastropoda|Hygrophila|Planorbidae|Physastra||Physastra Tapparone-Canefri, 1883	18
Streptopelia chinensis (Scopoli, 1786)	Animalia|Chordata|Aves|Columbiformes|Columbidae|Streptopelia|chinensis|Streptopelia chinensis (Scopoli, 1786)	18
Philemon inornatus (G. R. Gray, 1846)	Animalia|Chordata|Aves|Passeriformes|Meliphagidae|Philemon|inornatus|Philemon inornatus (G. R. Gray, 1846)	18
Landouria Godwin-Austen, 1918	Animalia|Mollusca|Gastropoda|Stylommatophora|Camaenidae|Landouria||Landouria Godwin-Austen, 1918	18
Rousettus amplexicaudatus subsp. amplexicaudatus	Animalia|Chordata|Mammalia|Chiroptera|Pteropodidae|Rousettus|amplexicaudatus|Rousettus amplexicaudatus subsp. amplexicaudatus	18
Miniopterus magnater subsp. magnater	Animalia|Chordata|Mammalia|Chiroptera|Vespertilionidae|Miniopterus|magnater|Miniopterus magnater subsp. magnater	17
Miniopterus magnater subsp. magnater	Animalia|Chordata|Mammalia|Chiroptera|Miniopteridae|Miniopterus|magnater|Miniopterus magnater subsp. magnater	17
Draco timorensis	Animalia|Chordata|Reptilia|Squamata|Agamidae|Draco|Draco timorensis	17
Eucalyptus alba var. alba Blume	Plantae|Magnoliophyta|Magnoliopsida|Myrtales|Myrtaceae|Eucalyptus|alba|Eucalyptus alba var. alba Blume	17
Helicarion Férussac, 1821	Animalia|Mollusca|Gastropoda|Stylommatophora|Helicarionidae|Helicarion||Helicarion Férussac, 1821	16
Diplacodes trivialis Rambur, 1842	Animalia|Arthropoda|Insecta|Odonata|Libellulidae|Diplacodes|trivialis|Diplacodes trivialis Rambur, 1842	16
Hemidactylus frenatus Schlegel, 1836	Animalia|Chordata|Reptilia|Squamata|Gekkonidae|Hemidactylus|frenatus|Hemidactylus frenatus Schlegel, 1836	16
Polypedates leucomystax (Gravenhorst, 1829)	Animalia|Chordata|Amphibia|Anura|Rhacophoridae|Polypedates|leucomystax|Polypedates leucomystax (Gravenhorst, 1829)	15
Todiramphus chloris (Boddaert, 1783)	Animalia|Chordata|Aves|Coraciiformes|Alcedinidae|Todiramphus|chloris|Todiramphus chloris (Boddaert, 1783)	15
Orthetrum sabina Drury, 1773	Animalia|Arthropoda|Insecta|Odonata|Libellulidae|Orthetrum|sabina|Orthetrum sabina Drury, 1773	15
Taeniopygia guttata (Vieillot, 1817)	Animalia|Chordata|Aves|Passeriformes|Estrildidae|Taeniopygia|guttata|Taeniopygia guttata (Vieillot, 1817)	15
Desmodium Desv.	Plantae|Magnoliophyta|Magnoliopsida|Fabales|Fabaceae|Desmodium||Desmodium Desv.	14
Physastra Tapparone-Canefri, 1883	Animalia|Mollusca|Gastropoda|Basommatophora|Lymnaeidae|Physastra||Physastra Tapparone-Canefri, 1883	14
Spermacoce L.	Plantae|Tracheophyta|Magnoliopsida|Gentianales|Rubiaceae|Spermacoce||Spermacoce L.	14
Rattus exulans (Peale, 1848)	Animalia|Chordata|Mammalia|Rodentia|Muridae|Rattus|exulans|Rattus exulans (Peale, 1848)	14
