taxonName	taxonPath	recordCount
Praomys tullbergi (Thomas, 1894)	Animalia|Chordata|Mammalia|Rodentia|Muridae|Praomys|tullbergi|Praomys tullbergi (Thomas, 1894)	382
Pennisetum glaucum (L.) R.Br.	Plantae|Magnoliophyta|Liliopsida|Poales|Poaceae|Pennisetum|glaucum|Pennisetum glaucum (L.) R.Br.	335
Pennisetum glaucum (L.) R.Br.	Plantae|Tracheophyta|Liliopsida|Poales|Poaceae|Pennisetum|glaucum|Pennisetum glaucum (L.) R.Br.	335
Gerbilliscus Thomas, 1897	Animalia|Chordata|Mammalia|Rodentia|Muridae|Gerbilliscus||Gerbilliscus Thomas, 1897	324
Mastomys Thomas, 1915	Animalia|Chordata|Mammalia|Rodentia|Muridae|Mastomys||Mastomys Thomas, 1915	308
Praomys Thomas, 1915	Animalia|Chordata|Mammalia|Rodentia|Muridae|Praomys||Praomys Thomas, 1915	276
Pycnonotus barbatus (Desfontaines, 1789)	Animalia|Chordata|Aves|Passeriformes|Pycnonotidae|Pycnonotus|barbatus|Pycnonotus barbatus (Desfontaines, 1789)	272
Sorghum bicolor (L.) Moench	Plantae|Magnoliophyta|Liliopsida|Poales|Poaceae|Sorghum|bicolor|Sorghum bicolor (L.) Moench	249
Taterillus gracilis (Thomas, 1892)	Animalia|Chordata|Mammalia|Rodentia|Muridae|Taterillus|gracilis|Taterillus gracilis (Thomas, 1892)	248
Praomys derooi (Van der Straeten & Verheyen, 1978)	Animalia|Chordata|Mammalia|Rodentia|Muridae|Praomys|derooi|Praomys derooi (Van der Straeten & Verheyen, 1978)	235
Praomys derooi Van der Straeten & Verheyen, 1978	Animalia|Chordata|Mammalia|Rodentia|Muridae|Praomys|derooi|Praomys derooi Van der Straeten & Verheyen, 1978	235
Sorghum bicolor (L.) Moench	Plantae|Tracheophyta|Liliopsida|Poales|Poaceae|Sorghum|bicolor|Sorghum bicolor (L.) Moench	235
Hylomyscus alleni (Waterhouse, 1838)	Animalia|Chordata|Mammalia|Rodentia|Muridae|Hylomyscus|alleni|Hylomyscus alleni (Waterhouse, 1838)	214
Bacteria	Bacteria|||||||Bacteria	204
	|||||||	197
Centropus senegalensis (Linnaeus, 1766)	Animalia|Chordata|Aves|Cuculiformes|Cuculidae|Centropus|senegalensis|Centropus senegalensis (Linnaeus, 1766)	177
Cypsiurus parvus (Lichtenstein, 1823)	Animalia|Chordata|Aves|Apodiformes|Apodidae|Cypsiurus|parvus|Cypsiurus parvus (Lichtenstein, 1823)	175
Milvus migrans (Boddaert, 1783)	Animalia|Chordata|Aves|Accipitriformes|Accipitridae|Milvus|migrans|Milvus migrans (Boddaert, 1783)	168
Mastomys natalensis (Smith, 1834)	Animalia|Chordata|Mammalia|Rodentia|Muridae|Mastomys|natalensis|Mastomys natalensis (Smith, 1834)	160
Mastomys natalensis (A. Smith, 1834)	Animalia|Chordata|Mammalia|Rodentia|Muridae|Mastomys|natalensis|Mastomys natalensis (A. Smith, 1834)	160
Lavia frons (E. Geoffroy, 1810)	Animalia|Chordata|Mammalia|Chiroptera|Megadermatidae|Lavia|frons|Lavia frons (E. Geoffroy, 1810)	150
Streptopelia senegalensis (Linnaeus, 1766)	Animalia|Chordata|Aves|Columbiformes|Columbidae|Streptopelia|senegalensis|Streptopelia senegalensis (Linnaeus, 1766)	149
Trema orientalis (L.) Bl.	Plantae|Tracheophyta|Magnoliopsida|Rosales|Cannabaceae|Trema|orientalis|Trema orientalis (L.) Bl.	145
Streptopelia vinacea (Gmelin, 1789)	Animalia|Chordata|Aves|Columbiformes|Columbidae|Streptopelia|vinacea|Streptopelia vinacea (Gmelin, 1789)	144
Rhinolophus fumigatus Rüppell, 1842	Animalia|Chordata|Mammalia|Chiroptera|Rhinolophidae|Rhinolophus|fumigatus|Rhinolophus fumigatus Rüppell, 1842	136
Turdus pelios Bonaparte, 1850	Animalia|Chordata|Aves|Passeriformes|Turdidae|Turdus|pelios|Turdus pelios Bonaparte, 1850	136
Crinifer piscator (Boddaert, 1783)	Animalia|Chordata|Aves|Musophagiformes|Musophagidae|Crinifer|piscator|Crinifer piscator (Boddaert, 1783)	135
Trema africana Blume	Plantae|Magnoliophyta|Magnoliopsida|Rosales|Cannabaceae|Trema|africana|Trema africana Blume	126
Mops condylurus (A. Smith, 1833)	Animalia|Chordata|Mammalia|Chiroptera|Molossidae|Mops|condylurus|Mops condylurus (A. Smith, 1833)	121
Dicrurus adsimilis (Bechstein, 1794)	Animalia|Chordata|Aves|Passeriformes|Dicruridae|Dicrurus|adsimilis|Dicrurus adsimilis (Bechstein, 1794)	118
Tockus nasutus (Linnaeus, 1766)	Animalia|Chordata|Aves|Bucerotiformes|Bucerotidae|Tockus|nasutus|Tockus nasutus (Linnaeus, 1766)	108
Bubulcus ibis (Linnaeus, 1758)	Animalia|Chordata|Aves|Pelecaniformes|Ardeidae|Bubulcus|ibis|Bubulcus ibis (Linnaeus, 1758)	108
Spermestes cucullata	Animalia|Chordata|Aves|Passeriformes||Spermestes|cucullata|Spermestes cucullata	104
Chaerephon major (Trouessart, 1897)	Animalia|Chordata|Mammalia|Chiroptera|Molossidae|Chaerephon|major|Chaerephon major (Trouessart, 1897)	104
Mus musculoides Temminck, 1853	Animalia|Chordata|Mammalia|Rodentia|Muridae|Mus|musculoides|Mus musculoides Temminck, 1853	104
Ptilostomus afer (Linnaeus, 1766)	Animalia|Chordata|Aves|Passeriformes|Corvidae|Ptilostomus|afer|Ptilostomus afer (Linnaeus, 1766)	104
Kaupifalco monogrammicus (Temminck, 1824)	Animalia|Chordata|Aves|Accipitriformes|Accipitridae|Kaupifalco|monogrammicus|Kaupifalco monogrammicus (Temminck, 1824)	97
Arvicanthis niloticus (E. Geoffroy, 1803)	Animalia|Chordata|Mammalia|Rodentia|Muridae|Arvicanthis|niloticus|Arvicanthis niloticus (E. Geoffroy, 1803)	92
Arvicanthis niloticus (Desmarest, 1822)	Animalia|Chordata|Mammalia|Rodentia|Muridae|Arvicanthis|niloticus|Arvicanthis niloticus (Desmarest, 1822)	92
Abelmoschus manihot (L.) Medik.	Plantae|Magnoliophyta|Magnoliopsida|Malvales|Malvaceae|Abelmoschus|manihot|Abelmoschus manihot (L.) Medik.	89
Abelmoschus manihot (L.) Medik.	Plantae|Tracheophyta|Magnoliopsida|Malvales|Malvaceae|Abelmoschus|manihot|Abelmoschus manihot (L.) Medik.	89
Uranomys ruddi Dollman, 1909	Animalia|Chordata|Mammalia|Rodentia|Muridae|Uranomys|ruddi|Uranomys ruddi Dollman, 1909	88
Planctomycetaceae	Bacteria|Planctomycetes|Planctomycetacia|Planctomycetales|Planctomycetaceae|||Planctomycetaceae	84
Tchagra senegalus (Linnaeus, 1766)	Animalia|Chordata|Aves|Passeriformes|Malaconotidae|Tchagra|senegalus|Tchagra senegalus (Linnaeus, 1766)	83
Spermestes cucullatus	Animalia|Chordata|Aves|Passeriformes||Spermestes|cucullatus|Spermestes cucullatus	81
Pogoniulus chrysoconus (Temminck, 1832)	Animalia|Chordata|Aves|Piciformes|Ramphastidae|Pogoniulus|chrysoconus|Pogoniulus chrysoconus (Temminck, 1832)	81
Atelerix albiventris (Wagner, 1841)	Animalia|Chordata|Mammalia|Erinaceomorpha|Erinaceidae|Atelerix|albiventris|Atelerix albiventris (Wagner, 1841)	78
Gammaproteobacteria	Bacteria|Proteobacteria|Gammaproteobacteria|||||Gammaproteobacteria	78
Tockus fasciatus (Shaw, 1811)	Animalia|Chordata|Aves|Bucerotiformes|Bucerotidae|Tockus|fasciatus|Tockus fasciatus (Shaw, 1811)	78
Lemniscomys striatus (Linnaeus, 1758)	Animalia|Chordata|Mammalia|Rodentia|Muridae|Lemniscomys|striatus|Lemniscomys striatus (Linnaeus, 1758)	76
Passer griseus (Vieillot, 1817)	Animalia|Chordata|Aves|Passeriformes|Passeridae|Passer|griseus|Passer griseus (Vieillot, 1817)	76
Chaerephon pumilus (Cretzschmar, 1826)	Animalia|Chordata|Mammalia|Chiroptera|Molossidae|Chaerephon|pumilus|Chaerephon pumilus (Cretzschmar, 1826)	75
Chaerephon pumilus Cretzschmar, 1830-, 1831	Animalia|Chordata|Mammalia|Chiroptera|Molossidae|Chaerephon|pumilus|Chaerephon pumilus Cretzschmar, 1830-, 1831	74
Dryoscopus gambensis (Lichtenstein, 1823)	Animalia|Chordata|Aves|Passeriformes|Malaconotidae|Dryoscopus|gambensis|Dryoscopus gambensis (Lichtenstein, 1823)	72
Gerbilliscus kempi Wroughton, 1906	Animalia|Chordata|Mammalia|Rodentia|Muridae|Gerbilliscus|kempi|Gerbilliscus kempi Wroughton, 1906	71
Vidua macroura (Pallas, 1764)	Animalia|Chordata|Aves|Passeriformes|Viduidae|Vidua|macroura|Vidua macroura (Pallas, 1764)	71
Turtur afer (Linnaeus, 1766)	Animalia|Chordata|Aves|Columbiformes|Columbidae|Turtur|afer|Turtur afer (Linnaeus, 1766)	71
Gerbilliscus kempii (Wroughton, 1906)	Animalia|Chordata|Mammalia|Rodentia|Muridae|Gerbilliscus|kempii|Gerbilliscus kempii (Wroughton, 1906)	71
Francolinus bicalcaratus (Linnaeus, 1766)	Animalia|Chordata|Aves|Galliformes|Phasianidae|Francolinus|bicalcaratus|Francolinus bicalcaratus (Linnaeus, 1766)	70
Hirundo aethiopica Blanford, 1869	Animalia|Chordata|Aves|Passeriformes|Hirundinidae|Hirundo|aethiopica|Hirundo aethiopica Blanford, 1869	70
Apus affinis (J. E. Gray, 1830)	Animalia|Chordata|Aves|Apodiformes|Apodidae|Apus|affinis|Apus affinis (J. E. Gray, 1830)	66
Oriolus auratus Vieillot, 1817	Animalia|Chordata|Aves|Passeriformes|Oriolidae|Oriolus|auratus|Oriolus auratus Vieillot, 1817	64
Cisticola rufus (Fraser, 1843)	Animalia|Chordata|Aves|Passeriformes|Cisticolidae|Cisticola|rufus|Cisticola rufus (Fraser, 1843)	63
Turtur abyssinicus (Sharpe, 1902)	Animalia|Chordata|Aves|Columbiformes|Columbidae|Turtur|abyssinicus|Turtur abyssinicus (Sharpe, 1902)	62
Corvus albus Statius Muller, 1776	Animalia|Chordata|Aves|Passeriformes|Corvidae|Corvus|albus|Corvus albus Statius Muller, 1776	61
Euplectes macroura (Gmelin, 1789)	Animalia|Chordata|Aves|Passeriformes|Ploceidae|Euplectes|macroura|Euplectes macroura (Gmelin, 1789)	61
Heliosciurus rufobrachium (Waterhouse, 1842)	Animalia|Chordata|Mammalia|Rodentia|Sciuridae|Heliosciurus|rufobrachium|Heliosciurus rufobrachium (Waterhouse, 1842)	60
Abelmoschus esculentus (L.) Moench	Plantae|Magnoliophyta|Magnoliopsida|Malvales|Malvaceae|Abelmoschus|esculentus|Abelmoschus esculentus (L.) Moench	60
Combretum collinum Fresen.	Plantae|Magnoliophyta|Magnoliopsida|Myrtales|Combretaceae|Combretum|collinum|Combretum collinum Fresen.	60
Abelmoschus esculentus (L.) Moench	Plantae|Tracheophyta|Magnoliopsida|Malvales|Malvaceae|Abelmoschus|esculentus|Abelmoschus esculentus (L.) Moench	60
Camaroptera brachyura (Vieillot, 1821)	Animalia|Chordata|Aves|Passeriformes|Cisticolidae|Camaroptera|brachyura|Camaroptera brachyura (Vieillot, 1821)	60
Accipiter badius (Gmelin, 1788)	Animalia|Chordata|Aves|Accipitriformes|Accipitridae|Accipiter|badius|Accipiter badius (Gmelin, 1788)	59
Vigna unguiculata (L.) Walp.	Plantae|Magnoliophyta|Magnoliopsida|Fabales|Fabaceae|Vigna|unguiculata|Vigna unguiculata (L.) Walp.	59
Vigna unguiculata (L.) Walp.	Plantae|Tracheophyta|Magnoliopsida|Fabales|Fabaceae|Vigna|unguiculata|Vigna unguiculata (L.) Walp.	58
Treron calvus (Temminck, 1808)	Animalia|Chordata|Aves|Columbiformes|Columbidae|Treron|calvus|Treron calvus (Temminck, 1808)	57
Estrilda melpoda (Vieillot, 1817)	Animalia|Chordata|Aves|Passeriformes|Estrildidae|Estrilda|melpoda|Estrilda melpoda (Vieillot, 1817)	57
Acidobacteriaceae	Bacteria|Acidobacteria|Acidobacteria|Acidobacteriales|Acidobacteriaceae|||Acidobacteriaceae	56
Lophuromys sikapusi (Temminck, 1853)	Animalia|Chordata|Mammalia|Rodentia|Muridae|Lophuromys|sikapusi|Lophuromys sikapusi (Temminck, 1853)	56
Acidobacteriaceae	Bacteria|Acidobacteria||Acidobacteriales|Acidobacteriaceae|||Acidobacteriaceae	56
Streptopelia semitorquata (Rüppell, 1837)	Animalia|Chordata|Aves|Columbiformes|Columbidae|Streptopelia|semitorquata|Streptopelia semitorquata (Rüppell, 1837)	55
Ploceus cucullatus (Statius Muller, 1776)	Animalia|Chordata|Aves|Passeriformes|Ploceidae|Ploceus|cucullatus|Ploceus cucullatus (Statius Muller, 1776)	54
Cisticola lateralis (Fraser, 1843)	Animalia|Chordata|Aves|Passeriformes|Cisticolidae|Cisticola|lateralis|Cisticola lateralis (Fraser, 1843)	53
Uraeginthus bengalus (Linnaeus, 1766)	Animalia|Chordata|Aves|Passeriformes|Estrildidae|Uraeginthus|bengalus|Uraeginthus bengalus (Linnaeus, 1766)	52
Coracias cyanogaster Cuvier, 1816	Animalia|Chordata|Aves|Coraciiformes|Coraciidae|Coracias|cyanogaster|Coracias cyanogaster Cuvier, 1816	52
Batis senegalensis (Linnaeus, 1766)	Animalia|Chordata|Aves|Passeriformes|Platysteiridae|Batis|senegalensis|Batis senegalensis (Linnaeus, 1766)	51
