taxonName	taxonPath	recordCount
Gammaproteobacteria	Bacteria|Proteobacteria|Gammaproteobacteria|||||Gammaproteobacteria	370
	|||||||	323
Acanthurus nigrofuscus	Animalia|Chordata|Actinopterygii|Acanthuridae|Acanthurus nigrofuscus	308
Gygis alba (Sparrman, 1786)	Animalia|Chordata|Aves|Charadriiformes|Laridae|Gygis|alba|Gygis alba (Sparrman, 1786)	287
Ctenochaetus striatus	Animalia|Chordata|Actinopterygii|Acanthuridae|Ctenochaetus striatus	272
Pomacentrus vaiuli	Animalia|Chordata|Actinopterygii|Pomacentridae|Pomacentrus vaiuli	268
Puffinus pacificus (Gmelin, 1789)	Animalia|Chordata|Aves|Procellariiformes|Procellariidae|Puffinus|pacificus|Puffinus pacificus (Gmelin, 1789)	261
Bacteria	Bacteria|||||||Bacteria	255
Chlorurus sordidus	Animalia|Chordata|Actinopterygii|Scaridae|Chlorurus sordidus	244
Sulfurovum Inagaki et al., 2004	Bacteria|Proteobacteria|Epsilonproteobacteria|Campylobacterales|Helicobacteraceae|Sulfurovum||Sulfurovum Inagaki et al., 2004	242
Chrysiptera taupou	Animalia|Chordata|Actinopterygii|Pomacentridae|Chrysiptera taupou	236
Halichoeres hortulanus	Animalia|Chordata|Actinopterygii|Labridae|Halichoeres hortulanus	236
Thalassoma lutescens	Animalia|Chordata|Actinopterygii|Labridae|Thalassoma lutescens	232
Rhodobacteraceae	Bacteria|Proteobacteria|Alphaproteobacteria|Rhodobacterales|Rhodobacteraceae|||Rhodobacteraceae	230
Alphaproteobacteria	Bacteria|Proteobacteria|Alphaproteobacteria|||||Alphaproteobacteria	218
Labroides dimidiatus	Animalia|Chordata|Actinopterygii|Labridae|Labroides dimidiatus	208
Proteobacteria	Bacteria|Proteobacteria||||||Proteobacteria	206
Anous stolidus (Linnaeus, 1758)	Animalia|Chordata|Aves|Charadriiformes|Laridae|Anous|stolidus|Anous stolidus (Linnaeus, 1758)	205
Parupeneus multifasciatus	Animalia|Chordata|Actinopterygii|Mullidae|Parupeneus multifasciatus	204
Mollusca	Animalia|Mollusca||||||Mollusca	203
Thalassoma hardwicke	Animalia|Chordata|Actinopterygii|Labridae|Thalassoma hardwicke	196
Sulfurimonas Inagaki, Takai, Kobayashi, Nealson & Horikoshi, 2005	Bacteria|Proteobacteria|Epsilonproteobacteria|Campylobacterales|Helicobacteraceae|Sulfurimonas||Sulfurimonas Inagaki, Takai, Kobayashi, Nealson & Horikoshi, 2005	194
Gomphosus varius	Animalia|Chordata|Actinopterygii|Labridae|Gomphosus varius	192
Zebrasoma scopas	Animalia|Chordata|Actinopterygii|Acanthuridae|Zebrasoma scopas	192
Anous minutus F. Boie, 1844	Animalia|Chordata|Aves|Charadriiformes|Laridae|Anous|minutus|Anous minutus F. Boie, 1844	182
Centropyge flavissima	Animalia|Chordata|Actinopterygii|Pomacanthidae|Centropyge flavissima	180
Chaetodon citrinellus	Animalia|Chordata|Actinopterygii|Chaetodontidae|Chaetodon citrinellus	164
Pomacentrus imitator	Animalia|Chordata|Actinopterygii|Pomacentridae|Pomacentrus imitator	164
Sula sula (Linnaeus, 1766)	Animalia|Chordata|Aves|Suliformes|Sulidae|Sula|sula|Sula sula (Linnaeus, 1766)	149
Pomacentrus spilotoceps	Animalia|Chordata|Actinopterygii|Pomacentridae|Pomacentrus spilotoceps	148
Chaetodon pelewensis	Animalia|Chordata|Actinopterygii|Chaetodontidae|Chaetodon pelewensis	148
Lepidodactylus lugubris Duméril & Bibron, 1836	Animalia|Chordata|Reptilia|Squamata|Gekkonidae|Lepidodactylus|lugubris|Lepidodactylus lugubris Duméril & Bibron, 1836	145
Stethojulis bandanensis	Animalia|Chordata|Actinopterygii|Labridae|Stethojulis bandanensis	144
Echinometra mathaei (Blainville, 1825)	Animalia|Echinodermata|Echinoidea|Camarodonta|Echinometridae|Echinometra|mathaei|Echinometra mathaei (Blainville, 1825)	141
Sula leucogaster (Boddaert, 1783)	Animalia|Chordata|Aves|Suliformes|Sulidae|Sula|leucogaster|Sula leucogaster (Boddaert, 1783)	139
Pomacentrus vaiuli Jordan & Seale, 1906	Animalia|Chordata|Actinopterygii|Perciformes|Pomacentridae|Pomacentrus|vaiuli|Pomacentrus vaiuli Jordan & Seale, 1906	139
Pomacentrus callainus	Animalia|Chordata|Actinopterygii|Pomacentridae|Pomacentrus callainus	136
Stegastes fasciolatus	Animalia|Chordata|Actinopterygii|Pomacentridae|Stegastes fasciolatus	136
