taxonName	taxonPath	recordCount
Mengenilla Hofeneder, 1910	Animalia|Arthropoda|Insecta|Strepsiptera|Mengenillidae|Mengenilla||Mengenilla Hofeneder, 1910	189906
	|||||||	2988
Triticum turgidum L.	Plantae|Magnoliophyta|Liliopsida|Poales|Poaceae|Triticum|turgidum|Triticum turgidum L.	1323
Triticum turgidum subsp. durum (Desf.) Husn.	Plantae|Tracheophyta|Liliopsida|Poales|Poaceae|Triticum|turgidum|Triticum turgidum subsp. durum (Desf.) Husn.	1320
Heterohelix Ehrenberg, 1843	Protozoa||Granuloreticulosea|Foraminiferida||Heterohelix||Heterohelix Ehrenberg, 1843	556
Gerbillus latastei Thomas & Trouessart, 1903	Animalia|Chordata|Mammalia|Rodentia|Muridae|Gerbillus|latastei|Gerbillus latastei Thomas & Trouessart, 1903	452
Phalacrocorax carbo (Linnaeus, 1758)	Animalia|Chordata|Aves|Suliformes|Phalacrocoracidae|Phalacrocorax|carbo|Phalacrocorax carbo (Linnaeus, 1758)	394
Guembelitria Cushman, 1933	Chromista||||Guembelitriidae|Guembelitria||Guembelitria Cushman, 1933	370
Pseudoguembelina	Protozoa||Granuloreticulosea|Foraminiferida||Pseudoguembelina||Pseudoguembelina	265
Globotruncana Cushman, 1927	Protozoa||Granuloreticulosea|Foraminiferida|Globotruncanidae|Globotruncana||Globotruncana Cushman, 1927	249
Rugoglobigerina Brönnimann, 1952	Protozoa||Granuloreticulosea|Foraminiferida||Rugoglobigerina||Rugoglobigerina Brönnimann, 1952	230
Globigerinelloides Cushman & Dam, 1948	Protozoa||Granuloreticulosea|Foraminiferida||Globigerinelloides||Globigerinelloides Cushman & Dam, 1948	228
Praebulimina Hofker, 1953	Protozoa||Granuloreticulosea|Foraminiferida|Turrilinidae|Praebulimina||Praebulimina Hofker, 1953	219
Medicago L.	Plantae|Tracheophyta|Magnoliopsida|Fabales|Fabaceae|Medicago||Medicago L.	201
Rotaliidae	Chromista|Foraminifera|Globothalamea|Rotaliida|Rotaliidae|||Rotaliidae	198
Apodemus sylvaticus (Linnaeus, 1758)	Animalia|Chordata|Mammalia|Rodentia|Muridae|Apodemus|sylvaticus|Apodemus sylvaticus (Linnaeus, 1758)	187
Scorpiurus muricatus L.	Plantae|Magnoliophyta|Magnoliopsida|Fabales|Fabaceae|Scorpiurus|muricatus|Scorpiurus muricatus L.	179
Medicago polymorpha L.	Plantae|Magnoliophyta|Magnoliopsida|Fabales|Fabaceae|Medicago|polymorpha|Medicago polymorpha L.	176
Medicago truncatula Gaertn.	Plantae|Magnoliophyta|Magnoliopsida|Fabales|Fabaceae|Medicago|truncatula|Medicago truncatula Gaertn.	167
Medicago truncatula Gaertn.	Plantae|Tracheophyta|Magnoliopsida|Fabales|Fabaceae|Medicago|truncatula|Medicago truncatula Gaertn.	167
Hedbergella Bronnimann & Brown, 1958	Protozoa||Granuloreticulosea|Foraminiferida|Hedbergellidae|Hedbergella||Hedbergella Bronnimann & Brown, 1958	162
Protocardia Beyrich, 1845	Animalia|Mollusca|Bivalvia|Veneroida|Cardiidae|Protocardia||Protocardia Beyrich, 1845	162
Hirundo rustica Linnaeus, 1758	Animalia|Chordata|Aves|Passeriformes|Hirundinidae|Hirundo|rustica|Hirundo rustica Linnaeus, 1758	154
Meriones libycus Lichtenstein, 1823	Animalia|Chordata|Mammalia|Rodentia|Muridae|Meriones|libycus|Meriones libycus Lichtenstein, 1823	149
Cibicidoides Thalmann, 1939	Chromista||||Parrelloididae|Cibicidoides||Cibicidoides Thalmann, 1939	146
Anomalinoides Brotzen, 1942	Protozoa||Granuloreticulosea|Foraminiferida|Gavelinellidae|Anomalinoides||Anomalinoides Brotzen, 1942	145
Gyroidinoides	Protozoa||Granuloreticulosea|Foraminiferida|Gavelinellidae|Gyroidinoides||Gyroidinoides	145
Dipodillus campestris (Levaillant, 1857)	Animalia|Chordata|Mammalia|Rodentia|Muridae|Dipodillus|campestris|Dipodillus campestris (Levaillant, 1857)	135
Dipodillus campestris Loche, 1867	Animalia|Chordata|Mammalia|Rodentia|Muridae|Dipodillus|campestris|Dipodillus campestris Loche, 1867	135
Jaculus jaculus (Linnaeus, 1758)	Animalia|Chordata|Mammalia|Rodentia|Dipodidae|Jaculus|jaculus|Jaculus jaculus (Linnaeus, 1758)	133
Sturnus vulgaris Linnaeus, 1758	Animalia|Chordata|Aves|Passeriformes|Sturnidae|Sturnus|vulgaris|Sturnus vulgaris Linnaeus, 1758	131
Coryphostoma Loeblich & Tappan, 1962	Protozoa||Granuloreticulosea|Foraminiferida|Fursenkoinidae|Coryphostoma||Coryphostoma Loeblich & Tappan, 1962	131
Androctonus australis (Linnaeus, 1758)	Animalia|Arthropoda|Arachnida|Scorpiones|Buthidae|Androctonus|australis|Androctonus australis (Linnaeus, 1758)	130
Mus musculus Linnaeus, 1758	Animalia|Chordata|Mammalia|Rodentia|Muridae|Mus|musculus|Mus musculus Linnaeus, 1758	127
Gerbillus tarabuli Thomas, 1902	Animalia|Chordata|Mammalia|Rodentia|Muridae|Gerbillus|tarabuli|Gerbillus tarabuli Thomas, 1902	126
Myotis blythii (Tomes, 1857)	Animalia|Chordata|Mammalia|Chiroptera|Vespertilionidae|Myotis|blythii|Myotis blythii (Tomes, 1857)	121
Hedysarum coronarium L.	Plantae|Tracheophyta|Magnoliopsida|Fabales|Fabaceae|Hedysarum|coronarium|Hedysarum coronarium L.	120
Hedysarum coronarium L.	Plantae|Magnoliophyta|Magnoliopsida|Fabales|Fabaceae|Hedysarum|coronarium|Hedysarum coronarium L.	119
Ficedula hypoleuca (Pallas, 1764)	Animalia|Chordata|Aves|Passeriformes|Muscicapidae|Ficedula|hypoleuca|Ficedula hypoleuca (Pallas, 1764)	117
Guembelitria cretacea Cushman, 1933	Chromista|Foraminifera|Globothalamea|Rotaliida|Guembelitriidae|Guembelitria|cretacea|Guembelitria cretacea Cushman, 1933	115
Gerbillus nanus Blanford, 1875	Animalia|Chordata|Mammalia|Rodentia|Muridae|Gerbillus|nanus|Gerbillus nanus Blanford, 1875	114
Globotruncanella Reiss, 1957	Protozoa||Granuloreticulosea|Foraminiferida||Globotruncanella||Globotruncanella Reiss, 1957	111
Rhinolophus mehelyi subsp. tuneti Deleuil & Labbe, 1955	Animalia|Chordata|Mammalia|Chiroptera|Rhinolophidae|Rhinolophus|mehelyi|Rhinolophus mehelyi subsp. tuneti Deleuil & Labbe, 1955	110
Globotruncanita Reiss, 1957	Protozoa||Granuloreticulosea|Foraminiferida||Globotruncanita||Globotruncanita Reiss, 1957	110
Galerida cristata (Linnaeus, 1758)	Animalia|Chordata|Aves|Passeriformes|Alaudidae|Galerida|cristata|Galerida cristata (Linnaeus, 1758)	109
Hordeum vulgare L.	Plantae|Magnoliophyta|Liliopsida|Poales|Poaceae|Hordeum|vulgare|Hordeum vulgare L.	106
Medicago intertexta (L.) Mill.	Plantae|Magnoliophyta|Magnoliopsida|Fabales|Fabaceae|Medicago|intertexta|Medicago intertexta (L.) Mill.	104
Triticum aestivum L.	Plantae|Tracheophyta|Liliopsida|Poales|Poaceae|Triticum|aestivum|Triticum aestivum L.	104
Triticum aestivum L.	Plantae|Magnoliophyta|Liliopsida|Poales|Poaceae|Triticum|aestivum|Triticum aestivum L.	104
Fringilla coelebs Linnaeus, 1758	Animalia|Chordata|Aves|Passeriformes|Fringillidae|Fringilla|coelebs|Fringilla coelebs Linnaeus, 1758	104
Hordeum vulgare L.	Plantae|Tracheophyta|Liliopsida|Poales|Poaceae|Hordeum|vulgare|Hordeum vulgare L.	103
Actinostreon Bayle, 1878	Animalia|Mollusca|Bivalvia|Ostreoida|Ostreidae|Actinostreon||Actinostreon Bayle, 1878	103
Passer hispaniolensis (Temminck, 1820)	Animalia|Chordata|Aves|Passeriformes|Passeridae|Passer|hispaniolensis|Passer hispaniolensis (Temminck, 1820)	101
Dentalina Risso, 1826	Protozoa||Granuloreticulosea|Foraminiferida|Nodosariidae|Dentalina||Dentalina Risso, 1826	100
Heterohelix navarroensis Loeblich, 1951	Chromista|Foraminifera|Globothalamea|Rotaliida|Heterohelicidae|Heterohelix|navarroensis|Heterohelix navarroensis Loeblich, 1951	99
Meriones shawi (Duvernoy, 1842)	Animalia|Chordata|Mammalia|Rodentia|Muridae|Meriones|shawi|Meriones shawi (Duvernoy, 1842)	99
Gyroidina d'Orbigny, 1826	Protozoa||Granuloreticulosea|Foraminiferida|Alabaminidae|Gyroidina||Gyroidina d'Orbigny, 1826	99
Sinorhizobium meliloti (Dangeard, 1926) De Lajudie et al., 1994	Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Rhizobiaceae|Ensifer|meliloti|Sinorhizobium meliloti (Dangeard, 1926) De Lajudie et al., 1994	96
Asellia tridens (E. Geoffroy, 1813)	Animalia|Chordata|Mammalia|Chiroptera|Rhinolophidae|Asellia|tridens|Asellia tridens (E. Geoffroy, 1813)	95
