taxonName	taxonPath	recordCount
Pelophylax ridibundus (Pallas, 1771)	Animalia|Chordata|Amphibia|Anura|Ranidae|Pelophylax|ridibundus|Pelophylax ridibundus (Pallas, 1771)	217
Teratoscincus scincus (Schlegel, 1858)	Animalia|Chordata|Reptilia|Squamata|Sphaerodactylidae|Teratoscincus|scincus|Teratoscincus scincus (Schlegel, 1858)	190
Bufo viridis Laurenti, 1768	Animalia|Chordata|Amphibia|Anura|Bufonidae|Pseudepidalea|viridis|Bufo viridis Laurenti, 1768	188
Phrynocephalus interscapularis Lichtenstein, 1856	Animalia|Chordata|Reptilia|Squamata|Agamidae|Phrynocephalus|interscapularis|Phrynocephalus interscapularis Lichtenstein, 1856	167
Typhlops vermicularis (Merrem, 1820)	Animalia|Chordata|Reptilia|Squamata|Typhlopidae|Typhlops|vermicularis|Typhlops vermicularis (Merrem, 1820)	166
Typhlops vermicularis Daudin, 1803	Animalia|Chordata|Reptilia|Squamata|Typhlopidae|Typhlops|vermicularis|Typhlops vermicularis Daudin, 1803	153
Eumeces taeniolatus Stoliczka, 1872	Animalia|Chordata|Reptilia|Squamata|Scincidae|Eurylepis|taeniolatus|Eumeces taeniolatus Stoliczka, 1872	147
Trapelus sanguinolentus (Pallas, 1814)	Animalia|Chordata|Reptilia|Squamata|Agamidae|Trapelus|sanguinolentus|Trapelus sanguinolentus (Pallas, 1814)	147
Laudakia caucasica Szczerbak, 2003	Animalia|Chordata|Reptilia|Squamata|Agamidae|Paralaudakia|caucasica|Laudakia caucasica Szczerbak, 2003	133
Laudakia caucasica Szczerbak, 2003	Animalia|Chordata|Reptilia|Squamata|Agamidae|Laudakia|caucasica|Laudakia caucasica Szczerbak, 2003	107
Crossobamon eversmanni (Wiegmann, 1834)	Animalia|Chordata|Reptilia|Squamata|Gekkonidae|Crossobamon|eversmanni|Crossobamon eversmanni (Wiegmann, 1834)	96
Hordeum vulgare L.	Plantae|Magnoliophyta|Liliopsida|Poales|Poaceae|Hordeum|vulgare|Hordeum vulgare L.	94
Eremias grammica (Lichtenstein, 1823)	Animalia|Chordata|Reptilia|Squamata|Lacertidae|Eremias|grammica|Eremias grammica (Lichtenstein, 1823)	91
Hordeum vulgare L.	Plantae|Tracheophyta|Liliopsida|Poales|Poaceae|Hordeum|vulgare|Hordeum vulgare L.	91
Trapelus sanguinolentus Pallas, 1814	Animalia|Chordata|Reptilia|Squamata|Agamidae|Trapelus|sanguinolentus|Trapelus sanguinolentus Pallas, 1814	71
Cyrtodactylus caspius Underwood, 1954	Animalia|Chordata|Reptilia|Squamata|Gekkonidae|Tenuidactylus|caspius|Cyrtodactylus caspius Underwood, 1954	65
Eremias velox (Pallas, 1771)	Animalia|Chordata|Reptilia|Squamata|Lacertidae|Eremias|velox|Eremias velox (Pallas, 1771)	64
Phrynocephalus helioscopus Pallas, 1773	Animalia|Chordata|Reptilia|Squamata|Agamidae|Phrynocephalus|helioscopus|Phrynocephalus helioscopus Pallas, 1773	64
Eremias intermedia (Strauch, 1876)	Animalia|Chordata|Reptilia|Squamata|Lacertidae|Eremias|intermedia|Eremias intermedia (Strauch, 1876)	60
Aegilops tauschii Coss.	Plantae|Magnoliophyta|Liliopsida|Poales|Poaceae|Aegilops|tauschii|Aegilops tauschii Coss.	58
Aegilops tauschii Coss.	Plantae|Tracheophyta|Liliopsida|Poales|Poaceae|Aegilops|tauschii|Aegilops tauschii Coss.	58
Phrynocephalus mystaceus (Pallas, 1776)	Animalia|Chordata|Reptilia|Squamata|Agamidae|Phrynocephalus|mystaceus|Phrynocephalus mystaceus (Pallas, 1776)	56
Phrynocephalus reticulatus subsp. bannikovi Darevsky, Rustamov & Shammakov, 1976	Animalia|Chordata|Reptilia|Squamata|Agamidae|Phrynocephalus|reticulatus|Phrynocephalus reticulatus subsp. bannikovi Darevsky, Rustamov & Shammakov, 1976	55
Bufo oblongus Nikolskii, 1896	Animalia|Chordata|Amphibia|Anura|Bufonidae|Pseudepidalea|oblongus|Bufo oblongus Nikolskii, 1896	52
Rana ridibunda Pallas, 1771	Animalia|Chordata|Amphibia|Anura|Ranidae|Pelophylax|ridibunda|Rana ridibunda Pallas, 1771	50
