taxonName	taxonPath	recordCount
Montastraea annularis (Ellis & Solander, 1786)	Animalia|Cnidaria|Anthozoa|Scleractinia|Faviidae|Montastraea|annularis|Montastraea annularis (Ellis & Solander, 1786)	1210
Montastraea faveolata (Ellis & Solander, 1786)	Animalia|Cnidaria|Anthozoa|Scleractinia|Faviidae|Montastraea|faveolata|Montastraea faveolata (Ellis & Solander, 1786)	844
Agaricia Lamarck, 1801	Animalia|Cnidaria|Anthozoa|Scleractinia|Agariciidae|Agaricia||Agaricia Lamarck, 1801	626
Siderastrea siderea (Ellis & Solander, 1786)	Animalia|Cnidaria|Anthozoa|Scleractinia|Siderastreidae|Siderastrea|siderea|Siderastrea siderea (Ellis & Solander, 1786)	526
Montastraea cavernosa Linnaeus, 1767	Animalia|Cnidaria|Anthozoa|Scleractinia|Faviidae|Montastraea|cavernosa|Montastraea cavernosa Linnaeus, 1767	526
Arenaria interpres (Linnaeus, 1758)	Animalia|Chordata|Aves|Charadriiformes|Scolopacidae|Arenaria|interpres|Arenaria interpres (Linnaeus, 1758)	458
Aves	Animalia|Chordata|Aves|||||Aves	448
Porites porites (Pallas, 1766)	Animalia|Cnidaria|Anthozoa|Scleractinia|Poritidae|Porites|porites|Porites porites (Pallas, 1766)	422
Porites astreoides Lamarck, 1816	Animalia|Cnidaria|Anthozoa|Scleractinia|Poritidae|Porites|astreoides|Porites astreoides Lamarck, 1816	390
Phoenicopterus ruber Linnaeus, 1758	Animalia|Chordata|Aves|Phoenicopteriformes|Phoenicopteridae|Phoenicopterus|ruber|Phoenicopterus ruber Linnaeus, 1758	387
Columbina passerina (Linnaeus, 1758)	Animalia|Chordata|Aves|Columbiformes|Columbidae|Columbina|passerina|Columbina passerina (Linnaeus, 1758)	344
Egretta tricolor (Statius Muller, 1776)	Animalia|Chordata|Aves|Pelecaniformes|Ardeidae|Egretta|tricolor|Egretta tricolor (Statius Muller, 1776)	326
Tringa flavipes (Gmelin, 1789)	Animalia|Chordata|Aves|Charadriiformes|Scolopacidae|Tringa|flavipes|Tringa flavipes (Gmelin, 1789)	326
Pelecanus occidentalis Linnaeus, 1766	Animalia|Chordata|Aves|Pelecaniformes|Pelecanidae|Pelecanus|occidentalis|Pelecanus occidentalis Linnaeus, 1766	300
Charadrius vociferus Linnaeus, 1758	Animalia|Chordata|Aves|Charadriiformes|Charadriidae|Charadrius|vociferus|Charadrius vociferus Linnaeus, 1758	279
Butorides virescens (Linnaeus, 1758)	Animalia|Chordata|Aves|Pelecaniformes|Ardeidae|Butorides|virescens|Butorides virescens (Linnaeus, 1758)	259
Himantopus mexicanus (Statius Muller, 1776)	Animalia|Chordata|Aves|Charadriiformes|Recurvirostridae|Himantopus|mexicanus|Himantopus mexicanus (Statius Muller, 1776)	251
