taxonName	taxonPath	recordCount
Ophiomyia cornuta de Meijere, 1910	Animalia|Arthropoda|Insecta|Diptera|Agromyzidae|Ophiomyia|cornuta|Ophiomyia cornuta de Meijere, 1910	4
Chironomus Meigen, 1803	Animalia|Arthropoda|Insecta|Diptera|Chironomidae|Chironomus||Chironomus Meigen, 1803	4
Pseudosmittia Goetghebuer, 1932	Animalia|Arthropoda|Insecta|Diptera|Chironomidae|Pseudosmittia||Pseudosmittia Goetghebuer, 1932	4
Spratelloides delicatulus (Bennett, 1832)	Animalia|Chordata|Actinopterygii|Clupeiformes|Clupeidae|Spratelloides|delicatulus|Spratelloides delicatulus (Bennett, 1832)	2
Tetranychus neocaledonicus André, 1933	Animalia|Arthropoda|Arachnida|Prostigmata|Tetranychidae|Tetranychus|neocaledonicus|Tetranychus neocaledonicus André, 1933	2
Lethrinus obsoletus (Forsskål, 1775)	Animalia|Chordata|Actinopterygii|Perciformes|Lethrinidae|Lethrinus|obsoletus|Lethrinus obsoletus (Forsskål, 1775)	2
Rissoina gemmea Hedley, 1899	Animalia|Mollusca|Gastropoda|Littorinimorpha|Rissoidae|Phosinella|gemmea|Rissoina gemmea Hedley, 1899	1
Nautilus Linnaeus, 1758	Animalia|Mollusca|Cephalopoda|Nautilida|Nautilidae|Nautilus||Nautilus Linnaeus, 1758	1
Cerithium nodulosum Bruguière, 1792	Animalia|Mollusca|Gastropoda||Cerithiidae|Cerithium|nodulosum|Cerithium nodulosum Bruguière, 1792	1
Stosicia bourguignati (Issel, 1869)	Animalia|Mollusca|Gastropoda|Littorinimorpha|Rissoidae|Stosicia|bourguignati|Stosicia bourguignati (Issel, 1869)	1
Bittium impendens (Hedley, 1899)	Animalia|Mollusca|Gastropoda||Cerithiidae|Bittium|impendens|Bittium impendens (Hedley, 1899)	1
Sabia australis (Lamarck, 1819)	Animalia|Mollusca|Gastropoda|Littorinimorpha|Hipponicidae|Sabia|australis|Sabia australis (Lamarck, 1819)	1
