taxonName	taxonPath	recordCount
Vanellus indicus (Boddaert, 1783)	Animalia|Chordata|Aves|Charadriiformes|Charadriidae|Vanellus|indicus|Vanellus indicus (Boddaert, 1783)	8997
Ardea cinerea Linnaeus, 1758	Animalia|Chordata|Aves|Pelecaniformes|Ardeidae|Ardea|cinerea|Ardea cinerea Linnaeus, 1758	7390
Passer domesticus (Linnaeus, 1758)	Animalia|Chordata|Aves|Passeriformes|Passeridae|Passer|domesticus|Passer domesticus (Linnaeus, 1758)	7095
Streptopelia senegalensis (Linnaeus, 1766)	Animalia|Chordata|Aves|Columbiformes|Columbidae|Streptopelia|senegalensis|Streptopelia senegalensis (Linnaeus, 1766)	6973
Circus aeruginosus (Linnaeus, 1758)	Animalia|Chordata|Aves|Accipitriformes|Accipitridae|Circus|aeruginosus|Circus aeruginosus (Linnaeus, 1758)	6933
Streptopelia decaocto (Frivaldszky, 1838)	Animalia|Chordata|Aves|Columbiformes|Columbidae|Streptopelia|decaocto|Streptopelia decaocto (Frivaldszky, 1838)	6668
Himantopus himantopus (Linnaeus, 1758)	Animalia|Chordata|Aves|Charadriiformes|Recurvirostridae|Himantopus|himantopus|Himantopus himantopus (Linnaeus, 1758)	6655
Pycnonotus leucotis (Gould, 1836)	Animalia|Chordata|Aves|Passeriformes|Pycnonotidae|Pycnonotus|leucotis|Pycnonotus leucotis (Gould, 1836)	6566
Galerida cristata (Linnaeus, 1758)	Animalia|Chordata|Aves|Passeriformes|Alaudidae|Galerida|cristata|Galerida cristata (Linnaeus, 1758)	6563
Merops orientalis Latham, 1802	Animalia|Chordata|Aves|Coraciiformes|Meropidae|Merops|orientalis|Merops orientalis Latham, 1802	6330
Motacilla alba Linnaeus, 1758	Animalia|Chordata|Aves|Passeriformes|Motacillidae|Motacilla|alba|Motacilla alba Linnaeus, 1758	6218
Lanius meridionalis Temminck, 1820	Animalia|Chordata|Aves|Passeriformes|Laniidae|Lanius|meridionalis|Lanius meridionalis Temminck, 1820	5564
Acridotheres tristis (Linnaeus, 1766)	Animalia|Chordata|Aves|Passeriformes|Sturnidae|Acridotheres|tristis|Acridotheres tristis (Linnaeus, 1766)	5436
Prinia gracilis (Lichtenstein, 1823)	Animalia|Chordata|Aves|Passeriformes|Cisticolidae|Prinia|gracilis|Prinia gracilis (Lichtenstein, 1823)	5301
Oenanthe isabellina (Temminck, 1829)	Animalia|Chordata|Aves|Passeriformes|Muscicapidae|Oenanthe|isabellina|Oenanthe isabellina (Temminck, 1829)	5210
Coracias benghalensis (Linnaeus, 1758)	Animalia|Chordata|Aves|Coraciiformes|Coraciidae|Coracias|benghalensis|Coracias benghalensis (Linnaeus, 1758)	5207
Calidris minuta (Leisler, 1812)	Animalia|Chordata|Aves|Charadriiformes|Scolopacidae|Calidris|minuta|Calidris minuta (Leisler, 1812)	5093
Francolinus pondicerianus (Gmelin, 1789)	Animalia|Chordata|Aves|Galliformes|Phasianidae|Francolinus|pondicerianus|Francolinus pondicerianus (Gmelin, 1789)	5009
Charadrius alexandrinus Linnaeus, 1758	Animalia|Chordata|Aves|Charadriiformes|Charadriidae|Charadrius|alexandrinus|Charadrius alexandrinus Linnaeus, 1758	4982
Bubulcus ibis (Linnaeus, 1758)	Animalia|Chordata|Aves|Pelecaniformes|Ardeidae|Bubulcus|ibis|Bubulcus ibis (Linnaeus, 1758)	4660
Tachybaptus ruficollis (Pallas, 1764)	Animalia|Chordata|Aves|Podicipediformes|Podicipedidae|Tachybaptus|ruficollis|Tachybaptus ruficollis (Pallas, 1764)	4478
Hirundo rustica Linnaeus, 1758	Animalia|Chordata|Aves|Passeriformes|Hirundinidae|Hirundo|rustica|Hirundo rustica Linnaeus, 1758	4395
Phoenicopterus roseus Pallas, 1811	Animalia|Chordata|Aves|Phoenicopteriformes|Phoenicopteridae|Phoenicopterus|roseus|Phoenicopterus roseus Pallas, 1811	4394
Actitis hypoleucos (Linnaeus, 1758)	Animalia|Chordata|Aves|Charadriiformes|Scolopacidae|Actitis|hypoleucos|Actitis hypoleucos (Linnaeus, 1758)	4375
Gallinago gallinago (Linnaeus, 1758)	Animalia|Chordata|Aves|Charadriiformes|Scolopacidae|Gallinago|gallinago|Gallinago gallinago (Linnaeus, 1758)	4183
Egretta gularis (Bosc, 1792)	Animalia|Chordata|Aves|Pelecaniformes|Ardeidae|Egretta|gularis|Egretta gularis (Bosc, 1792)	4044
Gallinula chloropus (Linnaeus, 1758)	Animalia|Chordata|Aves|Gruiformes|Rallidae|Gallinula|chloropus|Gallinula chloropus (Linnaeus, 1758)	4041
Chroicocephalus ridibundus (Linnaeus, 1766)	Animalia|Chordata|Aves|Charadriiformes|Laridae|Chroicocephalus|ridibundus|Chroicocephalus ridibundus (Linnaeus, 1766)	3943
Anas platyrhynchos Linnaeus, 1758	Animalia|Chordata|Aves|Anseriformes|Anatidae|Anas|platyrhynchos|Anas platyrhynchos Linnaeus, 1758	3917
Columba livia Gmelin, 1789	Animalia|Chordata|Aves|Columbiformes|Columbidae|Columba|livia|Columba livia Gmelin, 1789	3854
Motacilla flava Linnaeus, 1758	Animalia|Chordata|Aves|Passeriformes|Motacillidae|Motacilla|flava|Motacilla flava Linnaeus, 1758	3853
Falco tinnunculus Linnaeus, 1758	Animalia|Chordata|Aves|Falconiformes|Falconidae|Falco|tinnunculus|Falco tinnunculus Linnaeus, 1758	3746
Tringa nebularia (Gunnerus, 1767)	Animalia|Chordata|Aves|Charadriiformes|Scolopacidae|Tringa|nebularia|Tringa nebularia (Gunnerus, 1767)	3735
Anthus spinoletta (Linnaeus, 1758)	Animalia|Chordata|Aves|Passeriformes|Motacillidae|Anthus|spinoletta|Anthus spinoletta (Linnaeus, 1758)	3717
Calidris temminckii (Leisler, 1812)	Animalia|Chordata|Aves|Charadriiformes|Scolopacidae|Calidris|temminckii|Calidris temminckii (Leisler, 1812)	3639
Motacilla citreola Pallas, 1776	Animalia|Chordata|Aves|Passeriformes|Motacillidae|Motacilla|citreola|Motacilla citreola Pallas, 1776	3624
Anas crecca Linnaeus, 1758	Animalia|Chordata|Aves|Anseriformes|Anatidae|Anas|crecca|Anas crecca Linnaeus, 1758	3622
Anthus campestris (Linnaeus, 1758)	Animalia|Chordata|Aves|Passeriformes|Motacillidae|Anthus|campestris|Anthus campestris (Linnaeus, 1758)	3612
Vanellus leucurus (Lichtenstein, 1823)	Animalia|Chordata|Aves|Charadriiformes|Charadriidae|Vanellus|leucurus|Vanellus leucurus (Lichtenstein, 1823)	3548
Apus pallidus (Shelley, 1870)	Animalia|Chordata|Aves|Apodiformes|Apodidae|Apus|pallidus|Apus pallidus (Shelley, 1870)	3538
Tringa glareola Linnaeus, 1758	Animalia|Chordata|Aves|Charadriiformes|Scolopacidae|Tringa|glareola|Tringa glareola Linnaeus, 1758	3505
Tringa totanus (Linnaeus, 1758)	Animalia|Chordata|Aves|Charadriiformes|Scolopacidae|Tringa|totanus|Tringa totanus (Linnaeus, 1758)	3454
Oenanthe deserti (Temminck, 1825)	Animalia|Chordata|Aves|Passeriformes|Muscicapidae|Oenanthe|deserti|Oenanthe deserti (Temminck, 1825)	3351
Charadrius hiaticula Linnaeus, 1758	Animalia|Chordata|Aves|Charadriiformes|Charadriidae|Charadrius|hiaticula|Charadrius hiaticula Linnaeus, 1758	3315
Pycnonotus cafer (Linnaeus, 1766)	Animalia|Chordata|Aves|Passeriformes|Pycnonotidae|Pycnonotus|cafer|Pycnonotus cafer (Linnaeus, 1766)	3309
Charadrius dubius Scopoli, 1786	Animalia|Chordata|Aves|Charadriiformes|Charadriidae|Charadrius|dubius|Charadrius dubius Scopoli, 1786	3293
Tringa ochropus Linnaeus, 1758	Animalia|Chordata|Aves|Charadriiformes|Scolopacidae|Tringa|ochropus|Tringa ochropus Linnaeus, 1758	3283
Upupa epops Linnaeus, 1758	Animalia|Chordata|Aves|Bucerotiformes|Upupidae|Upupa|epops|Upupa epops Linnaeus, 1758	3222
Plegadis falcinellus (Linnaeus, 1766)	Animalia|Chordata|Aves|Pelecaniformes|Threskiornithidae|Plegadis|falcinellus|Plegadis falcinellus (Linnaeus, 1766)	2962
Psittacula krameri (Scopoli, 1769)	Animalia|Chordata|Aves|Psittaciformes|Psittacidae|Psittacula|krameri|Psittacula krameri (Scopoli, 1769)	2950
Upupa epops Linnaeus, 1758	Animalia|Chordata|Aves|Upupiformes|Upupidae|Upupa|epops|Upupa epops Linnaeus, 1758	2862
Egretta garzetta (Linnaeus, 1766)	Animalia|Chordata|Aves|Pelecaniformes|Ardeidae|Egretta|garzetta|Egretta garzetta (Linnaeus, 1766)	2791
Anas clypeata Linnaeus, 1758	Animalia|Chordata|Aves|Anseriformes|Anatidae|Anas|clypeata|Anas clypeata Linnaeus, 1758	2779
Oenanthe albonigra (Hume, 1872)	Animalia|Chordata|Aves|Passeriformes|Muscicapidae|Oenanthe|albonigra|Oenanthe albonigra (Hume, 1872)	2774
Cinnyris asiaticus (Latham, 1790)	Animalia|Chordata|Aves|Passeriformes|Nectariniidae|Cinnyris|asiaticus|Cinnyris asiaticus (Latham, 1790)	2597
Ardea alba Linnaeus, 1758	Animalia|Chordata|Aves|Pelecaniformes|Ardeidae|Ardea|alba|Ardea alba Linnaeus, 1758	2567
Lanius phoenicuroides (Schalow, 1875)	Animalia|Chordata|Aves|Passeriformes|Laniidae|Lanius|phoenicuroides|Lanius phoenicuroides (Schalow, 1875)	2421
Luscinia svecica (Linnaeus, 1758)	Animalia|Chordata|Aves|Passeriformes|Muscicapidae|Luscinia|svecica|Luscinia svecica (Linnaeus, 1758)	2320
Merops persicus Pallas, 1773	Animalia|Chordata|Aves|Coraciiformes|Meropidae|Merops|persicus|Merops persicus Pallas, 1773	2287
Cinnyris asiaticus	Animalia|Chordata|Aves|Passeriformes|Nectariniidae|Cinnyris|asiaticus|Cinnyris asiaticus	2274
Calidris alpina (Linnaeus, 1758)	Animalia|Chordata|Aves|Charadriiformes|Scolopacidae|Calidris|alpina|Calidris alpina (Linnaeus, 1758)	2237
Phalacrocorax carbo (Linnaeus, 1758)	Animalia|Chordata|Aves|Suliformes|Phalacrocoracidae|Phalacrocorax|carbo|Phalacrocorax carbo (Linnaeus, 1758)	2214
Chroicocephalus genei (Breme, 1839)	Animalia|Chordata|Aves|Charadriiformes|Laridae|Chroicocephalus|genei|Chroicocephalus genei (Breme, 1839)	2182
Acridotheres ginginianus (Latham, 1790)	Animalia|Chordata|Aves|Passeriformes|Sturnidae|Acridotheres|ginginianus|Acridotheres ginginianus (Latham, 1790)	2174
Numenius arquata (Linnaeus, 1758)	Animalia|Chordata|Aves|Charadriiformes|Scolopacidae|Numenius|arquata|Numenius arquata (Linnaeus, 1758)	2127
Limosa limosa (Linnaeus, 1758)	Animalia|Chordata|Aves|Charadriiformes|Scolopacidae|Limosa|limosa|Limosa limosa (Linnaeus, 1758)	2122
Calidris Merrem, 1804	Animalia|Chordata|Aves|Charadriiformes|Scolopacidae|Calidris||Calidris Merrem, 1804	2117
Calidris pugnax (Linnaeus, 1758)	Animalia|Chordata|Aves|Charadriiformes|Scolopacidae|Philomachus|pugnax|Calidris pugnax (Linnaeus, 1758)	2093
Ammomanes deserti (Lichtenstein, 1823)	Animalia|Chordata|Aves|Passeriformes|Alaudidae|Ammomanes|deserti|Ammomanes deserti (Lichtenstein, 1823)	2069
Calidris ferruginea (Pontoppidan, 1763)	Animalia|Chordata|Aves|Charadriiformes|Scolopacidae|Calidris|ferruginea|Calidris ferruginea (Pontoppidan, 1763)	2033
Anthus cervinus (Pallas, 1811)	Animalia|Chordata|Aves|Passeriformes|Motacillidae|Anthus|cervinus|Anthus cervinus (Pallas, 1811)	2011
Riparia riparia (Linnaeus, 1758)	Animalia|Chordata|Aves|Passeriformes|Hirundinidae|Riparia|riparia|Riparia riparia (Linnaeus, 1758)	2011
Pterocles exustus Temminck, 1825	Animalia|Chordata|Aves|Pteroclidiformes|Pteroclididae|Pterocles|exustus|Pterocles exustus Temminck, 1825	2010
Ptyonoprogne fuligula (Lichtenstein, 1842)	Animalia|Chordata|Aves|Passeriformes|Hirundinidae|Ptyonoprogne|fuligula|Ptyonoprogne fuligula (Lichtenstein, 1842)	1988
Corvus splendens Vieillot, 1817	Animalia|Chordata|Aves|Passeriformes|Corvidae|Corvus|splendens|Corvus splendens Vieillot, 1817	1970
Chlidonias hybrida (Pallas, 1811)	Animalia|Chordata|Aves|Charadriiformes|Laridae|Chlidonias|hybrida|Chlidonias hybrida (Pallas, 1811)	1960
Ardea purpurea Linnaeus, 1766	Animalia|Chordata|Aves|Pelecaniformes|Ardeidae|Ardea|purpurea|Ardea purpurea Linnaeus, 1766	1929
Anas acuta Linnaeus, 1758	Animalia|Chordata|Aves|Anseriformes|Anatidae|Anas|acuta|Anas acuta Linnaeus, 1758	1918
Phoenicurus ochruros (S. G. Gmelin, 1774)	Animalia|Chordata|Aves|Passeriformes|Muscicapidae|Phoenicurus|ochruros|Phoenicurus ochruros (S. G. Gmelin, 1774)	1901
Sylvia minula Hume, 1873	Animalia|Chordata|Aves|Passeriformes|Sylviidae|Sylvia|minula|Sylvia minula Hume, 1873	1890
Oenanthe pleschanka (Lepechin, 1770)	Animalia|Chordata|Aves|Passeriformes|Muscicapidae|Oenanthe|pleschanka|Oenanthe pleschanka (Lepechin, 1770)	1880
Pluvialis squatarola (Linnaeus, 1758)	Animalia|Chordata|Aves|Charadriiformes|Charadriidae|Pluvialis|squatarola|Pluvialis squatarola (Linnaeus, 1758)	1841
Tringa stagnatilis (Bechstein, 1803)	Animalia|Chordata|Aves|Charadriiformes|Scolopacidae|Tringa|stagnatilis|Tringa stagnatilis (Bechstein, 1803)	1821
Ptyonoprogne fuligula	Animalia|Chordata|Aves|Passeriformes|Hirundinidae|Ptyonoprogne|fuligula|Ptyonoprogne fuligula	1771
Fulica atra Linnaeus, 1758	Animalia|Chordata|Aves|Gruiformes|Rallidae|Fulica|atra|Fulica atra Linnaeus, 1758	1756
Lanius isabellinus Hemprich & Ehrenberg, 1833	Animalia|Chordata|Aves|Passeriformes|Laniidae|Lanius|isabellinus|Lanius isabellinus Hemprich & Ehrenberg, 1833	1745
Gelochelidon nilotica (Gmelin, 1789)	Animalia|Chordata|Aves|Charadriiformes|Laridae|Gelochelidon|nilotica|Gelochelidon nilotica (Gmelin, 1789)	1669
Euodice malabarica (Linnaeus, 1758)	Animalia|Chordata|Aves|Passeriformes|Estrildidae|Euodice|malabarica|Euodice malabarica (Linnaeus, 1758)	1648
Anthus richardi Vieillot, 1818	Animalia|Chordata|Aves|Passeriformes|Motacillidae|Anthus|richardi|Anthus richardi Vieillot, 1818	1614
