taxonName	taxonPath	recordCount
	|||||||	1239
Plantae	Plantae|||||||Plantae	184
Triphoridae	Animalia|Mollusca|Gastropoda||Triphoridae|||Triphoridae	176
Lepidodactylus lugubris Duméril & Bibron, 1836	Animalia|Chordata|Reptilia|Squamata|Gekkonidae|Lepidodactylus|lugubris|Lepidodactylus lugubris Duméril & Bibron, 1836	147
Hypnaceae	Plantae|Bryophyta|Bryopsida|Hypnales|Hypnaceae|||Hypnaceae	144
Collocalia esculenta (Linnaeus, 1758)	Animalia|Chordata|Aves|Apodiformes|Apodidae|Collocalia|esculenta|Collocalia esculenta (Linnaeus, 1758)	137
Acridotheres tristis (Linnaeus, 1766)	Animalia|Chordata|Aves|Passeriformes|Sturnidae|Acridotheres|tristis|Acridotheres tristis (Linnaeus, 1766)	134
Trichoglossus haematodus (Linnaeus, 1771)	Animalia|Chordata|Aves|Psittaciformes|Psittacidae|Trichoglossus|haematodus|Trichoglossus haematodus (Linnaeus, 1771)	125
Leptogium (Ach.) Gray	Fungi|Ascomycota|Lecanoromycetes|Peltigerales|Collemataceae|Leptogium||Leptogium (Ach.) Gray	119
Anopheles farauti Laveran, 1902	Animalia|Arthropoda|Insecta|Diptera|Culicidae|Anopheles|farauti|Anopheles farauti Laveran, 1902	118
Lichmera incana (Latham, 1790)	Animalia|Chordata|Aves|Passeriformes|Meliphagidae|Lichmera|incana|Lichmera incana (Latham, 1790)	113
Todiramphus chloris (Boddaert, 1783)	Animalia|Chordata|Aves|Coraciiformes|Alcedinidae|Todiramphus|chloris|Todiramphus chloris (Boddaert, 1783)	108
Lophiotoma acuta (Perry, 1811)	Animalia|Mollusca|Gastropoda|Neogastropoda|Turridae|Lophiotoma|acuta|Lophiotoma acuta (Perry, 1811)	106
Chalcophaps indica (Linnaeus, 1758)	Animalia|Chordata|Aves|Columbiformes|Columbidae|Chalcophaps|indica|Chalcophaps indica (Linnaeus, 1758)	102
Floribundaria floribunda Fleischer, 1905	Plantae|Bryophyta|Bryopsida|Leucodontales|Meteoriaceae|Floribundaria|floribunda|Floribundaria floribunda Fleischer, 1905	101
Zosterops lateralis (Latham, 1802)	Animalia|Chordata|Aves|Passeriformes|Zosteropidae|Zosterops|lateralis|Zosterops lateralis (Latham, 1802)	99
Aerodramus vanikorensis (Quoy & Gaimard, 1830)	Animalia|Chordata|Aves|Apodiformes|Apodidae|Aerodramus|vanikorensis|Aerodramus vanikorensis (Quoy & Gaimard, 1830)	98
Ptilinopus greyii Bonaparte, 1857	Animalia|Chordata|Aves|Columbiformes|Columbidae|Ptilinopus|greyii|Ptilinopus greyii Bonaparte, 1857	97
Terebra succincta (Gmelin, 1791)	Animalia|Mollusca|Gastropoda|Neogastropoda|Terebridae|Terebra|succincta|Terebra succincta (Gmelin, 1791)	87
Nassarius Dumeril, 1806	Animalia|Mollusca|Gastropoda|Neogastropoda|Nassariidae|Nassarius||Nassarius Dumeril, 1806	81
Emoia cyanura (Lesson, 1826)	Animalia|Chordata|Reptilia|Squamata|Scincidae|Emoia|cyanura|Emoia cyanura (Lesson, 1826)	77
Artamus leucorynchus (Linnaeus, 1771)	Animalia|Chordata|Aves|Passeriformes|Artamidae|Artamus|leucorynchus|Artamus leucorynchus (Linnaeus, 1771)	77
