taxonName	taxonPath	recordCount
Euryhaliotrematoides microphallus (Yamaguti, 1968)	Animalia|Platyhelminthes|Monogenea|Dactylogyridea|Dactylogyridae|Euryhaliotrematoides|microphallus|Euryhaliotrematoides microphallus (Yamaguti, 1968)	26
Pseudohaliotrematoides aurigae Yamaguti, 1968	Animalia|Platyhelminthes|Monogenea|Dactylogyridea|Dactylogyridae|Haliotrema|aurigae|Pseudohaliotrematoides aurigae Yamaguti, 1968	21
Euryhaliotrematoides microphallus (Yamaguti, 1968)	Animalia|Platyhelminthes|Trematoda|Monopisthocotylea|Dactylogyridae|Euryhaliotrematoides|microphallus|Euryhaliotrematoides microphallus (Yamaguti, 1968)	18
Tetranychus lambi Pritchard & Baker, 1955	Animalia|Arthropoda|Arachnida|Prostigmata|Tetranychidae|Tetranychus|lambi|Tetranychus lambi Pritchard & Baker, 1955	10
Pseudohaliotrematoides Yamaguti, 1953	Animalia|Platyhelminthes|Trematoda|||Pseudohaliotrematoides||Pseudohaliotrematoides Yamaguti, 1953	10
Euryhaliotrematoides grandis (Mizelle & Kritsky, 1969)	Animalia|Platyhelminthes|Monogenea|Dactylogyridea|Dactylogyridae|Euryhaliotrematoides|grandis|Euryhaliotrematoides grandis (Mizelle & Kritsky, 1969)	8
Tetranychus neocaledonicus André, 1933	Animalia|Arthropoda|Arachnida|Prostigmata|Tetranychidae|Tetranychus|neocaledonicus|Tetranychus neocaledonicus André, 1933	8
Euryhaliotrematoides triangulovagina (Yamaguti, 1968)	Animalia|Platyhelminthes|Monogenea|Dactylogyridea|Dactylogyridae|Euryhaliotrematoides|triangulovagina|Euryhaliotrematoides triangulovagina (Yamaguti, 1968)	7
Oligonychus biharensis (Hirst, 1924)	Animalia|Arthropoda|Arachnida|Prostigmata|Tetranychidae|Oligonychus|biharensis|Oligonychus biharensis (Hirst, 1924)	6
Diospyros samoensis A.Gray	Plantae|Tracheophyta|Magnoliopsida|Ericales|Ebenaceae|Diospyros|samoensis|Diospyros samoensis A.Gray	6
Euryhaliotrematoides aspistis Plaisance & Kritsky, 2004	Animalia|Platyhelminthes|Monogenea|Dactylogyridea|Dactylogyridae|Euryhaliotrematoides|aspistis|Euryhaliotrematoides aspistis Plaisance & Kritsky, 2004	5
Aliatrema cribbi Plaisance & Kritsky, 2004	Animalia|Platyhelminthes|Monogenea|Dactylogyridea|Ancyrocephalidae|Aliatrema|cribbi|Aliatrema cribbi Plaisance & Kritsky, 2004	5
Euryhaliotrematoides annulocirrus (Yamaguti, 1968)	Animalia|Platyhelminthes|Monogenea|Dactylogyridea|Dactylogyridae|Haliotrema|annulocirrus|Euryhaliotrematoides annulocirrus (Yamaguti, 1968)	5
Dryopteridaceae Ching	Plantae|Pteridophyta|Polypodiopsida|Polypodiales|Dryopteridaceae|||Dryopteridaceae Ching	5
