taxonName	taxonPath	recordCount
Sorghum bicolor (L.) Moench	Plantae|Magnoliophyta|Liliopsida|Poales|Poaceae|Sorghum|bicolor|Sorghum bicolor (L.) Moench	1954
Sorghum bicolor (L.) Moench	Plantae|Tracheophyta|Liliopsida|Poales|Poaceae|Sorghum|bicolor|Sorghum bicolor (L.) Moench	1383
	|||||||	1021
Sorghum bicolor subsp. bicolor	Plantae|Tracheophyta|Liliopsida|Poales|Poaceae|Sorghum|bicolor|Sorghum bicolor subsp. bicolor	571
Pennisetum glaucum (L.) R.Br.	Plantae|Magnoliophyta|Liliopsida|Poales|Poaceae|Pennisetum|glaucum|Pennisetum glaucum (L.) R.Br.	307
Pennisetum glaucum (L.) R.Br.	Plantae|Tracheophyta|Liliopsida|Poales|Poaceae|Pennisetum|glaucum|Pennisetum glaucum (L.) R.Br.	303
Rhinolophus blasii subsp. blasii	Animalia|Chordata|Mammalia|Chiroptera|Rhinolophidae|Rhinolophus|blasii|Rhinolophus blasii subsp. blasii	200
Thomisus Walckenaer, 1805	Animalia|Arthropoda|Arachnida|Araneae|Thomisidae|Thomisus||Thomisus Walckenaer, 1805	119
Rattus rattus (Linnaeus, 1758)	Animalia|Chordata|Mammalia|Rodentia|Muridae|Rattus|rattus|Rattus rattus (Linnaeus, 1758)	108
Trioza erytreae (Del Guercio, 1918)	Animalia|Arthropoda|Insecta|Hemiptera|Triozidae|Trioza|erytreae|Trioza erytreae (Del Guercio, 1918)	94
Nycteris thebaica subsp. adana K. Anderen, 1912	Animalia|Chordata|Mammalia|Chiroptera|Nycteridae|Nycteris|thebaica|Nycteris thebaica subsp. adana K. Anderen, 1912	76
Scrophulariaceae Juss.	Plantae|Magnoliophyta|Magnoliopsida|Lamiales|Scrophulariaceae|||Scrophulariaceae Juss.	73
Heliotropium L.	Plantae|Magnoliophyta|Magnoliopsida|Boraginales|Boraginaceae|Heliotropium||Heliotropium L.	67
Heliotropium L.	Plantae|Tracheophyta|Magnoliopsida|Boraginales|Boraginaceae|Heliotropium||Heliotropium L.	61
Diaphorina linnavuorii Loginova, 1978	Animalia|Arthropoda|Insecta|Hemiptera|Liviidae|Diaphorina|linnavuorii|Diaphorina linnavuorii Loginova, 1978	59
Scopula Schrank, 1802	Animalia|Arthropoda|Insecta|Lepidoptera|Geometridae|Scopula||Scopula Schrank, 1802	58
Lepidoptera	Animalia|Arthropoda|Insecta|Lepidoptera||||Lepidoptera	55
Rhinolophus clivosus subsp. acrotis Heuglin, 1861	Animalia|Chordata|Mammalia|Chiroptera|Rhinolophidae|Rhinolophus|clivosus|Rhinolophus clivosus subsp. acrotis Heuglin, 1861	52
Indigofera L.	Plantae|Magnoliophyta|Magnoliopsida|Fabales|Fabaceae|Indigofera||Indigofera L.	50
Mus musculus Linnaeus, 1758	Animalia|Chordata|Mammalia|Rodentia|Muridae|Mus|musculus|Mus musculus Linnaeus, 1758	49
Lindenbergia indica Vatke	Plantae|Magnoliophyta|Magnoliopsida|Lamiales|Scrophulariaceae|Lindenbergia|indica|Lindenbergia indica Vatke	49
Euphorbia L.	Plantae|Magnoliophyta|Magnoliopsida|Malpighiales|Euphorbiaceae|Euphorbia||Euphorbia L.	48
Idaea Treitschke, 1825	Animalia|Arthropoda|Insecta|Lepidoptera|Geometridae|Idaea||Idaea Treitschke, 1825	45
Indigofera L.	Plantae|Tracheophyta|Magnoliopsida|Fabales|Fabaceae|Indigofera||Indigofera L.	45
