occurrenceID	taxonID
CT100000	T100000
CT100007	T100007
CT100014	T100014
CT100017	T100017
CT100020	T100020
CT100025	T100025
CT100028	T100028
CT100032	T100032
CT100033	T100033
CT100036	T100036
CT100040	T100040
CT100044	T100044
CT100048	T100048
CT100050	T100050
CT100055	T100055
CT100057	T100057
CT100060	T100060
CT100062	T100062
CT100065	T100065
CT100067	T100067
CT100072	T100072
CT100074	T100074
CT100075	T100075
CT100079	T100079
CT100082	T100082
CT100085	T100085
CT100087	T100087
CT100091	T100091
CT100094	T100094
CT100096	T100096
CT100098	T100098
CT100099	T100099
CT100100	T100100
CT100106	T100106
CT100109	T100109
CT100110	T100110
CT100111	T100111
CT100112	T100112
CT100114	T100114
CT100116	T100116
CT100121	T100121
CT100122	T100122
CT100123	T100123
CT100125	T100125
CT100130	T100130
CT100131	T100131
CT100135	T100135
CT100136	T100136
CT100137	T100137
CT100141	T100141
CT100144	T100144
CT100151	T100151
CT100153	T100153
CT100155	T100155
CT100158	T100158
CT100159	T100159
CT100163	T100163
CT100166	T100166
CT100168	T100168
CT100171	T100171
CT100175	T100175
CT100176	T100176
CT100177	T100177
CT100181	T100181
CT100183	T100183
CT100185	T100185
CT100188	T100188
CT100189	T100189
CT100193	T100193
CT100198	T100198
CT100199	T100199
CT100203	T100203
CT100205	T100205
CT100210	T100210
CT100213	T100213
CT100216	T100216
CT100222	T100222
CT100223	T100223
CT100225	T100225
CT100227	T100227
CT100230	T100230
CT100233	T100233
CT100235	T100235
CT100237	T100237
CT100241	T100241
CT100242	T100242
CT100243	T100243
CT100246	T100246
CT100249	T100249
CT100251	T100251
CT100254	T100254
CT100257	T100257
CT100258	T100258
CT100261	T100261
CT100262	T100262
CT100263	T100263
CT100264	T100264
CT100267	T100267
CT100269	T100269
CT100270	T100270
CT100273	T100273
CT100274	T100274
CT100275	T100275
CT100279	T100279
CT100282	T100282
CT100283	T100283
CT100286	T100286
CT100289	T100289
CT100290	T100290
CT100292	T100292
CT100294	T100294
CT100295	T100295
CT100296	T100296
CT100300	T100300
CT100304	T100304
CT100305	T100305
CT100306	T100306
CT100307	T100307
CT100309	T100309
CT100313	T100313
CT100317	T100317
CT100318	T100318
CT100320	T100320
CT100321	T100321
CT100325	T100325
CT100327	T100327
CT100328	T100328
CT100331	T100331
CT100333	T100333
CT100337	T100337
CT100339	T100339
CT100340	T100340
CT100341	T100341
CT100344	T100344
CT100348	T100348
CT100350	T100350
CT100353	T100353
CT100357	T100357
CT100358	T100358
CT100360	T100360
CT100364	T100364
CT100366	T100366
CT100367	T100367
CT100369	T100369
CT100370	T100370
CT100371	T100371
CT100377	T100377
CT100379	T100379
CT100381	T100381
CT100382	T100382
CT100384	T100384
CT100385	T100385
CT100386	T100386
CT100387	T100387
CT100389	T100389
CT100391	T100391
CT100392	T100392
CT100394	T100394
CT100395	T100395
CT100396	T100396
CT100398	T100398
CT100401	T100401
CT100402	T100402
CT100404	T100404
CT100409	T100409
CT100410	T100410
CT100411	T100411
CT100413	T100413
CT100416	T100416
CT100419	T100419
CT100420	T100420
CT100422	T100422
CT100424	T100424
CT100428	T100428
CT100432	T100432
CT100435	T100435
CT100439	T100439
CT100443	T100443
CT100444	T100444
CT100446	T100446
CT100448	T100448
CT100450	T100450
CT100451	T100451
CT100452	T100452
CT100456	T100456
CT100457	T100457
CT100459	T100459
CT100463	T100463
CT100465	T100465
CT100469	T100469
CT100470	T100470
CT100474	T100474
CT100479	T100479
CT100480	T100480
CT100482	T100482
CT100484	T100484
CT100486	T100486
CT100489	T100489
CT100491	T100491
CT100493	T100493
CT100495	T100495
CT100496	T100496
CT100498	T100498
CT100500	T100500
CT100501	T100501
CT100502	T100502
CT100504	T100504
CT100510	T100510
CT100512	T100512
CT100514	T100514
CT100517	T100517
CT100521	T100521
CT100524	T100524
CT100526	T100526
CT100527	T100527
CT100530	T100530
CT100531	T100531
CT100532	T100532
CT100533	T100533
CT100535	T100535
CT100538	T100538
CT100539	T100539
CT100541	T100541
CT100545	T100545
CT100547	T100547
CT100548	T100548
CT100550	T100550
CT100551	T100551
CT100555	T100555
CT100557	T100557
CT100558	T100558
CT100561	T100561
CT100562	T100562
CT100564	T100564
CT100568	T100568
CT100571	T100571
CT100573	T100573
CT100577	T100577
CT100579	T100579
CT100581	T100581
CT100582	T100582
CT100583	T100583
CT100586	T100586
CT100587	T100587
CT100590	T100590
CT100593	T100593
CT100595	T100595
CT100596	T100596
CT100597	T100597
CT100603	T100603
CT100607	T100607
CT100611	T100611
CT100612	T100612
CT100614	T100614
CT100618	T100618
CT100619	T100619
CT100620	T100620
CT100623	T100623
CT100624	T100624
