occurrenceID	taxonID
CT100000	T100000
CT100007	T100007
CT100013	T100013
CT100016	T100016
CT100018	T100018
CT100021	T100021
CT100024	T100024
CT100026	T100026
CT100028	T100028
CT100031	T100031
CT100034	T100034
CT100038	T100038
CT100040	T100040
CT100043	T100043
CT100046	T100046
CT100053	T100053
CT100054	T100054
CT100059	T100059
CT100061	T100061
CT100062	T100062
CT100064	T100064
CT100066	T100066
CT100068	T100068
CT100070	T100070
CT100074	T100074
CT100075	T100075
CT100077	T100077
CT100081	T100081
CT100085	T100085
CT100088	T100088
CT100091	T100091
CT100095	T100095
CT100097	T100097
CT100099	T100099
CT100102	T100102
CT100103	T100103
CT100107	T100107
CT100108	T100108
CT100111	T100111
CT100113	T100113
CT100118	T100118
CT100123	T100123
CT100128	T100128
CT100129	T100129
CT100132	T100132
CT100135	T100135
CT100140	T100140
CT100141	T100141
CT100145	T100145
CT100149	T100149
CT100151	T100151
CT100152	T100152
CT100156	T100156
CT100157	T100157
CT100161	T100161
CT100163	T100163
CT100164	T100164
CT100168	T100168
CT100172	T100172
CT100174	T100174
CT100179	T100179
CT100181	T100181
CT100182	T100182
CT100184	T100184
CT100185	T100185
CT100186	T100186
CT100190	T100190
CT100192	T100192
CT100195	T100195
CT100197	T100197
CT100198	T100198
CT100199	T100199
CT100202	T100202
CT100205	T100205
CT100207	T100207
CT100210	T100210
CT100213	T100213
CT100217	T100217
CT100219	T100219
CT100220	T100220
CT100222	T100222
CT100223	T100223
CT100227	T100227
CT100233	T100233
CT100237	T100237
CT100242	T100242
CT100244	T100244
CT100245	T100245
CT100247	T100247
CT100248	T100248
CT100250	T100250
CT100253	T100253
CT100254	T100254
CT100256	T100256
CT100261	T100261
CT100263	T100263
CT100265	T100265
CT100269	T100269
CT100272	T100272
CT100274	T100274
CT100276	T100276
CT100277	T100277
CT100278	T100278
CT100280	T100280
CT100282	T100282
CT100284	T100284
CT100286	T100286
CT100288	T100288
CT100291	T100291
CT100293	T100293
CT100296	T100296
CT100297	T100297
CT100300	T100300
CT100302	T100302
CT100304	T100304
CT100308	T100308
CT100312	T100312
CT100315	T100315
CT100316	T100316
CT100320	T100320
CT100323	T100323
CT100325	T100325
CT100327	T100327
CT100329	T100329
CT100331	T100331
CT100335	T100335
CT100339	T100339
CT100341	T100341
CT100343	T100343
CT100345	T100345
CT100348	T100348
CT100350	T100350
CT100354	T100354
CT100355	T100355
CT100357	T100357
CT100360	T100360
CT100361	T100361
CT100368	T100368
CT100371	T100371
CT100374	T100374
CT100375	T100375
CT100377	T100377
CT100378	T100378
CT100380	T100380
CT100382	T100382
CT100385	T100385
CT100386	T100386
CT100387	T100387
CT100389	T100389
CT100391	T100391
CT100392	T100392
CT100393	T100393
CT100398	T100398
CT100399	T100399
CT100400	T100400
CT100406	T100406
CT100408	T100408
CT100410	T100410
CT100411	T100411
CT100415	T100415
CT100418	T100418
CT100419	T100419
CT100420	T100420
CT100421	T100421
CT100425	T100425
CT100426	T100426
CT100428	T100428
CT100431	T100431
CT100432	T100432
CT100434	T100434
CT100438	T100438
CT100439	T100439
CT100443	T100443
CT100446	T100446
CT100450	T100450
CT100452	T100452
CT100453	T100453
CT100454	T100454
CT100456	T100456
CT100459	T100459
CT100461	T100461
CT100463	T100463
CT100466	T100466
CT100468	T100468
CT100469	T100469
CT100471	T100471
CT100472	T100472
CT100475	T100475
CT100479	T100479
CT100481	T100481
CT100482	T100482
CT100486	T100486
CT100488	T100488
CT100492	T100492
CT100494	T100494
CT100495	T100495
CT100496	T100496
CT100498	T100498
CT100500	T100500
CT100503	T100503
CT100507	T100507
CT100509	T100509
CT100510	T100510
CT100512	T100512
CT100514	T100514
CT100516	T100516
CT100517	T100517
CT100519	T100519
CT100521	T100521
CT100524	T100524
CT100529	T100529
CT100531	T100531
CT100535	T100535
CT100537	T100537
CT100538	T100538
CT100540	T100540
CT100543	T100543
CT100545	T100545
CT100547	T100547
CT100549	T100549
CT100553	T100553
CT100555	T100555
CT100557	T100557
CT100559	T100559
CT100565	T100565
CT100566	T100566
CT100567	T100567
CT100570	T100570
CT100572	T100572
CT100575	T100575
CT100577	T100577
CT100578	T100578
CT100579	T100579
CT100582	T100582
CT100583	T100583
CT100584	T100584
CT100586	T100586
CT100587	T100587
CT100588	T100588
CT100590	T100590
CT100593	T100593
CT100595	T100595
CT100598	T100598
CT100599	T100599
CT100600	T100600
CT100601	T100601
CT100604	T100604
CT100605	T100605
CT100608	T100608
CT100609	T100609
CT100610	T100610
CT100614	T100614
CT100616	T100616
CT100620	T100620
CT100621	T100621
CT100623	T100623
CT100624	T100624
CT100626	T100626
CT100629	T100629
