occurrenceID	taxonID
CT100000	T100000
CT100007	T100007
CT100010	T100010
CT100014	T100014
CT100018	T100018
CT100021	T100021
CT100025	T100025
CT100028	T100028
CT100030	T100030
CT100032	T100032
CT100034	T100034
CT100040	T100040
CT100041	T100041
CT100045	T100045
CT100049	T100049
CT100051	T100051
CT100053	T100053
CT100055	T100055
CT100057	T100057
CT100060	T100060
CT100065	T100065
CT100066	T100066
CT100070	T100070
CT100072	T100072
CT100074	T100074
CT100077	T100077
CT100080	T100080
CT100084	T100084
CT100085	T100085
CT100086	T100086
CT100089	T100089
CT100091	T100091
CT100095	T100095
CT100097	T100097
CT100101	T100101
CT100103	T100103
CT100106	T100106
CT100108	T100108
CT100110	T100110
CT100114	T100114
CT100119	T100119
CT100122	T100122
CT100123	T100123
CT100125	T100125
CT100128	T100128
CT100130	T100130
CT100132	T100132
CT100137	T100137
CT100138	T100138
CT100139	T100139
CT100141	T100141
CT100143	T100143
CT100144	T100144
CT100146	T100146
CT100147	T100147
CT100150	T100150
CT100154	T100154
CT100155	T100155
CT100157	T100157
CT100159	T100159
CT100161	T100161
CT100163	T100163
CT100164	T100164
CT100166	T100166
CT100169	T100169
CT100171	T100171
CT100173	T100173
CT100174	T100174
CT100176	T100176
CT100179	T100179
CT100181	T100181
CT100182	T100182
CT100184	T100184
CT100186	T100186
CT100187	T100187
CT100190	T100190
CT100194	T100194
CT100196	T100196
CT100197	T100197
CT100199	T100199
CT100200	T100200
CT100201	T100201
CT100202	T100202
CT100203	T100203
CT100204	T100204
CT100206	T100206
CT100210	T100210
CT100212	T100212
CT100213	T100213
CT100214	T100214
CT100216	T100216
CT100218	T100218
CT100220	T100220
CT100221	T100221
CT100222	T100222
CT100224	T100224
CT100226	T100226
CT100228	T100228
CT100230	T100230
CT100233	T100233
CT100234	T100234
CT100235	T100235
CT100236	T100236
CT100237	T100237
CT100238	T100238
CT100242	T100242
CT100244	T100244
CT100245	T100245
CT100248	T100248
CT100249	T100249
CT100250	T100250
CT100252	T100252
CT100253	T100253
CT100255	T100255
CT100256	T100256
CT100258	T100258
CT100260	T100260
CT100261	T100261
CT100263	T100263
CT100269	T100269
CT100273	T100273
CT100274	T100274
CT100276	T100276
CT100277	T100277
CT100278	T100278
CT100280	T100280
CT100282	T100282
CT100284	T100284
CT100285	T100285
CT100291	T100291
CT100295	T100295
CT100296	T100296
CT100302	T100302
CT100303	T100303
CT100304	T100304
CT100305	T100305
CT100308	T100308
CT100311	T100311
CT100316	T100316
CT100317	T100317
CT100319	T100319
CT100322	T100322
CT100326	T100326
CT100328	T100328
CT100329	T100329
CT100336	T100336
CT100341	T100341
CT100346	T100346
CT100347	T100347
CT100351	T100351
CT100355	T100355
CT100357	T100357
CT100360	T100360
CT100362	T100362
CT100365	T100365
CT100368	T100368
CT100373	T100373
CT100377	T100377
CT100381	T100381
CT100382	T100382
CT100386	T100386
CT100391	T100391
CT100392	T100392
CT100395	T100395
CT100399	T100399
CT100401	T100401
CT100405	T100405
CT100410	T100410
CT100412	T100412
CT100415	T100415
CT100418	T100418
CT100420	T100420
CT100422	T100422
CT100425	T100425
CT100427	T100427
CT100429	T100429
CT100433	T100433
CT100434	T100434
CT100440	T100440
CT100442	T100442
CT100446	T100446
CT100452	T100452
CT100455	T100455
CT100459	T100459
CT100461	T100461
CT100465	T100465
CT100468	T100468
CT100471	T100471
CT100475	T100475
CT100476	T100476
CT100480	T100480
CT100482	T100482
CT100485	T100485
CT100489	T100489
CT100491	T100491
CT100493	T100493
CT100498	T100498
CT100501	T100501
CT100505	T100505
CT100507	T100507
CT100510	T100510
CT100512	T100512
CT100516	T100516
CT100520	T100520
CT100523	T100523
CT100525	T100525
CT100527	T100527
CT100531	T100531
CT100533	T100533
CT100535	T100535
CT100537	T100537
CT100540	T100540
CT100544	T100544
CT100546	T100546
CT100548	T100548
CT100550	T100550
CT100555	T100555
CT100560	T100560
CT100562	T100562
CT100564	T100564
CT100567	T100567
CT100568	T100568
CT100569	T100569
CT100571	T100571
CT100574	T100574
CT100576	T100576
CT100579	T100579
CT100582	T100582
CT100586	T100586
CT100587	T100587
CT100589	T100589
CT100593	T100593
CT100596	T100596
CT100597	T100597
CT100600	T100600
CT100604	T100604
CT100607	T100607
CT100610	T100610
CT100613	T100613
CT100614	T100614
CT100617	T100617
CT100619	T100619
CT100622	T100622
CT100625	T100625
CT100627	T100627
CT100630	T100630
CT100634	T100634
CT100636	T100636
CT100637	T100637
CT100639	T100639
CT100640	T100640
CT100642	T100642
CT100644	T100644
CT100648	T100648
CT100651	T100651
CT100653	T100653
CT100656	T100656
CT100658	T100658
CT100659	T100659
