ecozone	biome	ecoregion	country_e	geonames_id
Indomalayan	Temperate coniferous forests	Western Himalayan subalpine conifer forests	Afghanistan	1149361
Palearctic	Temperate coniferous forests	East Afghan montane conifer forests	Afghanistan	1149361
Palearctic	Temperate grasslands savannas and shrublands	Gissaro-Alai open woodlands	Afghanistan	1149361
Palearctic	Montane grasslands and shrublands	Ghorat-Hazarajat alpine meadow	Afghanistan	1149361
Palearctic	Montane grasslands and shrublands	Hindu Kush alpine meadow	Afghanistan	1149361
Palearctic	Montane grasslands and shrublands	Karakoram-West Tibetan Plateau alpine steppe	Afghanistan	1149361
Palearctic	Montane grasslands and shrublands	Northwestern Himalayan alpine shrub and meadows	Afghanistan	1149361
Palearctic	Montane grasslands and shrublands	Pamir alpine desert and tundra	Afghanistan	1149361
Palearctic	Montane grasslands and shrublands	Tian Shan montane steppe and meadows	Afghanistan	1149361
Palearctic	Deserts and xeric shrublands	Afghan Mountains semi-desert	Afghanistan	1149361
Palearctic	Deserts and xeric shrublands	Badghyz and Karabil semi-desert	Afghanistan	1149361
Palearctic	Deserts and xeric shrublands	Baluchistan xeric woodlands	Afghanistan	1149361
Palearctic	Deserts and xeric shrublands	Central Afghan Mountains xeric woodlands	Afghanistan	1149361
Palearctic	Deserts and xeric shrublands	Central Persian desert basins	Afghanistan	1149361
Palearctic	Deserts and xeric shrublands	Paropamisus xeric woodlands	Afghanistan	1149361
Palearctic	Deserts and xeric shrublands	Registan-North Pakistan sandy desert	Afghanistan	1149361
Palearctic	Deserts and xeric shrublands	South Iran Nubo-Sindian desert and semi-desert	Afghanistan	1149361
Palearctic	Temperate broadleaf and mixed forests	Balkan mixed forests	Albania	783754
Palearctic	Temperate broadleaf and mixed forests	Dinaric Mountains mixed forests	Albania	783754
Palearctic	Mediterranean forests woodlands and shrub	Aegean and Western Turkey sclerophyllous and mixed forests	Albania	783754
Palearctic	Mediterranean forests woodlands and shrub	Illyrian deciduous forests	Albania	783754
Palearctic	Mediterranean forests woodlands and shrub	Pindus Mountains mixed forests	Albania	783754
Palearctic	Temperate coniferous forests	Mediterranean conifer and mixed forests	Algeria	2589581
Palearctic	Flooded grasslands and savannas	Saharan halophytics	Algeria	2589581
Palearctic	Mediterranean forests woodlands and shrub	Mediterranean dry woodlands and steppe	Algeria	2589581
Palearctic	Mediterranean forests woodlands and shrub	Mediterranean woodlands and forests	Algeria	2589581
Palearctic	Deserts and xeric shrublands	North Saharan steppe and woodlands	Algeria	2589581
Palearctic	Deserts and xeric shrublands	Sahara desert	Algeria	2589581
Palearctic	Deserts and xeric shrublands	South Saharan steppe and woodlands	Algeria	2589581
Palearctic	Deserts and xeric shrublands	West Saharan montane xeric woodlands	Algeria	2589581
Afrotropic	Tropical and subtropical dry broadleaf forests	Zambezian Cryptosepalum dry forests	Angola	3351879
Afrotropic	Tropical and subtropical grasslands savannas and shrublands	Angolan Miombo woodlands	Angola	3351879
Afrotropic	Tropical and subtropical grasslands savannas and shrublands	Angolan Mopane woodlands	Angola	3351879
Afrotropic	Tropical and subtropical grasslands savannas and shrublands	Central Zambezian Miombo woodlands	Angola	3351879
Afrotropic	Tropical and subtropical grasslands savannas and shrublands	Southern Congolian forest-savanna mosaic	Angola	3351879
