occurrenceID	taxonID
CT100000	T100000
CT100007	T100007
CT100010	T100010
CT100013	T100013
CT100016	T100016
CT100020	T100020
CT100023	T100023
CT100027	T100027
CT100031	T100031
CT100032	T100032
CT100036	T100036
CT100040	T100040
CT100043	T100043
CT100047	T100047
CT100050	T100050
CT100053	T100053
CT100055	T100055
CT100057	T100057
CT100061	T100061
CT100066	T100066
CT100068	T100068
CT100070	T100070
CT100072	T100072
CT100073	T100073
CT100076	T100076
CT100079	T100079
CT100081	T100081
CT100084	T100084
CT100085	T100085
CT100086	T100086
CT100088	T100088
CT100091	T100091
CT100094	T100094
CT100097	T100097
CT100100	T100100
CT100103	T100103
CT100105	T100105
CT100108	T100108
CT100109	T100109
CT100110	T100110
CT100112	T100112
CT100115	T100115
CT100117	T100117
CT100119	T100119
CT100120	T100120
CT100123	T100123
CT100126	T100126
CT100130	T100130
CT100134	T100134
CT100138	T100138
CT100140	T100140
CT100141	T100141
CT100143	T100143
CT100146	T100146
CT100150	T100150
CT100152	T100152
CT100154	T100154
CT100155	T100155
CT100156	T100156
CT100158	T100158
CT100160	T100160
CT100164	T100164
CT100165	T100165
CT100167	T100167
CT100169	T100169
CT100171	T100171
CT100173	T100173
CT100175	T100175
CT100178	T100178
CT100180	T100180
CT100181	T100181
CT100183	T100183
CT100184	T100184
CT100186	T100186
CT100188	T100188
CT100190	T100190
CT100192	T100192
CT100194	T100194
CT100195	T100195
CT100197	T100197
CT100199	T100199
CT100200	T100200
CT100201	T100201
CT100203	T100203
CT100204	T100204
CT100207	T100207
CT100208	T100208
CT100210	T100210
CT100212	T100212
CT100215	T100215
CT100219	T100219
CT100221	T100221
CT100222	T100222
CT100224	T100224
CT100226	T100226
CT100232	T100232
CT100235	T100235
CT100236	T100236
CT100238	T100238
CT100239	T100239
CT100243	T100243
CT100244	T100244
CT100245	T100245
CT100246	T100246
CT100248	T100248
CT100250	T100250
CT100252	T100252
CT100254	T100254
CT100256	T100256
CT100258	T100258
CT100259	T100259
CT100262	T100262
CT100263	T100263
CT100265	T100265
CT100267	T100267
CT100270	T100270
CT100272	T100272
CT100273	T100273
CT100276	T100276
CT100280	T100280
CT100281	T100281
CT100285	T100285
CT100288	T100288
CT100291	T100291
CT100293	T100293
CT100295	T100295
CT100297	T100297
CT100298	T100298
CT100299	T100299
CT100304	T100304
CT100307	T100307
CT100309	T100309
CT100310	T100310
CT100314	T100314
CT100315	T100315
CT100317	T100317
CT100318	T100318
CT100321	T100321
CT100322	T100322
CT100324	T100324
CT100325	T100325
CT100326	T100326
CT100329	T100329
CT100332	T100332
CT100333	T100333
CT100335	T100335
CT100338	T100338
CT100340	T100340
CT100341	T100341
CT100342	T100342
CT100344	T100344
CT100346	T100346
CT100347	T100347
CT100350	T100350
CT100353	T100353
CT100358	T100358
CT100360	T100360
CT100361	T100361
CT100362	T100362
CT100365	T100365
CT100368	T100368
CT100371	T100371
CT100373	T100373
CT100375	T100375
CT100378	T100378
CT100380	T100380
CT100381	T100381
CT100388	T100388
CT100389	T100389
CT100391	T100391
CT100392	T100392
CT100393	T100393
CT100395	T100395
CT100397	T100397
CT100399	T100399
CT100401	T100401
CT100403	T100403
CT100404	T100404
CT100405	T100405
CT100408	T100408
CT100410	T100410
CT100412	T100412
CT100413	T100413
CT100414	T100414
CT100416	T100416
CT100418	T100418
CT100419	T100419
CT100420	T100420
CT100421	T100421
CT100425	T100425
CT100427	T100427
CT100428	T100428
CT100430	T100430
CT100431	T100431
CT100433	T100433
CT100434	T100434
CT100435	T100435
CT100438	T100438
CT100439	T100439
CT100440	T100440
CT100441	T100441
CT100443	T100443
CT100445	T100445
CT100447	T100447
CT100451	T100451
CT100456	T100456
CT100459	T100459
CT100462	T100462
CT100463	T100463
CT100465	T100465
CT100466	T100466
CT100467	T100467
CT100468	T100468
CT100469	T100469
CT100470	T100470
CT100472	T100472
CT100474	T100474
CT100477	T100477
CT100479	T100479
CT100481	T100481
CT100482	T100482
CT100483	T100483
CT100484	T100484
CT100486	T100486
CT100487	T100487
CT100488	T100488
CT100490	T100490
CT100492	T100492
CT100496	T100496
CT100499	T100499
CT100500	T100500
CT100501	T100501
CT100502	T100502
CT100506	T100506
CT100507	T100507
CT100509	T100509
CT100510	T100510
CT100512	T100512
CT100513	T100513
CT100515	T100515
CT100519	T100519
CT100520	T100520
CT100521	T100521
CT100522	T100522
CT100523	T100523
CT100527	T100527
CT100531	T100531
CT100533	T100533
CT100536	T100536
CT100540	T100540
CT100542	T100542
CT100543	T100543
CT100544	T100544
CT100547	T100547
CT100548	T100548
CT100551	T100551
CT100554	T100554
CT100556	T100556
CT100559	T100559
